,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
1143,12971430,JG138935,2023-02-03T03:30:00.000,038XX W 79TH ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,0833,008,18,70,05,1151676,1851943,2023,2023-02-10T15:48:08.000,41.749602208,-87.719773386,"{'latitude': '41.749602208', 'longitude': '-87.719773386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,571,30,8,13,209
1144,12971890,JG139603,2023-02-03T03:28:00.000,048XX N LINCOLN AVE,0860,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,False,False,2031,020,47,4,06,1159566,1931867,2023,2023-02-10T15:48:08.000,41.968763818,-87.688661831,"{'latitude': '41.968763818', 'longitude': '-87.688661831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21849,6,54,18,20,2,61
1145,12971433,JG138929,2023-02-03T03:21:00.000,024XX N PULASKI RD,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,CTA BUS STOP,False,False,2524,025,31,22,03,1149312,1915823,2023,2023-02-10T15:48:08.000,41.924943337,-87.72678318,"{'latitude': '41.924943337', 'longitude': '-87.72678318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22615,23,107,17,1,6,181
1146,12971616,JG139122,2023-02-03T03:14:00.000,023XX W HARRISON ST,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,False,1225,012,28,28,06,1160681,1897305,2023,2023-02-10T15:48:08.000,41.873900174,-87.685522031,"{'latitude': '41.873900174', 'longitude': '-87.685522031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,29,757,23,28,15,139
1147,27328,JG138905,2023-02-03T03:13:00.000,008XX N LAVERGNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,1531,015,37,25,01A,1142874,1904940,2023,2023-02-10T15:48:08.000,41.895201725,-87.7507112,"{'latitude': '41.895201725', 'longitude': '-87.7507112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,26,585,45,5,25,69
1148,12973294,JG138937,2023-02-03T03:10:00.000,100XX S MICHIGAN AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,0511,005,9,49,03,1178985,1838617,2023,2023-02-10T15:48:08.000,41.712456039,-87.620106677,"{'latitude': '41.712456039', 'longitude': '-87.620106677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,570,43,19,10,250
1149,12972237,JG139181,2023-02-03T03:08:00.000,008XX S LEAVITT ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1225,012,28,28,14,1161849,1896305,2023,2023-02-10T15:48:08.000,41.871131812,-87.68126158,"{'latitude': '41.871131812', 'longitude': '-87.68126158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,21184,29,5,23,28,15,139
1150,12971447,JG138927,2023-02-03T03:06:00.000,008XX S LEAVITT ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,False,False,1225,012,28,28,15,1161848,1896318,2023,2023-02-10T15:48:08.000,41.871167506,-87.681264889,"{'latitude': '41.871167506', 'longitude': '-87.681264889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,21184,29,5,23,28,15,139
1151,12971744,JG139116,2023-02-03T03:00:00.000,030XX W WASHINGTON BLVD,0320,ROBBERY,STRONG ARM - NO WEAPON,ALLEY,False,False,1222,012,27,27,03,1156164,1900529,2023,2023-02-10T15:48:08.000,41.882839503,-87.702019291,"{'latitude': '41.882839503', 'longitude': '-87.702019291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,21184,28,50,46,28,15,77
1152,12971768,JG139369,2023-02-03T03:00:00.000,072XX S YALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0731,007,6,69,07,1175874,1857054,2023,2023-02-10T15:48:08.000,41.763119669,-87.630948965,"{'latitude': '41.763119669', 'longitude': '-87.630948965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,67,494,32,11,17,210
