sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_stu,perc_hisp_stu,perc_white_stu,bus_count
400011,28,66151,317,0.8391167192429022,0.9873817034700315,0.012618296529968454,0.0,3
609958,55,29121,652,0.7760736196319018,0.02147239263803681,0.9233128834355828,0.015337423312883436,2
400049,30,67071,447,0.8456375838926175,0.9373601789709173,0.049217002237136466,0.006711409395973154,0
400147,74,63141,208,0.7451923076923077,0.9567307692307693,0.02403846153846154,0.0,1
609682,59,53051,273,0.8644688644688645,0.4139194139194139,0.5274725274725275,0.003663003663003663,3
609737,13,47081,1635,0.6422018348623854,0.09969418960244648,0.5535168195718655,0.1620795107033639,4
609804,20,22271,732,0.755464480874317,0.10382513661202186,0.39617486338797814,0.12568306010928962,1
609821,48,22431,423,0.817966903073286,0.9550827423167849,0.03546099290780142,0.002364066193853428,3
610046,19,24281,1053,0.7787274453941121,0.011396011396011397,0.8983855650522318,0.05698005698005698,2
610107,25,24791,325,0.796923076923077,0.32,0.5907692307692308,0.046153846153846156,3
609920,32,29071,418,0.8516746411483254,0.009569377990430622,0.9904306220095693,0.0,2
609922,19,26771,499,0.6693386773547094,0.01603206412825651,0.9639278557114228,0.008016032064128256,2
609926,37,29081,367,0.4114441416893733,0.5204359673024523,0.1362397820163488,0.2561307901907357,2
609935,49,29091,614,0.8175895765472313,0.06188925081433225,0.9234527687296417,0.009771986970684038,0
609944,52,23361,302,0.695364238410596,0.1357615894039735,0.7682119205298014,0.08940397350993377,0
609976,76,23621,877,0.7046750285062714,0.1961231470923603,0.4264538198403649,0.09007981755986318,4
609981,53,23671,319,0.7523510971786834,0.31974921630094044,0.6520376175548589,0.01567398119122257,2
609997,66,23831,120,0.8,0.8833333333333333,0.10833333333333334,0.0,3
610110,1,24811,286,0.7237762237762237,0.8391608391608392,0.017482517482517484,0.0,3
610192,24,25521,562,0.798932384341637,0.09252669039145907,0.8754448398576512,0.017793594306049824,2
610304,29,55011,455,0.8835164835164835,0.13186813186813187,0.8219780219780219,0.026373626373626374,3
610148,59,25151,814,0.8513513513513513,0.01597051597051597,0.9766584766584766,0.002457002457002457,3
610167,59,25301,451,0.8536585365853658,0.019955654101995565,0.9623059866962306,0.008869179600886918,2
610182,13,25431,341,0.41348973607038125,0.05865102639296188,0.18181818181818182,0.40175953079178883,1
610230,12,25881,467,0.16059957173447537,0.042826552462526764,0.19914346895074947,0.5952890792291221,0
610219,49,25771,633,0.6951026856240127,0.04265402843601896,0.8988941548183255,0.04897314375987362,2
610231,34,32031,755,0.5774834437086093,0.7271523178807947,0.059602649006622516,0.11125827814569536,4
610246,7,29321,1046,0.6510516252390057,0.9674952198852772,0.015296367112810707,0.0,3
610252,29,26031,252,0.7579365079365079,0.9206349206349206,0.06746031746031746,0.0,2
610269,31,26201,313,0.7156549520766773,0.49201277955271566,0.2364217252396166,0.07028753993610223,5
610559,55,27091,444,0.9346846846846847,0.015765765765765764,0.9819819819819819,0.0022522522522522522,0
610548,29,22711,396,0.37373737373737376,0.35858585858585856,0.20707070707070707,0.06818181818181818,0
610594,25,69618,142,0.8732394366197183,0.3873239436619718,0.5704225352112676,0.035211267605633804,0
400107,42,66563,412,0.7912621359223301,0.8956310679611651,0.0970873786407767,0.0024271844660194173,4
610036,26,24151,378,0.791005291005291,0.5767195767195767,0.40476190476190477,0.0026455026455026454,2
610542,20,22381,627,0.7256778309409888,0.13078149920255183,0.215311004784689,0.3189792663476874,0
610005,30,23901,192,0.7604166666666666,0.9270833333333334,0.057291666666666664,0.005208333333333333,2
609693,24,53071,1194,0.7696817420435511,0.46147403685092125,0.4187604690117253,0.024288107202680067,2
400146,26,0,607,0.8088962108731467,0.9060955518945635,0.02800658978583196,0.0032948929159802307,0
610157,61,25231,1031,0.8457807953443259,0.0009699321047526673,0.9699321047526673,0.01745877788554801,3
609979,58,0,1221,0.7346437346437347,0.02375102375102375,0.15233415233415235,0.043407043407043405,3
609964,59,23511,542,0.8247232472324724,0.07195571955719557,0.9077490774907749,0.01107011070110701,3
610541,22,22341,639,0.8137715179968701,0.02034428794992175,0.9342723004694836,0.03599374021909233,3
