sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_stu,perc_hisp_stu,perc_white_stu,bus_count,School ID,School Name,Network,2018,2019,2021,2022,pre_cov_att,post_cov_att,att_diff_pp,comm_area_x,med_age,covid_idx,perc_chg_pop,perc_white,perc_black_hispanic,perc_other_races,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,comm_area_y,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
609958,55,29121,652,0.7760736196319018,0.0214723926380368,0.9233128834355828,0.0153374233128834,2,609958.0,GUNSAULUS,ISP,94.6,93.1,91.8,89.4,93.85,90.6,-3.25,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
609715,55,46181,1716,0.9213286713286714,0.0326340326340326,0.8298368298368298,0.0145687645687645,3,609715.0,KELLY HS,Network 16,90.7,89.375,77.8,78.5,90.0375,78.15,-11.887499999999989,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
400173,55,66801,454,0.7819383259911894,0.0418502202643171,0.922907488986784,0.0220264317180616,0,400173.0,PATHWAYS - BRIGHTON PARK HS,Options,68.75,75.8,73.47500000000001,57.275,72.275,65.375,-6.900000000000006,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
610170,55,20071,768,0.76953125,0.0078125,0.9739583333333334,0.01171875,2,610170.0,COLUMBIA EXPLORERS,ISP,92.2,90.0,90.5,85.8,91.1,88.15,-2.9499999999999886,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
610174,55,25361,469,0.767590618336887,0.0085287846481876,0.9722814498933902,0.0191897654584221,2,610174.0,SHIELDS,Network 8,91.1,91.0,90.1,83.8,91.05,86.94999999999999,-4.1000000000000085,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
609829,55,22481,324,0.8611111111111112,0.0277777777777777,0.9228395061728396,0.0277777777777777,1,609829.0,BURROUGHS,Network 8,93.6,93.9,87.5,81.5,93.75,84.5,-9.25,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
610353,55,26821,619,0.7576736672051696,0.0145395799676898,0.974151857835218,0.0064620355411954,1,610353.0,CALMECA,Network 8,90.8,89.2,93.9,84.2,90.0,89.05000000000001,-0.9499999999999886,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
609876,55,22891,513,0.7914230019493177,0.0194931773879142,0.9434697855750488,0.0214424951267056,2,609876.0,DAVIS N,Network 8,90.5,91.0,90.5,85.2,90.75,87.85,-2.9000000000000057,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
610317,55,26451,281,0.8220640569395018,0.0142348754448398,0.9288256227758008,0.0284697508896797,3,610317.0,BRIGHTON PARK,Network 8,90.3,89.2,89.0,82.9,89.75,85.95,-3.799999999999997,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.194806592197807,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0,Hegewisch,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,79.0,48.76347237,18.14342637,50.99414505,44.73183788,16.8,26.2
400147,74,63141,208,0.7451923076923077,0.9567307692307692,0.0240384615384615,0.0,1,400147.0,CHICAGO EXCEL HS,Options,82.175,77.15,65.075,71.325,79.6625,68.2,-11.462499999999991,Mount Greenwood,37.9686243,30.5,-1.0201912858661,81.1411889596603,13.715498938428874,5.143312101910823,50.10084925690022,95.58215912702616,97760.69519,41850.44559,1091.58805,93.16788321167884,91.4014598540146,0.916029746,0.819865772,Mount Greenwood,18633,-87.713189,41.694876,6.1,2.709618218,88.8,4.666783763,3.752676671,81.0,48.26745058,2.411666127,92.54922668,27.42519335,4.5,14.2
