ca_id,comm_area,med_age,covid_idx,perc_chg_pop,perc_white,perc_black_hispanic,perc_other_races,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct
47,Burnside,50.02293578,58.4,-23.284760170006074,2.522935779816514,96.05504587155963,1.4220183486238511,50.091743119266056,84.06593406593407,39351.85185,26586.8078,703.2846715,73.45559845559846,69.1119691119691,1.0,1.0
48,Calumet Heights,49.43205394,46.1,-18.066858645298613,0.874989872802398,97.83683059223851,1.2881795349590845,48.877906505711735,92.88910989557434,57420.14742,35883.58973,1078.001969,86.75244653860095,84.90395070677782,1.0,1.0
37,Fuller Park,47.44558016,50.1,-24.941520467836256,5.0253127668906075,93.12021674406105,1.8544704890483388,34.66321397143092,76.13026278147653,17216.78622,14738.4235,561.3246104,70.6190423245614,67.63658618421053,1.0,1.0
34,Armour Square,46.4571369,30.9,15.44215425531915,13.975330874174444,14.499868566078614,71.52480055974695,46.94230180773001,92.95118371439291,37122.66529,24901.0311,698.4822407,77.20019054532578,73.93633842067987,1.0,1.0
45,Avalon Park,45.12512307,44.2,-15.152058849914777,0.8336214223029423,94.72734450393389,4.4390340737631675,48.61372870350713,84.26875505751485,54418.51813,29200.1494,931.5121958,75.53253932448733,72.73398685162846,1.0,1.0
72,Beverly,44.04398955,27.4,-8.935067297198982,56.14371499217843,39.06242115355503,4.793863854266533,52.53570167028309,94.05436557487273,110018.1598,55810.52955,936.5771812,93.52489923286959,91.02847484072292,0.96185567,0.987568157
75,Morgan Park,43.63474981,43.3,-16.015222389598033,30.40253368366958,65.8379035479633,3.7595627683671182,49.14085213605057,89.36063161145829,64137.0976,34941.99834,1164.315793,88.3847526850153,83.35527437308869,1.0,1.0
17,Dunning,42.66814304,36.0,2.3313727350346265,59.71505265331406,34.21662422281873,6.068323123867202,55.305480992038916,95.40778229486435,74525.7732,33822.48294,1101.5625,89.1782039883145,82.516194589102,0.982360533,0.997059784
50,Pullman,42.59615385,46.4,-23.55117139334155,12.01794979666246,84.68657972233909,3.2954704809984463,56.65404571588838,84.25742574257426,48056.72269,27871.22101,921.7603912,102.03672787979967,96.92821368948246,0.918649868,0.344509948
12,Forest Glen,42.42987606,18.9,7.877786952931462,73.86089923725412,13.739462063428343,12.399638699317535,50.84805299076676,95.10510214151782,129516.6403,59038.73344,1250.0,95.38527275316906,94.07491810283436,0.902734051,0.979762068
44,Chatham,42.30225418,43.0,-14.929577464788732,0.8568156662230221,97.32762697412225,1.8155573596547185,47.35640849531471,83.21132198484513,39858.57561,25790.28123,860.0558919,81.61280973892248,71.1962814721318,1.0,1.0
73,Washington Heights,42.20468432,53.2,-16.010454712998023,1.674090571640683,96.93763919821826,1.3882702301410461,45.50482553823311,85.62688636919815,53580.48162,24293.88493,968.9795918,86.32837072761586,78.77961836863075,1.0,1.0
10,Norwood Park,41.69027061,31.2,2.024345417254881,77.0221939673234,15.993262477298467,6.984543555378124,52.548583075450104,95.75957902409287,90475.12039,45493.48943,1189.246266,84.74488637995171,81.47529165307054,1.0,1.0
9,Edison Park,41.2605042,24.2,1.7390536723163843,82.72132339574623,10.289038356662425,6.989638247591344,58.271223413924744,98.19060988925284,113960.728,61123.82167,1300.572519,84.21719839425312,80.43524191844497,1.0,1.0
67,West Englewood,40.31692515,63.7,-34.528068548209,1.50240844101231,96.4943803043046,2.0032112546830945,40.50386115146418,75.49787635677207,26438.54749,17440.94147,899.2631579,71.54748771437168,63.81506368468559,1.0,1.0
56,Garfield Ridge,39.74945335,49.0,-1.8337442176117005,40.85550223307165,57.42184249216344,1.722655274764918,51.65191822241948,92.30397422126745,80005.68828,32787.64454,1060.878963,89.40013076168682,84.20235371036287,0.999233629,0.855137205
55,Hegewisch,39.64860189,35.8,2.515080257642368,36.73468839879786,63.07050500900433,0.19480659219780705,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0
49,Roseland,39.0245098,54.7,-26.377482313221932,1.5344623072457917,96.62317340938344,1.8423642833707703,44.23945688110441,81.04284328826516,44040.6051,20781.95404,1085.883823,77.88461538461539,69.79442970822282,0.994798338,0.982403218
39,Kenwood,39.00716846,24.9,4.1006371507923545,20.9158691297574,68.2617404851992,10.822390385043406,52.231248608947254,90.69990412272291,52336.4486,48781.32701,1074.194387,87.94691492522531,83.14350797266515,0.8173258,0.833059211
15,Portage Park,38.9126813,34.3,-3.5506580961126417,47.00010951360316,44.15119135155431,8.848699134842533,56.67172515214568,94.38493816254417,75868.65629,33413.14927,1114.074329,87.41679467485919,82.89810547875064,1.0,1.0
59,McKinley Park,38.90544707,36.8,-0.2443302844255106,15.413879050242688,53.96825396825397,30.61786698150334,56.84769775678866,93.97715472481828,61814.25486,26933.93789,940.819209,89.90610328638498,86.92668833513903,0.952158086,0.761309673
71,Auburn Gresham,38.58927382,48.2,-19.75754541553426,1.045012634374063,97.53950918668893,1.4154781789370077,43.149599554584775,83.5136476426799,37484.19389,20664.60043,905.0454921,80.27779314924464,71.01433235570805,0.950207561,0.87847097
18,Montclare,38.46069869,52.8,13.877906057251305,36.20497844527882,58.76095118898623,5.034070365734948,51.28633013489083,95.53958785249458,55882.35294,28269.38771,1114.835165,77.20558882235528,73.87225548902195,1.0,1.0
13,North Park,38.3153431,40.6,-5.158258615102085,48.74508135701372,20.9667127512496,30.28820589173668,48.54301818568542,94.9392047321722,60362.90323,32506.85239,1070.766129,92.83568639231,89.2610393511565,0.996644087,0.998506855
11,Jefferson Park,38.27886136,25.6,1.3805638269074596,58.21504743693462,26.991248069427083,14.793704493638302,56.023387511951164,95.61535936987201,77198.06008,35584.0146,1182.062147,91.75247992442135,86.97213037316958,0.975289982,0.997767145
74,Mount Greenwood,37.9686243,30.5,-1.0201912858661,81.1411889596603,13.715498938428874,5.143312101910823,50.10084925690022,95.58215912702617,97760.69519,41850.44559,1091.58805,93.16788321167884,91.4014598540146,0.916029746,0.819865772
38,Grand Boulevard,37.49339934,41.3,-12.200956937799043,4.12353711605898,92.82605940259411,3.0504034813469048,51.0710211669272,86.07710125744539,39110.73826,29807.9199,943.4131737,84.33232842702607,80.04078737364782,1.0,1.0
60,Bridgeport,37.4904653,21.6,0.023743099661660827,35.391844721239785,23.106074494110647,41.502080784649564,55.705232068501275,93.14819641162406,58670.10682,31668.72483,1066.264189,88.2804800959592,87.00858842491941,1.0,1.0
33,Near South Side,37.4720715,15.0,202.81838258491956,51.39520776463452,26.67576584774037,21.929026387625115,69.21822869275098,99.26603494550037,115993.1326,88783.76137,1948.883162,95.71446684417396,93.93939393939394,0.998729304,0.811452639
43,South Shore,37.28693561,45.6,-12.322113197738645,3.0223739097459235,95.27303754266212,1.7045885475919533,51.222599469093666,84.72546412020382,35886.77751,27282.81953,930.6204519,82.64719589871058,77.97887214540935,0.999741397,0.999650105
77,Edgewater,37.07107611,17.3,-9.48905109489051,53.519159013851734,29.141464910636707,17.339376075511552,62.44015470328659,94.39532853088846,58283.37875,42485.67865,1128.703469,88.97131228254447,85.97452898312874,1.0,1.0
25,Austin,36.97618685,52.9,-17.84270848400793,5.284360438820696,92.72979710327853,1.9858424579007732,45.451389984538196,86.61020087012868,35555.36685,21384.81546,978.327787,77.13863484273924,70.85935757305376,0.997275537,0.925599082
76,O'Hare,36.70826483,19.0,15.027861123017574,67.4526523271505,14.87186445111619,17.6754832217333,59.514678839383585,95.75470524608939,60440.97616,35578.00231,1220.293108,95.7913824780773,89.99945870412472,0.788202003,0.914285714
3,Uptown,36.502262,24.4,-10.02187219713301,53.16973071165458,33.07318385951928,13.757085428826144,65.02110911139893,96.5931137956903,57878.09524,42111.65248,1090.966667,88.86233121216824,85.06596306068602,0.999524648,0.987426531
70,Ashburn,36.46160558,45.1,3.8247776879547293,10.069460631206004,87.76980094168104,2.1607384271129604,49.939396764719596,89.52625437572928,71951.49017,25905.19106,1253.04878,93.12882485087923,88.5583701293671,0.8720485,0.587266553
16,Irving Park,36.20763142,30.3,-11.430179220026261,43.99858219535855,43.892246847250206,12.109170957391242,60.5495858518021,94.04750901192347,72045.04095,38887.99043,1170.727338,93.03251803954643,88.0798425639584,1.0,1.0
69,Greater Grand Crossing,36.12857143,46.0,-18.509024055516715,0.873288253083693,97.59420979306127,1.5325019538550464,45.17992456420538,80.2496991576414,30109.64912,19735.39876,908.9698046,82.54154907494512,71.30761994355598,1.0,1.0
64,Clearing,36.08970976,42.7,9.592046930276297,39.00418341399393,59.465999507833644,1.529817078172428,50.51267328356984,89.39590776226048,58168.13049,27582.04475,1046.176046,85.15308419630797,84.0499774876182,1.0,0.943423471
51,South Deering,35.8992467,52.5,-16.98057680988817,4.972266244057052,94.66455361859482,0.3631801373481238,41.9770206022187,82.88500865187982,30127.84091,19183.58743,927.480916,87.89305215590284,83.84485031067595,0.359101472,0.096439169
53,West Pullman,35.88581024,49.2,-28.772954241589126,0.8797764688113577,97.05860141972512,2.061622111463521,49.83008608971454,79.28317041751913,46380.45541,22615.252,1031.097561,81.44041450777202,77.40932642487046,0.909574468,0.874165872
68,Englewood,35.76229508,55.3,-39.41375366714733,1.1580907398156137,96.0261592261229,2.8157500340614803,38.29874199554929,75.05039724890312,22228.26087,15034.36201,873.4398782,74.84630613733458,66.27070959674899,1.0,1.0
