year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,teachers_fte_crdc,teachers_uncertified_fte,support_fte,counselors_fte,social_workers_fte,psychologists_fte,law_enforcement_fte,security_guard_fte,salaries_teachers,salaries_instructional_aides,salaries_support,salaries_administration
mixed - most recent,1.73E+11,21st Century Primary Center,IL,Park Forest SD 163,Primary,Regular school,No,15,0,2,0,1,1,0,0,936374,115623.711,189427.453,153806
mixed - most recent,1.71E+11,7th Grade Academy,IL,Cahokia CUSD 187,Middle,Regular school,No,13,0,2,0,1,1,0,1.1,779265,95717.453,103010,97362.539
mixed - most recent,1.71E+11,8th Grade Academy,IL,Cahokia CUSD 187,Middle,Regular school,No,14,0,1,0,1,1,0,1.1,757215,62336,16577.48,168530.5
mixed - most recent,1.71E+11,A B Shepard High Sch (Campus),IL,CHSD 218,High,Regular school,No,117,0,17.8,7,3,3,2,9.5,12180154,900877.625,1706405,923402.062
mixed - most recent,1.70E+11,A E R O Educational Center,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,45,0,44.6,0,3,0,0,0,1355689,1000286,2884924,1633329
mixed - most recent,1.73E+11,A F Ames Elem School,IL,Riverside SD 96,Primary,Regular school,No,29,0,2.8,0,1,0.5,0,0,1965671,219061,201054,118690
mixed - most recent,1.70E+11,A J Katzenmaier Academy,IL,North Chicago SD 187,Primary,Regular school,No,38,0,3,1,1,1,0,0,1786196,159189,82231,380000
mixed - most recent,1.72E+11,A O Marshall Elem School,IL,Joliet PSD 86,Primary,Regular school,No,30,5,0,0,1,0.5,0,0,1235948,58765.32,-2,238573.516
mixed - most recent,1.74E+11,A Vito Martinez Middle School,IL,Valley View CUSD 365U,Middle,Regular school,No,53,0,4,2,1,1,0,1,2703626,30769.199,269792,672252.438
mixed - most recent,1.70E+11,A-C Central Elementary School,IL,A-C Central CUSD 262,Primary,Regular school,No,11,0,11,0,0,0,0,0,455279,113963.844,188571.562,95890.953
mixed - most recent,1.70E+11,A-C Central High School,IL,A-C Central CUSD 262,High,Regular school,No,10,0,10,1,0,0,0,0,389445,17011.1,103115.258,35000
mixed - most recent,1.70E+11,A-C Central Middle School,IL,A-C Central CUSD 262,Middle,Regular school,No,7,0,11,1,0,0,0,0,336189,37640.051,119070.297,35000
mixed - most recent,1.70E+11,A.E.R.O-Connect Prog-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O-Functional Acad Learning-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O-STAR (Autism)-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O. EC Program-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,A.E.R.O.-Comm. Develop.-Satellite,IL,A E R O  Spec Educ Coop,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,A.N.C.H.O.R. Academy,IL,Cook County SD 130,Middle,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,Abbott Middle School,IL,SD U-46,Middle,Regular school,No,44,4,0.81,0,2,0,1,0,2292476,17518.619,24932.68,279139.531
mixed - most recent,1.71E+11,Abe Lincoln Elem School,IL,Cicero SD 99,Primary,Regular school,No,66,0,2,0,2,1,0,0,3915489,366765.5,99033.828,472467.188
mixed - most recent,1.70E+11,Abingdon-Avon High Sch,IL,Abingdon-Avon CUSD 276,High,Regular school,No,19,0,3,1,0,0,0,0,716645,29273.859,117554.094,110574.922
mixed - most recent,1.70E+11,Abingdon-Avon Middle Sch,IL,Abingdon-Avon CUSD 276,Middle,Regular school,No,12,0,2,0.5,0,0,0,0,587090,18693.42,84714.328,45000
mixed - most recent,1.70E+11,Able Program,IL,Exc Children Have Opportunities,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.73E+11,Abraham Lincoln Elem School,IL,Oak Park ESD 97,Primary,Regular school,No,54,0,2.5,0,1,1,0,0,3628433,222203.906,86186.922,300862
mixed - most recent,1.72E+11,Abraham Lincoln Elem School,IL,Glen Ellyn SD 41,Primary,Regular school,No,43,0,4.5,0,1,1,0,0,3100272,179548.5,295845.312,218259.766
mixed - most recent,1.71E+11,Abraham Lincoln Elem School,IL,Belleville SD 118,Primary,Regular school,No,29,0,3.5,0,0.6,0,0,0,1713619,-2,203818.016,187867.234
mixed - most recent,1.73E+11,Abraham Lincoln Middle School,IL,Rockford SD 205,Middle,Regular school,No,44,0,24,3,0.5,0.5,1,2,3428433,73423.102,203749.203,332796.094
mixed - most recent,1.70E+11,Academic Behavior&Community Acad,IL,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,High,Other/alternative school,No,3,0,2,0,1,0,1,1,166041,29419.74,81190.359,69605.633
mixed - most recent,1.71E+11,Academy for Global Citizenship,IL,City of Chicago SD 299,Primary,Regular school,Yes,31,4,6,0.5,0.4,0.2,0,2,1378000,309000,205384,470462
mixed - most recent,1.70E+11,Academy for Learning,IL,Exc Children Have Opportunities,High,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,Academy for Lifelong Learning (ALL),IL,Speed SEJA #802,Missing/not reported,Special education school,No,5,0,4,0,0.1,0.1,0,0,185063,233376,92743,75754
mixed - most recent,1.71E+11,ACDC Penniman,IL,Cahokia CUSD 187,High,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,Acero Chtr Sch Network  - Jovita Idar,IL,City of Chicago SD 299,Primary,Regular school,Yes,29,4,1.25,0,0.4,0.3,0,2,1116430,44290.078,88613.297,208012.984
mixed - most recent,1.71E+11,Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,IL,City of Chicago SD 299,High,Regular school,Yes,37,8,0.74,2,1,0.3,0,2,1600835,44148.859,45141.301,332666.469
mixed - most recent,1.71E+11,Acero Chtr Sch Network - Bartolome de las Casas,IL,City of Chicago SD 299,Primary,Regular school,Yes,16,2.5,0.33,0,0.4,0.3,0,1,662086,51940.922,18762.57,77111.492
mixed - most recent,1.71E+11,Acero Chtr Sch Network - Brighton Park Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,28,1,0.62,0,0.4,0.4,0,1,1117382,44930.66,38855.07,237340.594
mixed - most recent,1.71E+11,Acero Chtr Sch Network - Carlos Fuentes Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,28,4,0.59,0,0.4,0.3,0,2,1321313,46908.602,26940.561,374129.781
mixed - most recent,1.71E+11,Acero Chtr Sch Network - Esmeralda Santiago Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,17,1,1.33,0,0.6,0.4,0,1,618548,-2,45976.691,198702.047
mixed - most recent,1.71E+11,Acero Chtr Sch Network - Octavio Paz Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,22,2,0.25,0,0.4,0.4,0,1,954329,-2,13613.37,228671.75
mixed - most recent,1.71E+11,Acero Chtr Sch Network - Officer Donald J Marquez Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,34,7,2.65,0,0.8,0.2,0,1,1207803,-2,50534.512,186654.656
mixed - most recent,1.71E+11,Acero Chtr Sch Network - PFC Omar E Torres Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,31,7,1.33,0,0.6,0.2,0,3,1359238,81582.242,81432.398,170841.75
mixed - most recent,1.71E+11,Acero Chtr Sch Network - Rufino Tamayo Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,17,2.5,0.39,0,0.5,0.3,0,1,723068,-2,22997.359,195800
mixed - most recent,1.71E+11,Acero Chtr Sch Network - SPC Daniel Zizumbo Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,32,5,0.66,0,0.6,0.4,0,3,1313925,89980.156,39033.102,175254.078
mixed - most recent,1.71E+11,Acero Chtr Sch Network Victoria Soto Campus,IL,City of Chicago SD 299,High,Regular school,Yes,43,9,1.85,2,1,0.2,0,4,1678107,-2,107443.312,379099.125
mixed - most recent,1.71E+11,Acero Chtr Sch Network- Sandra Cisneros Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,31,4,1.25,0,0.6,0.4,0,1,1160419,-2,14915.45,216295.516
mixed - most recent,1.71E+11,Acero Chtr Sch Newtwork - Roberto Clemente Campus,IL,City of Chicago SD 299,Primary,Regular school,Yes,27,4,0.72,0,0.6,0.2,0,1,932347,-2,34908.371,202000.078
mixed - most recent,1.71E+11,Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,IL,City of Chicago SD 299,Other,Regular school,Yes,52,9,3.6,1,0.6,0.4,0,4,1948189,28916.539,129543.188,297528.719
mixed - most recent,1.71E+11,ACTIONS Program,IL,Champaign CUSD 4,Other,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.73E+11,Adams Co Juvenile Detention Cntr,IL,Quincy SD 172,High,Other/alternative school,No,1,0,1,0,0,0,0,-2,55927,18624.9,33144.719,-2
mixed - most recent,1.70E+11,Adams County RSSP,IL,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,High,Other/alternative school,No,6,1,2,0,0,0,1,1,226724,-2,73957.922,70983.758
mixed - most recent,1.72E+11,Adams Elem School,IL,Lincoln ESD 27,Primary,Regular school,No,5,0,3,0,0,0,0,0,224851,16637,76676,5460
mixed - most recent,1.72E+11,Adams School,IL,Marion CUSD 2,Primary,Regular school,No,17,0,1,0,0,0,0,0,686745,-2,23736.641,82475.398
mixed - most recent,1.71E+11,Addams Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,36,0,6,1,0,0,0,2,2381537,244900.734,264137.406,257502
mixed - most recent,1.70E+11,Addison Early Learning Center,IL,Addison SD 4,Prekindergarten,Regular school,No,14,0,-2,0,0,0,0,0,Not applicable,-2,-2,-2
mixed - most recent,1.71E+11,Addison Trail High School,IL,DuPage HSD 88,High,Regular school,No,121,0,63,7,2,1,1,9.5,11000742,763103.812,2970735,382004.125
mixed - most recent,1.73E+11,Adlai E Stevenson High School,IL,Adlai E Stevenson HSD 125,High,Regular school,No,281,0,141,20,5,4,0,28.88,31260000,1460300,9730200,4401000
mixed - most recent,1.73E+11,Adlai Stevenson Elem School,IL,Schaumburg CCSD 54,Primary,Regular school,No,35,0,22.14,0,1,1,0,0,2687134,265744.094,1450699.25,285894.438
mixed - most recent,1.72E+11,Adler Park School,IL,Libertyville SD 70,Primary,Regular school,No,22,0,6.75,0,1,0.4,0.2,0,1408086,23373,560167,112934
mixed - most recent,1.71E+11,Adm Richard E Byrd Elem School,IL,Comm Cons SD 59,Primary,Regular school,No,26,0,3,0,1,1,0,0,951694,174019.188,211463,246176
mixed - most recent,1.73E+11,Adolph Link Elem School,IL,Schaumburg CCSD 54,Primary,Regular school,No,32,0,17.14,0,1,1,0,0,2651085,91295.023,1038637.188,284667.438
mixed - most recent,1.70E+11,Adult LIFE Academy,IL,Eastern IL Area of Spec Educ,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.71E+11,Agassiz Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,37,0,2,1,0,0,0,1,2112686,375569.625,93571.539,270262
mixed - most recent,1.71E+11,Air Force Acad High School,IL,City of Chicago SD 299,High,Regular school,No,25,4,8,2,0,0,0,2,1527069,68166.492,375816.5,252329
mixed - most recent,1.70E+11,Akin Comm Cons Elem School,IL,Akin CCSD 91,Primary,Regular school,No,10,0,1,0,0,0,0,0,292411,21805,15242,144908
mixed - most recent,1.71E+11,Alan B Shepard Elem School,IL,Bourbonnais SD 53,Primary,Regular school,No,32,0,4.3,0,1,0,0,0,1437443,161240.391,188224.438,115956
mixed - most recent,1.71E+11,Alan B Shepard Middle School,IL,Deerfield SD 109,Middle,Regular school,No,56,0,5,1,1,1,0,0,4853492,287552,195805,290490
mixed - most recent,1.71E+11,Albany Park Multicultural Elem,IL,City of Chicago SD 299,Middle,Regular school,No,19,0,2,1,0,0,0,1,1033877,76823.438,109062.328,261152
mixed - most recent,1.70E+11,Albers Elem School,IL,Albers SD 63,Primary,Regular school,No,11,0,1,0,0,0,0,0,510993,47184,9153,96130
mixed - most recent,1.71E+11,Albert Cassens Elementary,IL,Edwardsville CUSD 7,Primary,Regular school,No,27,0,3.4,0,0.5,0.5,0,0.87,1172179,-2,129206,137327
mixed - most recent,1.73E+11,Albert Einstein Elem School,IL,Schaumburg CCSD 54,Primary,Regular school,No,35,0,25.44,0,1,1,0,0,2672714,411118.344,1722660.125,284667.438
mixed - most recent,1.71E+11,Albion Grade School,IL,Edwards County CUSD 1,Primary,Regular school,No,32,0,3.83,0,0,0,0,0,954271,34520.898,84039.609,57033.328
mixed - most recent,1.71E+11,Alcott College Prep,IL,City of Chicago SD 299,High,Regular school,No,62,0,9,2,0,0,0,2,3699301,407867.719,368931.625,393034
mixed - most recent,1.71E+11,Alcott Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,62,0,9,2,0,0,0,2,3699301,407867.719,368931.625,393034
mixed - most recent,1.70E+11,Alden Hebron Elem School,IL,Alden Hebron SD 19,Primary,Regular school,No,19,0,1,0,0.05,0.02,0,0,724956,66765.797,54732.641,121785.789
mixed - most recent,1.70E+11,Alden-Hebron High School,IL,Alden Hebron SD 19,High,Regular school,No,12,0,2,1,0.5,0.3,0,0,468845,20657.77,87944.641,65380.07
mixed - most recent,1.70E+11,Alden-Hebron Middle School,IL,Alden Hebron SD 19,Middle,Regular school,No,8,0,1.25,0.5,0.3,0.2,0,0,278722,26089,87945,65380
mixed - most recent,1.71E+11,Aldridge Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,13,0,3,1,0,0,0,2,556335,107545.242,126052.562,128750
mixed - most recent,1.73E+11,Alex M Martino Jr High School,IL,New Lenox SD 122,Middle,Regular school,No,31,0,2,0,1,0.5,0,0,2089688,119098,116953,215699
mixed - most recent,1.71E+11,Algonquin Lakes Elem Sch,IL,CUSD 300,Primary,Regular school,No,31,0,2,0,1,1,0,0,1563199,321075.781,345279.438,113752.922
mixed - most recent,1.71E+11,Algonquin Middle School,IL,CCSD 62,Middle,Regular school,No,68,0,7,0,3,1,0,0,5480862,310327.875,341228.188,244546
mixed - most recent,1.71E+11,Algonquin Middle School,IL,CUSD 300,Middle,Regular school,No,39,0,2,1,1,1,0,0,1583149,383291.812,239752.297,204068.062
mixed - most recent,1.73E+11,Algonquin Primary Center,IL,Park Forest SD 163,Prekindergarten,Regular school,No,7,0,-2,0.33,1,0.33,0,0,Not applicable,-2,-2,-2
mixed - most recent,1.72E+11,Algonquin Road Elem School,IL,Fox River Grove Cons SD 3,Primary,Regular school,No,18,0,2.85,0,0.5,0.3,0,0,998718,44251.719,126632.117,131941.141
mixed - most recent,1.72E+11,Alhambra Primary School,IL,Highland CUSD 5,Primary,Regular school,No,12,0,1.02,0,0.1,0.1,0,0,553156,1470.75,63463.711,31022.529
mixed - most recent,1.71E+11,Alice Gustafson Elem School,IL,Batavia USD 101,Primary,Regular school,No,37,0,5.5,0,2,1,0,0,1741609,67234,284575,152078
mixed - most recent,1.72E+11,Allen Junior High School,IL,La Moille CUSD 303,Middle,Regular school,No,9,0,0.68,0.25,0,0,0,0,343956,89950.859,31277.4,41429.012
mixed - most recent,1.70E+11,Allendale Elementary School,IL,Allendale CCSD 17,Primary,Regular school,No,11,0,1,0,0,0,0,0,408471,19210,21384,23424
mixed - most recent,1.70E+11,Allendale School,IL,CHSD 117,High,Other/alternative school,No,15,3,1,0,0,2,0,0,449231,-2,69989.672,-2
mixed - most recent,1.70E+11,ALOP Academic Learning Program,IL,Region 06 West Cook ISC 2,High,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALOP,IL,Kane ROE,High,Other/alternative school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALSP-Blackhawk MS-Bensenville SD 2,IL,North DuPage Sp Ed Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALSP-DuJardin Elem Sch-Bloomingdale SD 13,IL,North DuPage Sp Ed Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALSP-F.E. Peacock MS-Itasca SD 10,IL,North DuPage Sp Ed Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALSP-Fenton CHS-Fenton HSD 100,IL,North DuPage Sp Ed Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALSP-Lake Park East HS-Lake Park SD 108,IL,North DuPage Sp Ed Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALSP-Medinah Inter Sch-Medinah SD 11,IL,North DuPage Sp Ed Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,ALSP-Westfield MS-Bloomingdale SD 13,IL,North DuPage Sp Ed Cooperative,Missing/not reported,Special education school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,Altamont Grade School,IL,Altamont CUSD 10,Primary,Regular school,No,31,0,4,0,0.78,0.8,0.5,0,1379767,58273.031,183109.656,131635
mixed - most recent,1.70E+11,Altamont High School,IL,Altamont CUSD 10,High,Regular school,No,24,1,1,1,0,0,0.5,0,1149180,-2,43556.5,150071.359
mixed - most recent,1.70E+11,Alton High School,IL,Alton CUSD 11,High,Regular school,No,122,4,16,4,5,0,0,4,5625347,444266.656,450367.688,677330.875
mixed - most recent,1.70E+11,Alton Middle School,IL,Alton CUSD 11,Middle,Regular school,No,104,1,6,0,1,0,0,4,4209536,450564.469,116653.242,510741.281
mixed - most recent,1.70E+11,AlWood  Middle/High School,IL,AlWood CUSD 225,High,Regular school,No,18,0,2.4,1,0.4,0.2,0,0,809907,17192.33,68429.648,249623.562
mixed - most recent,1.70E+11,AlWood Elem School,IL,AlWood CUSD 225,Primary,Regular school,No,17,0,2.6,0,0.4,0.2,0,0,679771,63720.32,100281.273,194180.812
mixed - most recent,1.70E+11,Amandla Charter School,IL,Amandla Charter School,High,Regular school,Yes,20,5.78,1.28,1.28,1,0,0,3.86,1092578,70551.969,120303.461,587868.438
mixed - most recent,1.70E+11,Amboy Central Elem School,IL,Amboy CUSD 272,Primary,Regular school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,Amboy High School,IL,Amboy CUSD 272,High,Regular school,No,,,,,,,,,,,,
mixed - most recent,1.70E+11,Amboy Jr High School,IL,Amboy CUSD 272,Middle,Regular school,No,,,,,,,,,,,,
mixed - most recent,1.73E+11,Amelia V Carriel Jr High,IL,O Fallon CCSD 90,Middle,Regular school,No,37,0,12,0,1,0,0,0,1627798,171068.844,22892.41,222236.219
mixed - most recent,1.71E+11,American Dreamer STEM Academy,IL,Decatur SD 61,Primary,Regular school,No,22,0,1.74,0,1,1,0,1,659699,24619.391,90625.953,112686.594
mixed - most recent,1.73E+11,Americana Elementary School,IL,Queen Bee SD 16,Primary,Regular school,No,28,0,3,0,1,0,0,0,1765587,282345,102813,178810
mixed - most recent,1.73E+11,Americana Elementary School,IL,Queen Bee SD 16,Primary,Regular school,No,25,0,3,0,0,0,0,0,1734504,120608,98340,198908
mixed - most recent,1.71E+11,Amos Alonzo Stagg High School,IL,Cons HSD 230,High,Regular school,No,156,0,29,9,5.4,1.3,0,2,10812254,389815.531,884885.125,1850952.25
mixed - most recent,1.71E+11,Amundsen High School,IL,City of Chicago SD 299,High,Regular school,No,75,0,13.5,3,0,0,0,8,4929496,359677.219,636145.25,496747
mixed - most recent,1.73E+11,Andalusia Elem School,IL,Rockridge CUSD 300,Primary,Regular school,No,14,0,3.06,0.2,0.2,0.2,0.2,0,893570,40996.91,45671.629,92415
mixed - most recent,1.74E+11,Anderson Elem School,IL,St Charles CUSD 303,Primary,Regular school,No,23,1,7.5,0,1,0,0,0,1280107,127020.711,476774.406,115908.359
mixed - most recent,1.74E+11,Andrew Cooke Magnet Elem School,IL,Waukegan CUSD 60,Primary,Regular school,No,32,4,4,0,1,1,0,0,1466177,306380.5,114665.961,97143
mixed - most recent,1.73E+11,Ann Reid Early Childhood Center,IL,Naperville CUSD 203,Prekindergarten,Regular school,No,19,0,-2,0,1.5,1.4,0,0,Not applicable,-2,-2,-2
mixed - most recent,1.70E+11,Anna Junior High School,IL,Anna CCSD 37,Middle,Regular school,No,21,0,1,1,0,0,0,0,950969,85565,30775,100277
mixed - most recent,1.72E+11,Anna McDonald Elem School,IL,Manhattan SD 114,Primary,Regular school,No,27,0,5,0,0,0,0,0,1319881,120457,421580,176996
mixed - most recent,1.70E+11,Anna-Jonesboro High School,IL,Anna Jonesboro CHSD 81,High,Regular school,No,33,0,17.5,1,0,0,0,0,1682270,33390.199,333128.312,494135.281
mixed - most recent,1.70E+11,Annawan Grade School,IL,Annawan CUSD 226,Primary,Regular school,No,18,0,0,1,0,0,0,0,817640,62126,-2,89733
mixed - most recent,1.70E+11,Annawan High School,IL,Annawan CUSD 226,High,Regular school,No,11,0,15,1,0,0,0,0,522419,-2,87818,205799
mixed - most recent,1.73E+11,Anne Fox Elem School,IL,Schaumburg CCSD 54,Primary,Regular school,No,26,0,21.14,0,1,1,0,0,2175230,294818.938,1368286.75,284667.438
mixed - most recent,1.73E+11,Anne M Jeans Elem School,IL,CCSD 180,Primary,Regular school,No,28,0,4.03,0,2,0.5,0,0,1662342,213404.078,252972.688,109890.133
mixed - most recent,1.73E+11,Anne Sullivan Elem School,IL,Prospect Heights SD 23,Primary,Regular school,No,24,0,6,0,1,0.5,0,0,1669007,178787,436002,106072
mixed - most recent,1.71E+11,Annette Officer Elementary,IL,East St Louis SD 189,Primary,Regular school,No,26,2,7.48,0,2,0.33,0,1.05,1372853,46075.941,691657.688,163500
mixed - most recent,1.70E+11,Antioch Comm High School,IL,CHSD 117,High,Regular school,No,92,0,11,5,2,2,0,4,5577291,123441.922,838046.25,910606
mixed - most recent,1.70E+11,Antioch Upper Grade School,IL,Antioch CCSD 34,Middle,Regular school,No,76,0,13.33,4,2.5,1.5,0,0,4671296,373182.188,451761.062,332461.25
mixed - most recent,1.73E+11,Aplington Middle School,IL,Polo CUSD 222,Middle,Regular school,No,9,0,3.41,1.2,0.2,0,0,0,400977,13400,114533,132552
mixed - most recent,1.71E+11,Apollo Elem School,IL,East Maine SD 63,Primary,Regular school,No,48,0,3,0,2,1,0,0,2116529,81874.219,67065.5,198848.453
mixed - most recent,1.70E+11,Apollo Elem School,IL,Mercer County School District 404,Primary,Regular school,No,21,0,7,0.8,0,0,0,0,1202602,120714.312,141898.781,81554.789
mixed - most recent,1.70E+11,Aptakisic Junior High School,IL,Aptakisic-Tripp CCSD 102,Middle,Regular school,No,39,0,7,0,1,1,1,0,3102278,260088.562,610361,194531.5
mixed - most recent,1.70E+11,Arbor Academy,IL,Northern Suburban Spec Ed Dist,Missing/not reported,Special education school,No,3,0,6.2,0,0,0.5,0,0,166954,218222.906,302997,102871.312
mixed - most recent,1.70E+11,Arbor Park Middle School,IL,Arbor Park SD 145,Middle,Regular school,No,35,0,4,1.25,1,1,0,0,1893805,167243.516,221131.516,173562.062
mixed - most recent,1.74E+11,Arbor View Elem School,IL,CCSD 89,Primary,Regular school,No,22,0,3.9,0,1,0.6,0,0,1516612,27793.471,273423.906,108556
mixed - most recent,1.74E+11,Arbury Hills Elem School,IL,Summit Hill SD 161,Primary,Regular school,No,13,0,1,0,1,0.4,0,0,1039198,379789,11497,93407
mixed - most recent,1.70E+11,ARC,IL,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,High,Other/alternative school,No,0,0,1,0.25,0.25,0,0,0,16536,12500,24236.18,19890
mixed - most recent,1.73E+11,Arcadia Elem School,IL,Matteson ESD 162,Primary,Regular school,No,33,0,1.5,0,1,0.5,0,0,1857130,64120.84,112865.117,236361.688
mixed - most recent,1.70E+11,Arcola Elementary School,IL,Arcola CUSD 306,Primary,Regular school,No,35,0,16.25,0,0.5,0.05,0,0,1192494,158697,275615.156,142394
mixed - most recent,1.70E+11,Arcola High School,IL,Arcola CUSD 306,High,Regular school,No,26,0,13.5,1,0.5,0.01,0,0,1235238,81883,118950.5,142144.703
mixed - most recent,1.74E+11,Ardmore Elem School,IL,SD 45 DuPage County,Primary,Regular school,No,27,0,5,0,0.8,0.5,0,0,1865811,204537.438,232877.75,215302
mixed - most recent,1.70E+11,Ardmore Elem School,IL,Addison SD 4,Primary,Regular school,No,26,0,1,0,0,0,0,0,1386558,72903.117,20571.43,90200
mixed - most recent,1.70E+11,Argenta-Oreana Elementary School,IL,Argenta-Oreana CUSD 1,Primary,Regular school,No,32,0,11,0,0.5,0,0,0,1371490,37837,272547,76489
mixed - most recent,1.70E+11,Argenta-Oreana High School,IL,Argenta-Oreana CUSD 1,High,Regular school,No,22,0,9,0.75,0.25,0,0,0,1007386,10819,289875,180020
mixed - most recent,1.70E+11,Argenta-Oreana Middle School,IL,Argenta-Oreana CUSD 1,Middle,Regular school,No,15,0,3,0.25,0.25,0,0,0,608639,13771,58311,82647
mixed - most recent,1.70E+11,Argo Community High School,IL,Argo CHSD 217,High,Regular school,No,123,0,47,6,2,1,1,11,12540089,528131.688,2918945,1456272.375
mixed - most recent,1.71E+11,Ariel Elem Community Academy,IL,City of Chicago SD 299,Primary,Regular school,No,30,0,5,1,0,0,0,3,1505762,296004.312,199752.531,252329
mixed - most recent,1.73E+11,Arland D Williams Jr Elem Sch,IL,Mattoon CUSD 2,Primary,Regular school,No,47,0,5,0,1,1,0,0,2781574,148118,356227,194855
mixed - most recent,1.74E+11,Arlene Welch Elementary School,IL,Indian Prairie CUSD 204,Primary,Regular school,No,43,0,6.5,0,1,0.6,0,0,2843655,220168.828,439749.219,131620.406
mixed - most recent,1.71E+11,Armour Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,17,0,6,1,0,0,0,2,979869,262735.219,267152.312,228000
mixed - most recent,1.71E+11,Armstrong G Elem IntL Studies,IL,City of Chicago SD 299,Primary,Regular school,No,81,0,5,1,0,0,2,2,4574643,470466.812,198310.703,389685
mixed - most recent,1.70E+11,Armstrong High School,IL,Armstrong Twp HSD 225,High,Regular school,No,14,0,1,1,0,0,0,0,809519,28000,50166,143224
mixed - most recent,1.70E+11,Armstrong-Ellis Elem School,IL,Armstrong-Ellis Cons SD 61,Primary,Regular school,No,12,0,0.2,0,0.1,0.4,0,0,502234,51513.238,13720,102342.602
mixed - most recent,1.71E+11,Armstrong-Oakview Elem School,IL,East Peoria SD 86,Primary,Regular school,No,12,0,3,0.17,0.34,0.14,0,0,621094,41994,94389,66998
mixed - most recent,1.70E+11,Army Trail Elem School,IL,Addison SD 4,Primary,Regular school,No,26,0,2,0,0,1,0,0,1581680,224224.625,105755.359,118185
mixed - most recent,1.71E+11,Arnett C Lines Elem School,IL,Barrington CUSD 220,Primary,Regular school,No,31,0,4.95,0,0,1.8,0,0,2747240,311528.219,551673,239642.594
mixed - most recent,1.73E+11,Arnold J Tyler School,IL,New Lenox SD 122,Primary,Regular school,No,19,0,2,0,1,0.5,0,0,1004208,46732,98503,94842
mixed - most recent,1.74E+11,Arnold W Kruse Ed Center,IL,CCSD 146,Primary,Regular school,No,38,0,9,3,1.5,0.5,0,0,2352577,296000,260000,125000
mixed - most recent,1.71E+11,Art in Motion Charter School,IL,City of Chicago SD 299,Middle,Regular school,Yes,,,,,,,,,,,,
mixed - most recent,1.73E+11,Arthur Froberg Elem School,IL,Rockford SD 205,Primary,Regular school,No,26,0,10.5,0,1,1,0,0,1494948,143111.578,75502.406,169542.219
