year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,teachers_fte_crdc,teachers_uncertified_fte,support_fte,counselors_fte,social_workers_fte,psychologists_fte,law_enforcement_fte,security_guard_fte,salaries_teachers,salaries_instructional_aides,salaries_support,salaries_administration
mixed - most recent,1.73E+11,North Clay Elem/Jr High Sch,IL,North Clay CUSD 25,Primary,Regular school,No,40,8,18.6,0,0,0,0,0,1265672,21920.301,489892.406,160818.422
mixed - most recent,1.70E+11,North Cook Young Adult Academy,IL,Region 05 North Cook ISC 1,High,Other/alternative school,No,5,0,1.5,0.5,1.5,0,0,0,490544,-2,62121.59,203636.922
mixed - most recent,1.74E+11,North Elem School,IL,Waukegan CUSD 60,Primary,Regular school,No,41,7,3,0,1,1,0,0,1664480,210736.297,125617.781,169976.875
mixed - most recent,1.74E+11,North Elem School,IL,SD 45 DuPage County,Primary,Regular school,No,25,0,4,0,1,0.5,0,0,1778682,103862.641,224836.75,216429
mixed - most recent,1.74E+11,North Elem School,IL,Taylorville CUSD 3,Primary,Regular school,No,25,0,7,0,0,0,0,0,959627,0,186649,80142
mixed - most recent,1.73E+11,North Elem School,IL,Nokomis CUSD 22,Primary,Regular school,No,47,0,40,0,0,0,0,0,1511645,63288.621,759229.5,332379.5
mixed - most recent,1.72E+11,North Elem School,IL,Marshall CUSD 2C,Primary,Regular school,No,25,0,9,0.25,0.2,0.35,0,0,830706,96205,197483,81142
mixed - most recent,1.72E+11,North Elem School,IL,Franklin Park SD 84,Primary,Regular school,No,21,0,2.25,0,1,0,0,0,882492,29244,185145.922,111538
mixed - most recent,1.71E+11,North Elem School,IL,Crystal Lake CCSD 47,Primary,Regular school,No,49,6.4,4.2,0,2,0.6,0,0,2736797,192292.594,270231.781,177066.375
mixed - most recent,1.74E+11,North Elementary School,IL,Sycamore CUSD 427,Primary,Regular school,No,22,0,3,0,0.4,0.3,0,0,1439689,72628.906,101599.039,115969.969
mixed - most recent,1.71E+11,North Elementary School,IL,CCSD 62,Primary,Regular school,No,47,0,10,0,3,1,0,0,3419668,87345.398,347247.219,106512.656
mixed - most recent,1.70E+11,North Elementary School,IL,Alton CUSD 11,Primary,Regular school,No,40,0,4,0,1,0,0,0,1646542,175154.156,39375.578,170592.688
mixed - most recent,1.74E+11,North Greene Elem,IL,North Greene CUSD 3,Primary,Regular school,No,33,0,1.5,0,0.5,0,0,0,796327,245164.484,61888.172,61200
mixed - most recent,1.74E+11,North Greene Jr/Sr High Sch,IL,North Greene CUSD 3,High,Regular school,No,36,0,3.5,1,0.5,0,0,0,1064756,223607.828,116944.25,68542.539
mixed - most recent,1.74E+11,North Grove Elementary School,IL,Sycamore CUSD 427,Primary,Regular school,No,29,0,5,0,0.6,0.4,0,0,1903869,218676.844,133187.203,94017.688
mixed - most recent,1.72E+11,North Jacksonville School,IL,Jacksonville SD 117,Primary,Regular school,No,11,0,0.5,0,1,1,0,0,553029,-2,36218.648,58101.699
mixed - most recent,1.71E+11,North Lawndale Prep Chtr - Christiana,IL,City of Chicago SD 299,High,Regular school,Yes,25,4,8,3,0.5,0.2,0,2.5,1293287,78148.969,298591.312,190619.359
mixed - most recent,1.71E+11,North Lawndale Prep Chtr-Collins,IL,City of Chicago SD 299,High,Regular school,Yes,25,5,12,3,0.5,0.2,0.5,3,1622853,16832.449,410052.094,279833.344
mixed - most recent,1.70E+11,North Mac Elementary,IL,North Mac CUSD 34,Primary,Regular school,No,21,0,17,0.5,0,0,0,0,1019747,107799.211,448895.656,165519.484
mixed - most recent,1.70E+11,North Mac High School,IL,North Mac CUSD 34,High,Regular school,No,22,0,17,1,0,0,0,0,1048389,33206.84,443916.844,244511.344
mixed - most recent,1.70E+11,North Mac Intermediate,IL,North Mac CUSD 34,Primary,Regular school,No,16,0,16,0.5,0,0,0,0,752439,-2,454704,125493.047
mixed - most recent,1.70E+11,North Mac Middle School,IL,North Mac CUSD 34,Middle,Regular school,No,21,0,11.75,1,0,0,0,0,1010091,-2,200788.875,100394.438
mixed - most recent,1.74E+11,North Prairie Jr High,IL,Winthrop Harbor SD 1,Middle,Regular school,No,18,0,13,0,0.5,0.5,0,0,985394,43151.031,166029.266,404198.031
mixed - most recent,1.71E+11,North Ridge Middle School,IL,Danville CCSD 118,Middle,Regular school,No,50,0,3.9,3,1,0.9,1,0,1783102,554464.562,231949.953,185585
mixed - most recent,1.71E+11,North River Elem School,IL,City of Chicago SD 299,Primary,Regular school,No,22,0,3,1,0,0,0,1,1050494,270221.375,123930.461,266427
mixed - most recent,1.70E+11,North Shore Academy Elem,IL,Northern Suburban Spec Ed Dist,Primary,Special education school,No,6,0,10.5,1,2,2,0,0,435709,288975.688,612420.75,175173.906
