Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U22171,22171,Newton Bateman Elementary School," 98,80,083 "," 93,19,660 "," (5,60,424)", 90 , 92 , 2 ," 86,23,670 ", 88 , -   ," (5,60,424)",92
U69523,69523,Nguzo Saba Academy," 1,400 ", -   ," (1,400)", -   , -   , -   , -   , -   , -   ," (1,400)",0
U47061,47061,Nicholas Senn High School," 1,71,57,504 "," 1,63,88,981 "," (7,68,524)", 152 , 155 , 3 ," 1,54,72,974 ", 147 , -   ," (7,68,524)",154.5
U31101,31101,Ninos Heroes Academic Center," 45,21,707 "," 44,12,721 "," (1,08,986)", 43 , 44 , 1 ," 37,53,755 ", 40 , -   ," (1,08,986)",44
U66577,66577,Noble - Baker College Prep," 32,52,611 "," 34,40,470 "," 1,87,858 ", -   , -   , -   ," 31,35,049 ", -   , -   ," 1,87,858 ",0
U66576,66576,Noble - Butler College Prep," 82,30,726 "," 86,62,998 "," 4,32,271 ", -   , -   , -   ," 84,75,013 ", -   , -   ," 4,32,271 ",0
U66575,66575,Noble - DRW College Prep," 47,59,617 "," 47,79,342 "," 19,724 ", -   , -   , -   ," 53,67,427 ", -   , -   ," 19,724 ",0
U66574,66574,Noble - Hansberry College Prep," 73,32,091 "," 76,10,858 "," 2,78,767 ", -   , -   , -   ," 75,72,463 ", -   , -   ," 2,78,767 ",0
U66148,66148,Noble - John and Eunice Johnson College Prep," 82,20,713 "," 72,69,910 "," (9,50,804)", -   , -   , -   ," 98,74,557 ", -   , -   ," (9,50,804)",0
U66579,66579,Noble - Mansueto High School," 1,55,81,858 "," 1,65,12,765 "," 9,30,908 ", -   , -   , -   ," 1,32,30,743 ", -   , -   ," 9,30,908 ",0
U66141,66141,Noble - Noble College Prep," 98,69,019 "," 1,03,19,067 "," 4,50,048 ", -   , -   , -   ," 89,46,826 ", -   , -   ," 4,50,048 ",0
U66572,66572,Noble Street Charter High School - Chicago Bulls College Prep Campus," 1,58,36,948 "," 1,59,35,465 "," 98,517 ", -   , -   , -   ," 1,32,74,340 ", -   , -   ," 98,517 ",0
U66146,66146,Noble Street Charter High School - Comer Campus," 1,61,09,779 "," 1,72,08,033 "," 10,98,254 ", -   , -   , -   ," 1,47,29,390 ", -   , -   ," 10,98,254 ",0
U66145,66145,Noble Street Charter High School - Golder Campus," 94,84,105 "," 1,00,06,036 "," 5,21,930 ", -   , -   , -   ," 91,77,567 ", -   , -   ," 5,21,930 ",0
U66573,66573,Noble Street Charter High School - Muchin College Prep Campus," 1,36,21,450 "," 1,40,71,509 "," 4,50,059 ", -   , -   , -   ," 1,26,81,983 ", -   , -   ," 4,50,059 ",0
U66142,66142,Noble Street Charter High School - Pritzker College Prep Campus," 1,38,49,819 "," 1,44,09,143 "," 5,59,323 ", -   , -   , -   ," 1,29,93,477 ", -   , -   ," 5,59,323 ",0
U66143,66143,Noble Street Charter High School - Rauner College Prep Campus," 91,36,178 "," 95,51,788 "," 4,15,610 ", -   , -   , -   ," 82,69,022 ", -   , -   ," 4,15,610 ",0
U66144,66144,Noble Street Charter High School - Rowe Clark Campus," 62,61,169 "," 61,83,884 "," (77,285)", -   , -   , -   ," 60,07,659 ", -   , -   ," (77,285)",0
U66147,66147,Noble Street Charter High School - UIC Campus," 1,22,59,061 "," 1,30,73,087 "," 8,14,025 ", -   , -   , -   ," 1,12,05,082 ", -   , -   ," 8,14,025 ",0
U66578,66578,Noble Street Charter School - The Noble Academy," 63,56,472 "," 66,52,238 "," 2,95,766 ", -   , -   , -   ," 53,96,219 ", -   , -   ," 2,95,766 ",0
U66149,66149,Noble Street Charter School -ITW David Speer Academy," 1,56,34,724 "," 1,70,60,213 "," 14,25,488 ", -   , -   , -   ," 1,42,07,166 ", -   , -   ," 14,25,488 ",0
U22321,22321,Norman Bridge School," 1,06,62,400 "," 95,60,846 "," (11,01,554)", 89 , 88 , (1)," 89,95,155 ", 84 , -   ," (11,01,554)",88
U46431,46431,North Grand High School," 1,30,85,042 "," 1,27,06,738 "," (3,78,305)", 116 , 120 , 4 ," 1,08,67,353 ", 113 , -   ," (3,78,305)",120
U66091,66091,North Lawndale College Prep - Christiana," 44,89,542 "," 47,31,447 "," 2,41,905 ", 4 , 4 , -   ," 48,19,634 ", 4 , -   ," 2,41,905 ",4
U66092,66092,North Lawndale College Prep - Collins," 52,77,687 "," 58,95,437 "," 6,17,750 ", -   , -   , -   ," 46,85,920 ", -   , -   ," 6,17,750 ",0
U69509,69509,North Park Elementary School," 93,490 ", -   ," (93,490)", -   , -   , -   ," 30,070 ", -   , -   ," (93,490)",0
U26841,26841,North River Elementary School," 40,96,054 "," 37,10,432 "," (3,85,621)", 37 , 36 , (1)," 34,22,639 ", 36 , -   ," (3,85,621)",36
U69327,69327,North Shore SDA Junior Academy," 8,511 ", -   ," (8,511)", -   , -   , -   ," 3,935 ", -   , -   ," (8,511)",0
U69115,69115,Northside Cath Academy," 1,40,303 ", -   ," (1,40,303)", -   , -   , -   ," 8,950 ", -   , -   ," (1,40,303)",0
U69145,69145,Northside Cath Academy," 29,033 ", -   ," (29,033)", -   , -   , -   , -   , -   , -   ," (29,033)",0
U46061,46061,Northside College Prep," 1,12,08,758 "," 1,06,26,720 "," (5,82,037)", 93 , 96 , 3 ," 1,00,68,292 ", 97 , -   ," (5,82,037)",95.5
U49021,49021,Northside Learning Center," 88,80,208 "," 94,87,786 "," 6,07,579 ", 104 , 110 , 6 ," 79,66,810 ", 97 , -   ," 6,07,579 ",110
U69315,69315,Northwest Institute," 22,072 ", -   ," (22,072)", -   , -   , -   , -   , -   , -   ," (22,072)",0
U41121,41121,Northwest Middle School," 63,07,526 "," 61,55,007 "," (1,52,519)", 59 , 61 , 2 ," 54,60,202 ", 56 , -   ," (1,52,519)",61
U24711,24711,Norwood Park Elementary School," 47,03,216 "," 44,01,333 "," (3,01,883)", 43 , 41 , (2)," 42,05,585 ", 38 , -   ," (3,01,883)",40.5
U69609,69609,Notre Dame College Prep," 4,029 ", -   ," (4,029)", -   , -   , -   ," 5,180 ", -   , -   ," (4,029)",0
U12010,12010,Nutrition Support Services," 24,29,788 "," 24,13,150 "," (16,637)", 26 , 26 , -   ," 22,92,191 ", 26 , -   ," (16,637)",26
U12050,12050,Nutrition Support Services - City Wide," 20,04,30,084 "," 14,39,21,045 "," (5,65,09,039)", 317 , 319 , 2 ," 13,07,95,409 ", 317 , -   ," (5,65,09,039)",319
U69556,69556,Oakdale Christian Academy," 77,911 ", -   ," (77,911)", -   , -   , -   ," 29,254 ", -   , -   ," (77,911)",0
U12120,12120,Office Of Portfolio Management," 22,04,160 "," 13,33,702 "," (8,70,458)", 7 , 8 , 1 ," 3,54,647 ", 2 , -   ," (8,70,458)",8
U69510,69510,Office of Catholic Schools," 2,24,09,557 ", -   ," (2,24,09,557)", -   , -   , -   ," 1,75,87,379 ", -   , -   ," (2,24,09,557)",0
U10430,10430,Office of Internal Audit and Compliance," 25,03,070 "," 24,41,576 "," (61,495)", 14 , 14 , -   ," 25,43,724 ", 15 , -   ," (61,495)",14
U15500,15500,Office of Planning and Data Management," 10,95,564 "," 9,50,029 "," (1,45,535)", 9 , 8 , (1)," 8,85,253 ", 6 , -   ," (1,45,535)",8
U10811,10811,Office of School Quality Measurement," 24,20,435 "," 29,18,285 "," 4,97,850 ", 16 , 16 , -   ," 26,27,108 ", 18 , -   ," 4,97,850 ",16
U14050,14050,Office of Student Health & Wellness," 1,92,29,354 "," 1,53,83,531 "," (38,45,823)", 88 , 144 , 56 ," 93,89,383 ", 83 , -   ," (38,45,823)",144
U10760,10760,Office of Student Protections & Title IX," 42,92,911 "," 48,59,175 "," 5,66,264 ", 39 , 41 , 2 ," 25,64,518 ", 24 , -   ," 5,66,264 ",41
U69198,69198,Old St. Mary School," 1,61,870 ", -   ," (1,61,870)", -   , -   , -   ," 3,579 ", -   , -   ," (1,61,870)",0
U29301,29301,Ole A Thorp Scholastic Academy," 94,39,935 "," 90,48,428 "," (3,91,507)", 87 , 83 , (4)," 79,55,628 ", 78 , -   ," (3,91,507)",83
U26381,26381,Oliver S Westcott Elementary School," 54,67,010 "," 54,14,192 "," (52,818)", 48 , 51 , 3 ," 45,91,671 ", 45 , -   ," (52,818)",51
U23831,23831,Oliver Wendell Holmes School," 25,97,401 "," 24,98,948 "," (98,452)", 24 , 23 , (1)," 24,58,048 ", 25 , -   ," (98,452)",23
U65014,65014,Ombudsman Chicago - South," 60,32,472 "," 64,32,995 "," 4,00,524 ", -   , -   , -   ," 55,37,320 ", -   , -   ," 4,00,524 ",0
U65013,65013,Ombudsman Chicago Northwest," 40,03,507 "," 38,63,388 "," (1,40,119)", -   , -   , -   ," 29,61,671 ", -   , -   ," (1,40,119)",0
