Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U11910,11910,Real Estate," 2,14,04,386 "," 2,25,75,266 "," 11,70,879 ", 12 , 13 , 1 ," 2,01,73,453 ", 11 , -   ," 11,70,879 ",13
U69398,69398,Resurrection High School," 2,25,290 ", -   ," (2,25,290)", -   , -   , -   ," 16,572 ", -   , -   ," (2,25,290)",0
U23081,23081,Richard Edwards School," 1,62,19,608 "," 1,61,14,436 "," (1,05,172)", 153 , 155 , 2 ," 1,44,49,138 ", 145 , -   ," (1,05,172)",155
U26331,26331,Richard Henry Lee School," 84,14,846 "," 77,06,638 "," (7,08,208)", 71 , 70 , (1)," 75,83,285 ", 70 , -   ," (7,08,208)",69.5
U25951,25951,Richard J Daley Academy," 66,48,464 "," 60,40,137 "," (6,08,327)", 56 , 56 , -   ," 57,86,142 ", 58 , -   ," (6,08,327)",56
U24741,24741,Richard J Oglesby School," 57,21,406 "," 52,93,373 "," (4,28,032)", 53 , 48 , (5)," 52,55,213 ", 53 , -   ," (4,28,032)",48
U46081,46081,Richard T Crane Tech Prep Comm On School, -   , -   , -   , -   , -   , -   ," 6,679 ", -   , -   , -   ,0
U46641,46641,Richard T. Crane (RTC) Medical Preparatory High School," 56,24,395 "," 58,05,739 "," 1,81,345 ", 54 , 58 , 4 ," 46,94,442 ", 49 , -   ," 1,81,345 ",58
U25911,25911,Richard Yates Elementary School," 68,22,906 "," 63,84,998 "," (4,37,908)", 66 , 66 , -   ," 58,17,645 ", 64 , -   ," (4,37,908)",66
U12460,12460,Risk Management," 1,33,64,807 "," 1,47,24,226 "," 13,59,419 ", 3 , 4 , 1 ," 1,59,09,893 ", 3 , -   ," 13,59,419 ",4
U46031,46031,Roald Amundsen High School," 1,64,87,858 "," 1,53,71,396 "," (11,16,462)", 144 , 145 , 1 ," 1,42,84,777 ", 140 , -   ," (11,16,462)",145
U29381,29381,Robert A Black Magnet School," 52,22,464 "," 52,77,727 "," 55,263 ", 41 , 47 , 6 ," 44,82,834 ", 41 , -   ," 55,263 ",47
U23281,23281,Robert Fulton School," 50,23,474 "," 48,90,944 "," (1,32,530)", 45 , 47 , 2 ," 43,57,385 ", 41 , -   ," (1,32,530)",46.5
U23651,23651,Robert Healy School," 1,27,98,650 "," 1,17,69,940 "," (10,28,711)", 104 , 103 , (1)," 1,14,60,428 ", 106 , -   ," (10,28,711)",103
U23381,23381,Robert J. Richardson Middle School," 1,15,99,492 "," 1,08,00,180 "," (7,99,312)", 97 , 96 , (1)," 1,02,81,490 ", 101 , -   ," (7,99,312)",96
U23461,23461,Robert L Grimes School," 54,27,217 "," 51,91,182 "," (2,36,035)", 49 , 50 , 1 ," 44,82,259 ", 45 , -   ," (2,36,035)",50
U46231,46231,Robert Lindblom Technical High School," 1,19,287 ", -   ," (1,19,287)", -   , -   , -   ," 2,300 ", -   , -   ," (1,19,287)",0
U51091,51091,Roberto Clemente Community Academy High School," 97,21,636 "," 96,02,043 "," (1,19,594)", 100 , 106 , 6 ," 85,46,260 ", 100 , -   ," (1,19,594)",106
U24101,24101,Rodolfo Lozano Bilingual & International Ctr School," 45,56,227 "," 45,68,757 "," 12,529 ", 50 , 51 , 1 ," 39,84,953 ", 47 , -   ," 12,529 ",51
U46301,46301,Roger C Sullivan High School," 90,72,421 "," 94,04,864 "," 3,32,443 ", 87 , 89 , 2 ," 85,79,512 ", 87 , -   ," 3,32,443 ",89
U69248,69248,Rogers Park Montessori School," 2,02,522 ", -   ," (2,02,522)", -   , -   , -   ," 46,250 ", -   , -   ," (2,02,522)",0
U26301,26301,Ronald E McNair Elementary School," 62,39,843 "," 64,79,501 "," 2,39,658 ", 76 , 73 , (3)," 53,81,192 ", 72 , -   ," 2,39,658 ",73
U24631,24631,Ronald H Brown Community Academy," 40,98,929 "," 40,76,092 "," (22,836)", 36 , 36 , -   ," 36,76,060 ", 33 , -   ," (22,836)",35.5
U24381,24381,Roswell B Mason Elementary School," 47,81,895 "," 45,15,940 "," (2,65,955)", 39 , 39 , -   ," 41,58,315 ", 37 , -   ," (2,65,955)",39
U66571,66571,Rowe Elementary School," 1,23,69,226 "," 1,16,96,325 "," (6,72,901)", -   , -   , -   ," 1,05,10,305 ", -   , -   ," (6,72,901)",0
U30101,30101,Ruben Salazar Bilingual Education Center School," 44,60,961 "," 43,04,583 "," (1,56,378)", 40 , 41 , 1 ," 38,87,129 ", 38 , -   ," (1,56,378)",41
U24081,24081,Rudyard Kipling School," 40,87,984 "," 39,00,837 "," (1,87,147)", 35 , 36 , 1 ," 32,03,286 ", 31 , -   ," (1,87,147)",36
U23811,23811,Rufus M Hitch School," 59,14,996 "," 56,22,598 "," (2,92,398)", 51 , 51 , 1 ," 52,16,707 ", 48 , -   ," (2,92,398)",51
U69628,69628,Ryan Banks Academy," 1,000 ", -   ," (1,000)", -   , -   , -   , -   , -   , -   ," (1,000)",0
U22711,22711,STEM Magnet Academy," 46,23,473 "," 44,35,080 "," (1,88,392)", 44 , 43 , (1)," 39,37,844 ", 40 , -   ," (1,88,392)",42.5
U69270,69270,Sacred Heart School," 94,999 ", -   ," (94,999)", -   , -   , -   ," 4,272 ", -   , -   ," (94,999)",0
U10615,10615,Safety and Security - City Wide," 2,78,22,818 "," 5,15,90,268 "," 2,37,67,449 ", 129 , 864 , 735 ," 3,05,41,478 ", 128 , -   ," 2,37,67,449 ",864
U69389,69389,Salem Christian School," 45,897 ", -   ," (45,897)", -   , -   , -   ," 4,220 ", -   , -   ," (45,897)",0
U22701,22701,Salmon P Chase School," 73,53,108 "," 73,44,265 "," (8,843)", 76 , 78 , 2 ," 65,31,759 ", 72 , -   ," (8,843)",78
U69142,69142,San Miguel School," 67,938 ", -   ," (67,938)", -   , -   , -   ," 8,775 ", -   , -   ," (67,938)",0
U26721,26721,Sandoval Elementary School," 94,62,519 "," 86,46,815 "," (8,15,704)", 85 , 83 , (2)," 86,85,055 ", 88 , -   ," (8,15,704)",83
U46611,46611,Sarah E. Goode STEM Academy," 1,07,98,510 "," 1,07,40,358 "," (58,152)", 96 , 102 , 6 ," 96,54,568 ", 96 , -   ," (58,152)",102
U25211,25211,Sauganash Elementary School," 60,42,645 "," 54,66,637 "," (5,76,007)", 49 , 51 , 2 ," 51,65,535 ", 46 , -   ," (5,76,007)",50.5
U10610,10610,School Safety and Security Office," 61,94,273 "," 67,63,717 "," 5,69,444 ", 35 , 35 , -   ," 83,03,421 ", 35 , -   ," 5,69,444 ",35
U15010,15010,School Support Center - City Wide," 76,89,920 ", -   ," (76,89,920)", 90 , -   , (90)," 82,26,862 ", 85 , -   ," (76,89,920)",0
U11940,11940,School Transportation - City Wide," 12,12,48,315 "," 12,62,92,218 "," 50,43,904 ", 805 , 805 , -   ," 11,58,91,628 ", 805 , -   ," 50,43,904 ",805
U10871,10871,Science Technology Engineering & Math (STEM) Programs," 79,17,420 "," 81,38,068 "," 2,20,649 ", 22 , 21 , (1)," 70,56,222 ", 25 , -   ," 2,20,649 ",21
U22281,22281,Scott Joplin School," 48,88,035 "," 49,22,212 "," 34,177 ", 37 , 41 , 4 ," 44,49,268 ", 42 , -   ," 34,177 ",41
U69629,69629,Shaarei Chinuch Day School," 38,068 ", -   ," (38,068)", -   , -   , -   ," 4,000 ", -   , -   ," (38,068)",0
U23551,23551,Sharon Christa Mcauliffe Elementary School," 75,35,139 "," 68,47,784 "," (6,87,355)", 68 , 64 , (4)," 66,23,361 ", 68 , -   ," (6,87,355)",64
U25231,25231,Sidney Sawyer School," 1,35,52,856 "," 1,20,24,580 "," (15,28,275)", 119 , 109 , (10)," 1,29,86,450 ", 129 , -   ," (15,28,275)",109
U49051,49051,Simpson Academy for Young Women," 21,68,446 "," 22,89,079 "," 1,20,634 ", 18 , 18 , -   ," 20,27,593 ", 18 , -   ," 1,20,634 ",18
U29391,29391,Sir Miles Davis Magnet Academy," 34,39,187 "," 34,85,169 "," 45,982 ", 33 , 34 , 1 ," 30,99,006 ", 31 , -   ," 45,982 ",34
U22591,22591,Skinner North," 50,33,018 "," 46,24,750 "," (4,08,268)", 42 , 43 , 1 ," 43,11,758 ", 42 , -   ," (4,08,268)",42.5
U10813,10813,Social Science & Civic Engagement," 30,96,971 "," 24,70,440 "," (6,26,530)", 14 , 16 , 2 ," 24,47,328 ", 13 , -   ," (6,26,530)",16
U10895,10895,Social and Emotional Learning," 30,84,512 "," 34,92,585 "," 4,08,073 ", 9 , 14 , 5 ," 32,61,149 ", 10 , -   ," 4,08,073 ",14
U10898,10898,Social and Emotional Learning - City Wide," 1,17,63,805 "," 1,03,24,420 "," (14,39,385)", 27 , 26 , (1)," 1,00,15,875 ", 24 , -   ," (14,39,385)",26
U25251,25251,Songhai Learning Institute, -   , -   , -   , -   , -   , -   ," 17,238 ", -   , -   , -   ,0
U23521,23521,Sor Juana Ines de la Cruz ES," 32,12,406 "," 35,06,459 "," 2,94,054 ", 28 , 32 , 4 ," 25,07,983 ", 23 , -   ," 2,94,054 ",31.5
U23751,23751,South Loop School," 84,75,642 "," 80,29,103 "," (4,46,540)", 84 , 82 , (2)," 69,13,739 ", 67 , -   ," (4,46,540)",82
U22251,22251,South Shore Fine Arts Academy," 55,52,202 "," 56,13,816 "," 61,614 ", 59 , 60 , 2 ," 47,47,393 ", 50 , -   ," 61,614 ",60
U46631,46631,South Shore International College Prep High School," 76,08,248 "," 75,26,932 "," (81,315)", 67 , 69 , 2 ," 71,90,561 ", 70 , -   ," (81,315)",69
U49031,49031,Southside Occupational Academy," 93,90,984 "," 1,07,28,244 "," 13,37,259 ", 106 , 117 , 11 ," 85,50,926 ", 103 , -   ," 13,37,259 ",117
U13737,13737,Sports Admin and Facilities Management - CW," 1,98,31,714 "," 2,42,16,463 "," 43,84,750 ", 22 , 23 , 1 ," 1,94,93,349 ", 22 , -   ," 43,84,750 ",23
U46461,46461,Spry Community Links High School," 31,06,442 "," 31,02,333 "," (4,109)", 26 , 28 , 2 ," 26,45,999 ", 25 , -   ," (4,109)",28
U69029,69029,St Ailbe," 59,981 ", -   ," (59,981)", -   , -   , -   ," 12,721 ", -   , -   ," (59,981)",0
U69033,69033,St Alphonsus," 1,75,663 ", -   ," (1,75,663)", -   , -   , -   ," 7,710 ", -   , -   ," (1,75,663)",0
U69037,69037,St Angela School," 1,17,984 ", -   ," (1,17,984)", -   , -   , -   ," 5,304 ", -   , -   ," (1,17,984)",0
U69038,69038,St Ann School," 83,417 ", -   ," (83,417)", -   , -   , -   ," 7,077 ", -   , -   ," (83,417)",0
U69049,69049,St Barbara," 63,416 ", -   ," (63,416)", -   , -   , -   ," 13,753 ", -   , -   ," (63,416)",0
U69050,69050,St Barnabas School," 1,90,949 ", -   ," (1,90,949)", -   , -   , -   , 546 , -   , -   ," (1,90,949)",0
U69051,69051,St Bartholomew School," 74,459 ", -   ," (74,459)", -   , -   , -   ," 17,217 ", -   , -   ," (74,459)",0
U69053,69053,St Bede The Venerable School," 1,35,339 ", -   ," (1,35,339)", -   , -   , -   ," 9,680 ", -   , -   ," (1,35,339)",0
U69054,69054,St Benedict School," 2,46,183 ", -   ," (2,46,183)", -   , -   , -   , -   , -   , -   ," (2,46,183)",0
U69064,69064,St Bruno School," 83,183 ", -   ," (83,183)", -   , -   , -   ," 6,076 ", -   , -   ," (83,183)",0
U69074,69074,St Christina School," 1,99,342 ", -   ," (1,99,342)", -   , -   , -   , -   , -   , -   ," (1,99,342)",0
U69082,69082,St Constance School," 47,323 ", -   ," (47,323)", -   , -   , -   ," 4,943 ", -   , -   ," (47,323)",0
U69091,69091,St Dorothy School," 21,332 ", -   ," (21,332)", -   , -   , -   , -   , -   , -   ," (21,332)",0
U69092,69092,St Edward School," 88,037 ", -   ," (88,037)", -   , -   , -   ," 22,063 ", -   , -   ," (88,037)",0
U69095,69095,St Ethelreda School," 1,26,418 ", -   ," (1,26,418)", -   , -   , -   ," 8,536 ", -   , -   ," (1,26,418)",0
U69098,69098,St Ferdinand School," 69,634 ", -   ," (69,634)", -   , -   , -   ," 2,194 ", -   , -   ," (69,634)",0
U69105,69105,St Francis Borgia School," 64,053 ", -   ," (64,053)", -   , -   , -   ," 3,041 ", -   , -   ," (64,053)",0
U69109,69109,St Gabriel School," 61,346 ", -   ," (61,346)", -   , -   , -   ," 4,025 ", -   , -   ," (61,346)",0
U69110,69110,St Gall School," 1,16,215 ", -   ," (1,16,215)", -   , -   , -   , -   , -   , -   ," (1,16,215)",0
U69111,69111,St Genevieve School," 1,12,362 ", -   ," (1,12,362)", -   , -   , -   ," 17,118 ", -   , -   ," (1,12,362)",0
U69120,69120,St Helen School," 1,36,375 ", -   ," (1,36,375)", -   , -   , -   , -   , -   , -   ," (1,36,375)",0
U69411,69411,St Ignatius College Prep," 8,47,793 ", -   ," (8,47,793)", -   , -   , -   ," 14,726 ", -   , -   ," (8,47,793)",0
U69148,69148,St Jane De Chantal School, -   , -   , -   , -   , -   , -   ," 3,290 ", -   , -   , -   ,0
U69150,69150,St Jerome School," 22,451 ", -   ," (22,451)", -   , -   , -   , -   , -   , -   ," (22,451)",0
U69151,69151,St Jerome School," 50,813 ", -   ," (50,813)", -   , -   , -   , -   , -   , -   ," (50,813)",0
U69154,69154,St John Berchmans School," 91,538 ", -   ," (91,538)", -   , -   , -   , -   , -   , -   ," (91,538)",0
U69156,69156,St John De La Salle School," 50,413 ", -   ," (50,413)", -   , -   , -   ," 11,981 ", -   , -   ," (50,413)",0
U69158,69158,St John Fisher School," 2,48,197 ", -   ," (2,48,197)", -   , -   , -   , -   , -   , -   ," (2,48,197)",0
U69328,69328,St John Lutheran School," 15,701 ", -   ," (15,701)", -   , -   , -   , -   , -   , -   ," (15,701)",0
U69491,69491,St Luke Lutheran School," 4,290 ", -   ," (4,290)", -   , -   , -   , -   , -   , -   ," (4,290)",0
U69180,69180,St Malacy School," 1,08,694 ", -   ," (1,08,694)", -   , -   , -   ," 6,972 ", -   , -   ," (1,08,694)",0
U69182,69182,St Margaret Of Scotland School," 80,844 ", -   ," (80,844)", -   , -   , -   ," 4,146 ", -   , -   ," (80,844)",0
U69189,69189,St Mary Of The Angels School," 72,078 ", -   ," (72,078)", -   , -   , -   , -   , -   , -   ," (72,078)",0
U69190,69190,St Mary Of The Lake School," 1,19,979 ", -   ," (1,19,979)", -   , -   , -   ," 29,856 ", -   , -   ," (1,19,979)",0
U69196,69196,St Mary Of The Woods School," 1,21,526 ", -   ," (1,21,526)", -   , -   , -   , -   , -   , -   ," (1,21,526)",0
U69195,69195,St Mary Star Of The Sea School," 1,05,287 ", -   ," (1,05,287)", -   , -   , -   ," 17,894 ", -   , -   ," (1,05,287)",0
U69199,69199,St Matthias School," 1,37,100 ", -   ," (1,37,100)", -   , -   , -   ," 6,164 ", -   , -   ," (1,37,100)",0
U69210,69210,St Nicholas Cathedral School," 88,430 ", -   ," (88,430)", -   , -   , -   ," 13,165 ", -   , -   ," (88,430)",0
U69212,69212,St Nicholas Of Tolentine School," 1,96,014 ", -   ," (1,96,014)", -   , -   , -   ," 19,536 ", -   , -   ," (1,96,014)",0
U69236,69236,St Pascal School," 76,117 ", -   ," (76,117)", -   , -   , -   ," 2,392 ", -   , -   ," (76,117)",0
U69420,69420,St Patrick High School - Boys," 3,17,381 ", -   ," (3,17,381)", -   , -   , -   ," 10,801 ", -   , -   ," (3,17,381)",0
U69332,69332,St Paul Lutheran School," 24,798 ", -   ," (24,798)", -   , -   , -   ," 6,911 ", -   , -   ," (24,798)",0
U69245,69245,St Philip Neri School," 57,127 ", -   ," (57,127)", -   , -   , -   ," 12,336 ", -   , -   ," (57,127)",0
U69247,69247,St Pius V," 80,895 ", -   ," (80,895)", -   , -   , -   ," 1,379 ", -   , -   ," (80,895)",0
U69251,69251,St Procopius School," 1,01,037 ", -   ," (1,01,037)", -   , -   , -   ," 4,548 ", -   , -   ," (1,01,037)",0
U69260,69260,St Richard School," 88,364 ", -   ," (88,364)", -   , -   , -   ," 7,008 ", -   , -   ," (88,364)",0
U69426,69426,St Rita High School of Cascia," 3,00,079 ", -   ," (3,00,079)", -   , -   , -   ," 44,222 ", -   , -   ," (3,00,079)",0
U69262,69262,St Robert Bellarmine School," 1,37,392 ", -   ," (1,37,392)", -   , -   , -   , 928 , -   , -   ," (1,37,392)",0
U69267,69267,St Sabina School," 89,066 ", -   ," (89,066)", -   , -   , -   ," 55,823 ", -   , -   ," (89,066)",0
U69277,69277,St Stanislaus - Kosta," 67,078 ", -   ," (67,078)", -   , -   , -   , -   , -   , -   ," (67,078)",0
U69279,69279,St Sylvester School," 1,56,291 ", -   ," (1,56,291)", -   , -   , -   ," 4,200 ", -   , -   ," (1,56,291)",0
U69280,69280,St Symphorosa School," 87,750 ", -   ," (87,750)", -   , -   , -   ," 9,864 ", -   , -   ," (87,750)",0
U69285,69285,St Therese School," 1,32,389 ", -   ," (1,32,389)", -   , -   , -   ," 18,816 ", -   , -   ," (1,32,389)",0
U69288,69288,St Thomas Of Canterbury School," 1,33,582 ", -   ," (1,33,582)", -   , -   , -   ," 30,780 ", -   , -   ," (1,33,582)",0
U69286,69286,St Thomas The Apostle School," 95,656 ", -   ," (95,656)", -   , -   , -   ," 1,934 ", -   , -   ," (95,656)",0
U69294,69294,St Viator School," 1,50,194 ", -   ," (1,50,194)", -   , -   , -   ," 14,420 ", -   , -   ," (1,50,194)",0
U69298,69298,St Walter School," 31,814 ", -   ," (31,814)", -   , -   , -   ," 17,163 ", -   , -   ," (31,814)",0
U69300,69300,St William School," 1,24,987 ", -   ," (1,24,987)", -   , -   , -   ," 2,100 ", -   , -   ," (1,24,987)",0
U69035,69035,St. Andrew School," 1,48,741 ", -   ," (1,48,741)", -   , -   , -   , -   , -   , -   ," (1,48,741)",0
U69065,69065,St. Cajetan," 1,82,754 ", -   ," (1,82,754)", -   , -   , -   , -   , -   , -   ," (1,82,754)",0
U69113,69113,St. Catherine of Siena - St. Lucy School," 9,206 ", -   ," (9,206)", -   , -   , -   ," 9,964 ", -   , -   ," (9,206)",0
U69077,69077,St. Clement School," 1,11,603 ", -   ," (1,11,603)", -   , -   , -   , -   , -   , -   ," (1,11,603)",0
U69080,69080,St. Columbanus School," 57,141 ", -   ," (57,141)", -   , -   , -   ," 7,748 ", -   , -   ," (57,141)",0
U69088,69088,St. Daniel The Prophet School," 2,48,278 ", -   ," (2,48,278)", -   , -   , -   ," 1,565 ", -   , -   ," (2,48,278)",0
U69096,69096,St. Eugene School," 1,01,189 ", -   ," (1,01,189)", -   , -   , -   ," 3,290 ", -   , -   ," (1,01,189)",0
U69107,69107,St. Francis de Sales HS," 74,075 ", -   ," (74,075)", -   , -   , -   ," 1,978 ", -   , -   ," (74,075)",0
U69118,69118,St. Germaine School, -   , -   , -   , -   , -   , -   ," 1,649 ", -   , -   , -   ,0
U69614,69614,St. Giles," 1,464 ", -   ," (1,464)", -   , -   , -   , 848 , -   , -   ," (1,464)",0
U69123,69123,St. Hilary School," 1,20,029 ", -   ," (1,20,029)", -   , -   , -   ," 4,534 ", -   , -   ," (1,20,029)",0
U69570,69570,St. James Lutheran," 16,128 ", -   ," (16,128)", -   , -   , -   , -   , -   , -   ," (16,128)",0
U69161,69161,St. Josaphat," 1,22,746 ", -   ," (1,22,746)", -   , -   , -   , -   , -   , -   ," (1,22,746)",0
U69168,69168,St. Juliana School," 1,47,322 ", -   ," (1,47,322)", -   , -   , -   ," 5,847 ", -   , -   ," (1,47,322)",0
U69206,69206,St. Monica School," 84,955 ", -   ," (84,955)", -   , -   , -   ," 9,027 ", -   , -   ," (84,955)",0
U69331,69331,St. Paul Lutheran School (Menard)," 15,540 ", -   ," (15,540)", -   , -   , -   , -   , -   , -   ," (15,540)",0
U69337,69337,St. Philip Lutheran," 10,155 ", -   ," (10,155)", -   , -   , -   , -   , -   , -   ," (10,155)",0
U69007,69007,St. Sava Academy," 23,319 ", -   ," (23,319)", -   , -   , -   , -   , -   , -   ," (23,319)",0
U69281,69281,St. Tarcissus School," 55,234 ", -   ," (55,234)", -   , -   , -   ," 2,392 ", -   , -   ," (55,234)",0
U29031,29031,Stephen Decatur Classical School," 32,10,157 "," 30,18,266 "," (1,91,892)", 26 , 28 , 2 ," 25,26,721 ", 24 , -   ," (1,91,892)",28
U31081,31081,Stephen F Gale Community Academy," 47,44,747 "," 47,18,207 "," (26,540)", 50 , 51 , 1 ," 40,00,649 ", 51 , -   ," (26,540)",50.5
U23621,23621,Stephen K Hayt School," 95,44,161 "," 96,50,904 "," 1,06,743 ", 80 , 86 , 6 ," 86,41,654 ", 81 , -   ," 1,06,743 ",86
U46241,46241,Stephen T Mather High School," 1,81,20,119 "," 1,74,28,660 "," (6,91,459)", 148 , 156 , 8 ," 1,50,12,244 ", 138 , -   ," (6,91,459)",155.5
U29291,29291,Stone Scholastic Academy," 68,04,186 "," 60,99,629 "," (7,04,557)", 58 , 58 , -   ," 59,76,384 ", 57 , -   ," (7,04,557)",58
U11371,11371,Student Support and Engagement," 1,69,40,772 "," 1,24,23,313 "," (45,17,458)", 22 , 25 , 3 ," 1,45,24,834 ", 23 , -   ," (45,17,458)",25
U11870,11870,Student Transportation," 53,18,612 "," 46,71,354 "," (6,47,258)", 34 , 35 , 1 ," 46,83,941 ", 34 , -   ," (6,47,258)",35
U26881,26881,Suder Montessori Magnet School," 55,15,314 "," 55,00,476 "," (14,838)", 62 , 61 , (1)," 47,41,026 ", 54 , -   ," (14,838)",61
U49161,49161,TEAM Englewood Community Academy," 7,236 ", -   ," (7,236)", -   , -   , -   ," 2,346 ", -   , -   ," (7,236)",0
U11010,11010,Talent Office," 3,04,49,743 "," 2,95,71,433 "," (8,78,309)", 121 , 147 , 26 ," 2,22,86,152 ", 114 , -   ," (8,78,309)",147
U11070,11070,Talent Office - City Wide," 2,71,61,681 "," 1,79,68,429 "," (91,93,252)", 196 , 256 , 60 ," 1,38,41,586 ", 109 , -   ," (91,93,252)",256
U26781,26781,Talman School," 52,78,229 "," 53,02,296 "," 24,067 ", 53 , 55 , 3 ," 44,02,944 ", 49 , -   ," 24,067 ",55
U26791,26791,Tarkington School of Excellence," 1,03,51,738 "," 98,44,550 "," (5,07,187)", 100 , 102 , 3 ," 88,82,068 ", 101 , -   ," (5,07,187)",102
U11551,11551,Teacher Leader Development and Innovation," 33,77,113 "," 36,80,934 "," 3,03,821 ", 9 , 12 , 3 ," 16,54,555 ", 7 , -   ," 3,03,821 ",12
U10810,10810,Teaching and Learning Office," 2,22,10,258 "," 1,62,02,294 "," (60,07,964)", 17 , 20 , 3 ," 43,66,310 ", 9 , -   ," (60,07,964)",20
U29361,29361,Ted Lenart Regional Gifted Center," 31,77,840 "," 30,92,588 "," (85,251)", 28 , 28 , 1 ," 27,91,702 ", 28 , -   ," (85,251)",28
U23231,23231,Telpochcalli School," 41,79,095 "," 40,51,132 "," (1,27,964)", 34 , 36 , 3 ," 37,32,377 ", 37 , -   ," (1,27,964)",36
U69433,69433,Telshe High School," 94,456 ", -   ," (94,456)", -   , -   , -   ," 6,166 ", -   , -   ," (94,456)",0
U66591,66591,The Montessori School of Englewood Charter," 37,51,456 "," 40,31,880 "," 2,80,424 ", 2 , 2 , -   ," 34,70,324 ", 2 , -   ," 2,80,424 ",2
U69351,69351,The Nautilus School," 2,380 ", -   ," (2,380)", -   , -   , -   , -   , -   , -   ," (2,380)",0
U23771,23771,Theodore Herzl School," 69,99,275 "," 68,58,621 "," (1,40,654)", 80 , 81 , 1 ," 62,62,944 ", 83 , -   ," (1,40,654)",81
U46271,46271,Theodore Roosevelt High School," 1,28,61,424 "," 1,26,34,334 "," (2,27,091)", 113 , 119 , 6 ," 1,14,00,229 ", 113 , -   ," (2,27,091)",119
U25391,25391,Theophilus Schmid School," 31,15,532 "," 31,06,124 "," (9,408)", 32 , 30 , (2)," 25,56,747 ", 27 , -   ," (9,408)",30
U29011,29011,Thomas A Edison Regional Gifted Center," 28,43,460 "," 26,34,010 "," (2,09,449)", 24 , 24 , -   ," 25,50,589 ", 23 , -   ," (2,09,449)",24
U31121,31121,Thomas A Hendricks Community Academy," 44,57,833 "," 44,95,557 "," 37,724 ", 47 , 48 , 1 ," 37,47,966 ", 47 , -   ," 37,724 ",47.5
U22671,22671,Thomas Chalmers Specialty School," 44,89,199 "," 42,23,232 "," (2,65,967)", 46 , 46 , -   ," 37,13,720 ", 42 , -   ," (2,65,967)",46
U23021,23021,Thomas Drummond Elementary School," 38,22,175 "," 38,46,660 "," 24,485 ", 38 , 39 , 1 ," 34,82,104 ", 38 , -   ," 24,485 ",39
U23871,23871,Thomas Hoyne School," 28,94,692 "," 29,61,824 "," 67,132 ", 23 , 26 , 3 ," 26,85,144 ", 26 , -   ," 67,132 ",26
U31251,31251,Thomas J Higgins Community Academy," 38,93,599 "," 37,50,170 "," (1,43,429)", 36 , 34 , (2)," 33,37,524 ", 34 , -   ," (1,43,429)",34
U25781,25781,Thomas J Waters School," 62,06,662 "," 58,40,249 "," (3,66,414)", 49 , 55 , 7 ," 51,13,795 ", 47 , -   ," (3,66,414)",55
U46181,46181,Thomas Kelly High School," 2,24,81,292 "," 2,12,55,128 "," (12,26,164)", 187 , 189 , 3 ," 2,11,60,130 ", 192 , -   ," (12,26,164)",189
U69636,69636,Thresholds," 5,755 ", -   ," (5,755)", -   , -   , -   ," 27,355 ", -   , -   ," (5,755)",0
U41081,41081,Thurgood Marshall Middle School, -   , -   , -   , -   , -   , -   ," 6,016 ", -   , -   , -   ,0
U13740,13740,Title I and School Improvement Programs, -   , -   , -   , -   , -   , -   , (0), -   , -   , -   ,0
U12440,12440,Treasury," 15,24,273 "," 15,40,187 "," 15,914 ", 5 , 5 , -   ," 15,54,214 ", 5 , -   ," 15,914 ",5
U69159,69159,Trinity High School," 9,187 ", -   ," (9,187)", -   , -   , -   ," 29,566 ", -   , -   ," (9,187)",0
U29041,29041,Turner-Drew Language Academy," 34,50,435 "," 35,12,108 "," 61,673 ", 31 , 32 , 1 ," 30,64,345 ", 30 , -   ," 61,673 ",32
U69055,69055,UCAN," 99,933 ", 423 ," (99,509)", -   , -   , -   ," 60,303 ", -   , -   ," (99,509)",0
U66321,66321,University of Chicago Charter School - Donoghue Campus," 54,06,769 "," 54,29,767 "," 22,998 ", 4 , 4 , -   ," 49,30,048 ", 4 , -   ," 22,998 ",4
U66111,66111,University of Chicago Charter School - North Kenwood/Oakland (NKO) Camp," 34,35,806 "," 33,38,269 "," (97,537)", -   , -   , -   ," 33,72,677 ", -   , -   ," (97,537)",0
U66112,66112,University of Chicago Charter School - Woodlawn Campus," 89,86,606 "," 96,23,271 "," 6,36,665 ", 5 , 5 , -   ," 82,19,795 ", 5 , -   ," 6,36,665 ",5
U66113,66113,University of Chicago Charter School - Woodson South Campus, -   , -   , -   , -   , -   , -   ," 52,336 ", 2 , -   , -   ,0
U69157,69157,University of Chicago Lab," 6,69,541 ", -   ," (6,69,541)", -   , -   , -   ," 9,994 ", -   , -   ," (6,69,541)",0
U26861,26861,Uplift Community High School," 47,66,924 "," 46,51,864 "," (1,15,060)", 49 , 52 , 3 ," 40,43,857 ", 46 , -   ," (1,15,060)",51.5
U69188,69188,Urban Prairie Waldorf," 84,794 ", -   ," (84,794)", -   , -   , -   ," 15,590 ", -   , -   ," (84,794)",0
U66441,66441,Urban Prep Academy for Young Men Charter School-Englewood Campus," 30,81,904 "," 31,61,574 "," 79,670 ", 3 , 3 , -   ," 33,72,396 ", -   , -   ," 79,670 ",3
