(Indicator name),,,,"Population (residents), 2017-2021","Population (residents), 2016-2020","Population, Infants (0-4 years) (residents), 2017-2021","Population, Infants (0-4 years) (residents), 2016-2020","Population, Juveniles (5-17 years) (residents), 2017-2021","Population, Juveniles (5-17 years) (residents), 2016-2020","Population, Non-Hispanic Black (residents), 2017-2021","Population, Non-Hispanic Black (residents), 2016-2020","Population, Hispanic or Latino (residents), 2017-2021","Population, Hispanic or Latino (residents), 2016-2020",,,"Low birthweight (count of births), 2013-2017","Low birthweight rate (% of births), 2013-2017","Very low birthweight (count of births), 2013-2017","Very low birthweight rate (% of births), 2013-2017","Uninsured residents (residents), 2017-2021","Uninsured rate (% of residents), 2017-2021","Early and adequate prenatal care (count of births), 2013-2017","Early and adequate prenatal care rate (% of births), 2013-2017","Vacant (% of housing units), 2017-2021","Single-parent households (% of households), 2017-2021","Community belonging rate (% of adults), 2016-2018","Community belonging (count of adults), 2016-2018","Community belonging (count of adults), 2020-2021","Community belonging rate (% of adults), 2020-2021","Food stamps (SNAP) (% of households), 2017-2021","Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2017-2021","Mean age at first birth (age), 2013-2017","Mean age at first birth (age), 2012-2016","Rent-burdened (% of renter-occupied housing units), 2017-2021","Severely rent-burdened (% of renter-occupied housing units), 2017-2021","Homicide mortality (count of deaths), 2015-2019","Homicide mortality rate (per 100,000 population), 2015-2019","Firearm-related homicide mortality (count of deaths), 2015-2019","Firearm-related homicide mortality rate (per 100,000 population), 2015-2019","Drug-induced mortality (count of deaths), 2015-2019","Drug-induced mortality rate (per 100,000 population), 2015-2019","Drug overdose mortality (count of deaths), 2015-2019","Drug overdose mortality rate (per 100,000 population), 2015-2019"
Community area,Montclare,18,14412," 13,785 "," 14,392 ", 848 , 992 ," 2,119 "," 2,305 ", 880 , 453 ," 7,569 "," 8,005 ",-87.798033,41.929306,77,8.9,14,1.6,1230.188018,8.982010459,562,74.2,6.799851729,8.606897486,77.3,7300,7900,47.91128102,14.75043978,76.38608396,28,26.962963,66.35638411,39.38334983,8,11.7,7,10.6,12,18.7,12,18.7
Community area,Rogers Park,1,52772," 53,204 "," 52,735 "," 3,373 "," 3,349 "," 6,078 "," 6,056 "," 14,629 "," 14,483 "," 10,880 "," 10,293 ",-87.670171,42.00963,329,8.8,56,1.5,7317.804346,14.28420781,2122,68.4,10.9442281,4.433981135,63.1,38500,17400,39.85668375,17.14122772,57.53503671,29.617647,30.171429,49.13058803,25.84163133,28,8.6,23,6.8,65,23.4,65,23.4
Community area,Armour Square,34,13847," 13,283 "," 13,396 ", 669 , 693 ," 1,541 "," 1,690 "," 1,095 "," 1,157 ", 805 , 763 ,-87.633976,41.842083,75,8.8,16,1.9,1159.17111,8.840978047,492,66.4,6.687698095,6.109287966,60.1,2800,4900,49.21471635,25.88617201,50.12406374,30.068966,30.103448,42.36372991,15.34046759,6,8.3,5,6.9,6,8.4,6,8.4
Community area,Uptown,3,52255," 54,085 "," 54,219 "," 2,483 "," 2,561 "," 4,333 "," 4,571 "," 10,128 "," 10,105 "," 8,008 "," 8,358 ",-87.655899,41.965822,298,8.7,49,1.4,5133.165828,9.620805744,2211,74.8,7.780067252,3.059069198,64.4,24400,21100,45.60591143,15.42645152,56.47108956,31.058824,31.485714,44.96837289,21.11386575,19,6.5,16,5.2,75,24.4,75,24.4
Community area,Brighton Park,58,45141," 43,382 "," 42,914 "," 3,092 "," 3,067 "," 8,836 "," 9,021 ", 616 , 721 ," 34,832 "," 34,168 ",-87.698859,41.817364,304,8.7,55,1.6,7173.344276,16.50716304,2092,66.4,8.797244302,9.199281912,57.5,18900,12200,31.12410839,25.03414597,55.65888775,28.533333,28.032258,48.71112384,22.96632989,36,14.4,30,12,26,12,26,12
Community area,Lower West Side,31,33716," 33,571 "," 32,642 "," 1,343 "," 1,531 "," 4,770 "," 4,487 ", 969 ," 1,021 "," 22,937 "," 22,175 ",-87.66757,41.850277,184,8.5,34,1.6,4406.998495,13.1200757,1378,70.5,10.85752679,6.224056247,72.2,14000,9000,35.1725513,16.2019522,59.31193379,28.5,28.5,37.04935661,19.79545337,22,10.4,19,8.9,30,17.1,30,17.1
Community area,Belmont Cragin,19,78151," 78,656 "," 78,829 "," 4,867 "," 5,120 "," 15,676 "," 15,505 "," 2,386 "," 1,991 "," 61,633 "," 62,916 ",-87.765502,41.927275,492,8.2,85,1.4,13630.79711,17.28339899,3720,72.2,7.475224192,8.238324556,49.4,25500,20900,44.16632921,21.13088159,53.01635671,29,28.5,51.52711809,27.93250185,43,10,36,8.1,70,18.9,70,18.9
Community area,South Lawndale,30,71402," 70,189 "," 70,139 "," 4,143 "," 4,362 "," 11,617 "," 12,115 "," 8,655 "," 8,976 "," 56,840 "," 56,773 ",-87.714,41.839091,450,8.2,84,1.5,12717.41389,20.26453302,3396,67.2,10.37364283,8.89690581,59.3,30200,29000,55.08192715,22.84175578,52.01102384,28.064516,28.064516,52.04969152,18.73258954,47,10,40,8.3,53,14.7,53,14.7
Community area,Irving Park,16,51911," 54,248 "," 53,574 "," 3,660 "," 3,732 "," 7,998 "," 7,582 "," 1,699 "," 1,465 "," 21,686 "," 22,052 ",-87.723457,41.953589,306,8.1,55,1.5,5703.294727,10.59214873,2609,78,8.003021834,4.729319055,63.9,26500,22000,49.3941824,9.896906845,62.71213055,30.875,29.566667,37.41119935,16.67435583,17,5.9,15,4.9,53,19.1,52,18.5
Community area,Dunning,17,43120," 44,249 "," 43,559 "," 1,935 "," 2,019 "," 6,627 "," 6,468 "," 1,091 ", 909 ," 15,183 "," 13,999 ",-87.806015,41.946522,189,8.1,36,1.5,4630.551191,10.32246784,1662,79.4,5.575845613,3.395380228,62.4,18600,15600,48.17654186,6.868224376,85.3827836,30.129032,30.129032,34.57709658,18.63914105,6,2.8,5,2.3,44,20.5,44,20.5
Community area,Hegewisch,55,9884," 9,155 "," 9,087 ", 462 , 378 ," 1,587 "," 1,537 ", 707 , 629 ," 4,793 "," 5,098 ",-87.556803,41.668188,44,8.1,7,1.3,841.9884659,9.212541674,301,63.4,10.23076261,12.62475609,79,7300,5800,48.76347237,18.14342637,50.99414505,26.653846,27.074074,44.73183788,34.12926369,7,16.8,6,14.5,13,26.2,13,26.2
Community area,West Ridge,2,77139," 79,911 "," 78,772 "," 6,319 "," 6,568 "," 15,154 "," 14,379 "," 9,126 "," 9,165 "," 17,725 "," 15,508 ",-87.695017,42.001583,495,8,81,1.3,11536.91282,14.47786444,3678,67.6,8.20503211,6.693774576,58.8,34500,24800,44.47034279,20.77475759,50.00705398,30.6875,29.096774,48.78421303,25.01542788,22,6,19,5.1,30,8.5,30,8.5
Community area,Beverly,72,19950," 19,958 "," 19,858 "," 1,135 "," 1,269 "," 3,216 "," 3,251 "," 6,507 "," 6,617 "," 1,442 "," 1,179 ",-87.675072,41.713148,84,7.9,14,1.3,524.7966324,2.626523225,805,84.7,7.923907103,2.915233835,87.2,16200,8600,71.77052423,5.138581093,58.50430447,29,29,26.08100528,13.80448731,9,10.7,8,9.6,13,12.1,13,12.1
Community area,Loop,32,39135," 36,876 "," 36,591 ", 989 , 957 ," 1,172 "," 1,020 "," 2,881 "," 2,470 "," 3,812 "," 3,477 ",-87.625194,41.878881,157,7.8,27,1.3,1063.211639,2.830144027,1310,79.3,14.33218657,1.493095973,59.6,23400,13600,37.30808087,2.111343797,94.79110451,34.235294,34.571429,34.03266599,17.08854704,2,1.2,2,1.2,22,14.8,22,14.8
Community area,Hyde Park,41,23914," 23,528 "," 22,672 ", 644 , 655 ," 2,156 "," 1,832 "," 5,535 "," 5,189 "," 1,703 "," 1,755 ",-87.592305,41.794088,96,7.8,16,1.3,1196.471202,5.202569093,805,80.7,9.616310678,3.563470081,68.3,20900,6700,44.32044825,7.765021656,90.64335734,33.964286,33.964286,51.04129001,30.26068038,5,3,4,2.2,11,7.9,11,7.9
Community area,Bridgeport,60,33593," 34,278 "," 32,761 "," 1,582 "," 1,622 "," 4,833 "," 4,186 ", 877 , 781 ," 7,824 "," 6,833 ",-87.648784,41.836151,151,7.7,20,1,3005.888016,8.750233671,1231,71.3,6.686845284,4.545351213,70.5,17600,7100,39.6701101,11.05540234,66.16438485,29,29,35.86283779,20.95118982,8,4.6,6,3.3,27,15.5,27,15.5
Community area,East Side,52,21529," 24,117 "," 22,698 "," 1,751 "," 1,804 "," 5,424 "," 4,815 ", 352 , 445 ," 21,107 "," 19,210 ",-87.534907,41.707306,121,7.5,19,1.2,3016.174301,12.48701561,901,62.9,8.557676546,11.56133719,44.8,6400,4600,30.15362093,21.35325945,45.18810098,28,27.037037,36.59763338,21.88218959,16,13.6,15,12.8,19,17.8,18,17
Community area,North Park,13,17522," 18,794 "," 18,764 "," 1,488 "," 1,539 "," 2,427 "," 2,506 ", 621 , 422 ," 3,588 "," 3,512 ",-87.723578,41.983651,81,7.4,10,0.9,1835.062596,9.698526393,715,72,7.873939201,4.107817455,73,10700,8100,66.36286842,14.42116185,58.81033776,30.36,30.730769,39.79154524,18.97599569,4,4.2,3,3.4,8,8.1,8,8.1
Community area,Albany Park,14,48549," 48,823 "," 49,438 "," 2,551 "," 2,847 "," 7,851 "," 8,118 "," 2,054 "," 2,522 "," 22,220 "," 22,697 ",-87.721558,41.968078,281,7.4,59,1.5,8536.502055,17.1584564,2605,75.1,8.486359115,7.710994836,67,27000,13500,31.68147402,15.9036066,55.77471209,29.529412,30.085714,41.70901305,17.55461817,12,4.2,9,2.7,39,15,39,15
Community area,West Town,24,87942," 86,867 "," 84,557 "," 5,279 "," 4,990 "," 6,005 "," 5,873 "," 5,713 "," 5,279 "," 17,461 "," 17,690 ",-87.676358,41.901216,540,7.4,78,1.1,4357.136641,5.076638887,4911,80.4,7.568576726,3.383987994,60.1,39400,25900,38.07620447,7.194325802,69.39167124,32.485714,31.972222,28.83784881,12.68983046,30,6.5,25,4.8,81,21.6,79,20.8
Community area,Edgewater,77,47343," 49,069 "," 49,426 "," 2,275 "," 2,141 "," 3,553 "," 3,501 "," 5,615 "," 5,905 "," 8,267 "," 8,332 ",-87.663419,41.986719,234,7.4,44,1.4,4267.968181,8.619610545,2111,76.3,10.06438296,1.805569096,70.5,31600,27000,50.09195652,9.581853016,72.69555036,30.5,30.5,41.59907432,20.49119337,7,2,7,2,64,19.9,64,19.9
Community area,Gage Park,63,39439," 35,536 "," 35,209 "," 2,623 "," 2,898 "," 6,953 "," 7,125 "," 1,536 "," 1,626 "," 32,289 "," 32,034 ",-87.696433,41.795429,237,7.3,45,1.4,5604.389809,15.80469469,1980,66.5,7.659187837,9.098871509,51.2,13900,15200,51.24257707,26.64802362,46.72462246,28.034483,28.034483,51.46669443,17.99046362,41,19,34,15.6,24,14.7,24,14.7
Community area,Avondale,21,36245," 36,808 "," 37,347 "," 1,981 "," 2,078 "," 5,007 "," 5,157 ", 856 , 805 ," 19,074 "," 20,137 ",-87.711219,41.938673,202,7.2,37,1.3,5487.664212,14.79087357,1859,77.5,11.09325851,5.415950744,62.4,21300,16600,50.10846773,12.20934862,60.66962954,28,28.5,36.97929872,17.96068727,12,5.5,7,2.7,38,20.8,37,19.9
Community area,West Lawn,65,33543," 32,284 "," 32,045 "," 2,624 "," 2,509 "," 6,775 "," 7,255 ", 769 , 804 ," 27,192 "," 27,254 ",-87.726927,41.769774,182,7.2,47,1.9,3789.082797,11.78779815,1580,69.4,4.782687264,6.369290508,48.3,11300,17500,58.22033938,16.18720942,56.04601217,27.576923,27.037037,54.2316839,20.44375069,10,5.6,9,4.9,31,19.9,31,19.9
Community area,Portage Park,15,63038," 65,582 "," 63,936 "," 3,834 "," 3,588 "," 9,865 "," 9,604 ", 997 ," 1,049 "," 28,135 "," 27,176 ",-87.763401,41.954043,304,7.1,43,1,8714.937195,13.1230297,2895,75.6,9.170525373,5.967496438,67.2,38300,22300,39.54059988,9.411111705,74.36045097,30.121212,29.5,42.59224236,20.43771141,8,2.4,6,1.8,77,23.2,76,22.9
Community area,Logan Square,22,71742," 71,663 "," 71,492 "," 4,547 "," 4,679 "," 7,491 "," 7,494 "," 4,169 "," 3,233 "," 24,754 "," 26,025 ",-87.699149,41.922768,423,7.1,74,1.3,5427.133965,7.451660058,3958,78.4,9.424221276,4.276809506,72.8,44600,29100,54.37098381,8.932811302,69.40252364,29.5,29.5,34.84907992,14.15991985,19,4.2,12,2.3,64,19.7,63,19.3
Community area,Hermosa,20,24127," 23,267 "," 23,227 "," 1,321 "," 1,344 "," 4,046 "," 3,845 ", 879 ," 1,048 "," 18,451 "," 19,167 ",-87.734741,41.924353,134,7,23,1.2,4067.728127,17.63434935,1178,72.9,7.713896868,7.986754053,73.2,11700,10700,42.43893158,16.75398256,70.21060386,29,29,44.46595794,21.48775086,9,6.6,9,6.6,25,20.2,24,19.4
Community area,Lake View,6,91836," 91,415 "," 90,713 "," 5,547 "," 5,442 "," 6,280 "," 6,264 "," 3,897 "," 3,834 "," 8,509 "," 8,278 ",-87.656001,41.944236,458,6.9,56,0.8,3490.242337,3.785383342,4697,83.1,7.764588586,1.9428283,65.4,52900,43600,49.3906987,3.775439414,83.27674977,35.235294,34.205882,35.00578311,15.07758515,5,1.4,1,0.3,62,13.9,62,13.9
Community area,West Elsdon,62,18249," 17,882 "," 18,378 "," 1,130 "," 1,193 "," 3,523 "," 3,856 ", 131 , 124 ," 14,468 "," 15,013 ",-87.724213,41.792977,94,6.9,16,1.2,1623.456989,8.856372699,864,70.4,5.34884442,11.12060085,53.7,7100,10200,60.11140267,17.82308709,68.08330209,28,28,59.86718142,25.46610695,16,15.9,13,12.7,12,14.2,12,14.2
Community area,Forest Glen,12,19579," 20,293 "," 19,908 "," 1,488 "," 1,356 "," 3,694 "," 3,575 ", 101 , 112 ," 2,360 "," 2,632 ",-87.758358,41.993938,71,6.8,13,1.2,1394.533507,6.846131374,788,83.1,3.342096366,2.075552083,64.9,9200,7900,70.49191086,4.94045846,71.12798864,30.068966,30.571429,25.68744833,11.63603517,1,1.7,1,1.7,12,17.3,12,17.3
Community area,Lincoln Square,4,40412," 42,252 "," 41,270 "," 2,738 "," 3,129 "," 4,385 "," 4,038 "," 1,801 "," 1,233 "," 7,523 "," 7,365 ",-87.687513,41.975182,214,6.6,33,1,3789.791608,9.104656545,2318,81.7,6.649648014,3.733345507,64.6,21300,19000,51.93813597,7.013739342,71.97074657,31.69697,31.69697,39.84578757,18.66466288,4,1.9,3,1.2,28,12.9,27,12.4
Community area,Lincoln Park,7,63433," 62,786 "," 62,688 "," 3,072 "," 3,105 "," 6,649 "," 6,467 "," 2,466 "," 2,420 "," 4,043 "," 4,044 ",-87.649491,41.922696,289,6.6,36,0.8,1522.567545,2.429769482,2953,82.1,9.496013824,1.373244845,68.7,45400,25300,44.44137321,3.405391163,81.80714449,32.5,32.5,31.88850368,15.73727763,3,0.5,3,0.5,29,9.5,29,9.5
Community area,McKinley Park,59,15927," 15,562 "," 15,251 ", 637 , 807 ," 2,559 "," 2,220 ", 228 , 186 ," 8,498 "," 8,047 ",-87.6725,41.829927,72,6.5,16,1.4,1809.672354,11.63189971,697,70.4,6.905258063,3.910246509,61.4,7000,6900,49.58221961,17.3341897,48.53846823,28,27.5,41.03840794,18.69826699,4,4.4,4,4.4,14,17.6,14,17.6
Community area,Clearing,64,24519," 25,545 "," 24,422 "," 1,752 "," 1,579 "," 4,576 "," 4,363 ", 506 , 621 ," 15,317 "," 13,914 ",-87.768517,41.779582,95,6.4,21,1.4,1893.646567,7.512565604,1010,75,4.445849157,5.546992387,65.7,14200,7000,45.65259678,12.91936081,54.33081505,28.642857,29.137931,50.19126202,21.88308482,8,6.7,8,6.7,33,29,33,29
Community area,North Center,5,35150," 37,132 "," 36,181 "," 3,469 "," 3,453 "," 6,386 "," 6,225 ", 843 , 924 ," 4,597 "," 4,338 ",-87.683839,41.947811,208,6.3,27,0.8,941.253549,2.555063044,2358,83.5,9.309656619,3.101544582,74.8,19500,13400,50.38610279,4.384798107,85.90212412,34.545455,34.545455,25.45965746,10.99689586,1,0.5,1,0.5,20,12.6,18,10.6
Community area,Archer Heights,57,14282," 13,670 "," 13,612 ", 879 , 912 ," 2,739 "," 2,760 ", 49 , 106 ," 10,645 "," 10,865 ",-87.726365,41.810873,65,6.1,10,0.9,1593.989508,11.77030847,665,69.1,8.441189488,3.799375715,64.1,4800,6700,48.91291251,15.24606008,60.3973727,31,31.333333,59.69412304,15.49091144,9,14.4,8,12.6,5,7.7,5,7.7
Community area,Mount Greenwood,74,18633," 19,483 "," 18,846 "," 1,257 "," 1,356 "," 3,535 "," 3,293 ", 481 , 614 ," 1,929 "," 1,978 ",-87.713189,41.694876,72,6.1,9,0.8,529.1271085,2.709618218,971,88.8,4.666783763,3.752676671,81,8200,7200,48.26745058,2.411666127,92.54922668,30.653846,30.571429,27.42519335,13.60534708,4,4.5,3,3.5,14,14.2,14,14.2
Community area,Norwood Park,10,41109," 42,502 "," 41,327 "," 2,779 "," 2,685 "," 6,927 "," 6,150 ", 371 , 289 ," 6,948 "," 5,917 ",-87.803451,41.985248,115,6,23,1.2,1736.558845,4.076038593,1490,85.4,3.252703172,4.696556013,77.1,24800,15800,55.00925636,6.527929263,86.66492373,30.290323,30.290323,41.68988663,23.99006175,3,1.8,2,1.4,25,15.2,25,15.2
Community area,Garfield Ridge,56,35352," 36,629 "," 35,976 "," 2,136 "," 2,073 "," 6,345 "," 6,531 "," 1,369 "," 1,648 "," 19,984 "," 19,002 ",-87.764246,41.796185,115,5.8,21,1.1,2999.363778,8.335213351,1341,75.2,4.173616385,3.026663033,60.8,14200,9700,47.69541638,7.709127678,72.3162362,29.5,29.5,35.66397009,17.84277736,13,8.1,10,6.3,36,21.1,36,21.1
Community area,O'Hare,76,14416," 14,630 "," 14,476 "," 1,049 "," 1,137 "," 1,402 "," 1,354 ", 917 , 902 ," 1,716 "," 1,536 ",-87.893699,41.975696,65,5.7,9,0.8,2426.406193,16.85113086,753,71.8,4.862374112,4.038481957,72.1,6400,6900,55.34049901,7.102173832,73.24455612,30.6,30.444444,47.03967046,27.23973185,1,1.3,1,1.3,12,17.9,11,16.6
Community area,Edison Park,9,11521," 11,490 "," 10,998 "," 1,035 ", 969 ," 1,379 "," 1,355 ", 76 , 46 ," 1,437 "," 1,085 ",-87.81378,42.007627,33,5,1,0.2,173.9440009,1.509962511,550,88.1,7.226765785,1.62058086,85.5,9300,5000,59.24998171,1.408822591,92.71909655,30.653846,31.307692,40.60034748,24.64494828,1,1.9,1,1.9,6,11.1,5,9.2
