(Indicator name),,,,"Population (residents), 2017-2021","Population (residents), 2016-2020","Population, Infants (0-4 years) (residents), 2017-2021","Population, Infants (0-4 years) (residents), 2016-2020","Population, Juveniles (5-17 years) (residents), 2017-2021","Population, Juveniles (5-17 years) (residents), 2016-2020","Population, Non-Hispanic Black (residents), 2017-2021","Population, Non-Hispanic Black (residents), 2016-2020","Population, Hispanic or Latino (residents), 2017-2021","Population, Hispanic or Latino (residents), 2016-2020",,,"Low birthweight (count of births), 2013-2017","Low birthweight rate (% of births), 2013-2017","Very low birthweight (count of births), 2013-2017","Very low birthweight rate (% of births), 2013-2017","Uninsured residents (residents), 2017-2021","Uninsured rate (% of residents), 2017-2021","Early and adequate prenatal care (count of births), 2013-2017","Early and adequate prenatal care rate (% of births), 2013-2017","Vacant (% of housing units), 2017-2021","Single-parent households (% of households), 2017-2021","Community belonging rate (% of adults), 2016-2018","Community belonging (count of adults), 2016-2018","Community belonging (count of adults), 2020-2021","Community belonging rate (% of adults), 2020-2021","Food stamps (SNAP) (% of households), 2017-2021","Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2017-2021","Mean age at first birth (age), 2013-2017","Mean age at first birth (age), 2012-2016","Rent-burdened (% of renter-occupied housing units), 2017-2021","Severely rent-burdened (% of renter-occupied housing units), 2017-2021","Homicide mortality (count of deaths), 2015-2019","Homicide mortality rate (per 100,000 population), 2015-2019","Firearm-related homicide mortality (count of deaths), 2015-2019","Firearm-related homicide mortality rate (per 100,000 population), 2015-2019","Drug-induced mortality (count of deaths), 2015-2019","Drug-induced mortality rate (per 100,000 population), 2015-2019","Drug overdose mortality (count of deaths), 2015-2019","Drug overdose mortality rate (per 100,000 population), 2015-2019"
Community area,Burnside,47,2514," 2,639 "," 2,169 ", 114 , 19 , 364 , 247 ," 2,377 "," 1,929 ", 137 , 155 ,-87.59647,41.728181,24,15.3,4,2.5,477.9427802,18.11350012,64,47.1,20.31986175,8.563437635,,,3200,45.66004518,34.43583372,52.68117785,26.15,25.611111,48.37066627,25.1665848,8,58.7,8,58.7,6,37.6,6,37.6
Community area,West Englewood,67,29899," 26,482 "," 26,359 "," 1,837 "," 1,668 "," 4,149 "," 4,456 "," 22,090 "," 22,680 "," 3,493 "," 2,762 ",-87.666598,41.775926,430,15.2,102,3.6,3059.069981,11.5054717,1237,49.8,23.24323884,11.01206355,45.4,9600,8800,45.9730913,45.05017484,34.67416678,26.5,26.5,61.39988577,35.90783288,123,67.7,104,56.6,72,41.6,72,41.6
Community area,Washington Park,40,12709," 11,608 "," 10,429 ", 791 , 773 ," 2,923 "," 2,335 "," 10,897 "," 9,560 ", 257 , 233 ,-87.617936,41.792356,170,15.1,36,3.2,1061.027508,9.067516958,535,56.1,17.97436045,24.17325053,43.6,3100,1300,19.12638117,43.35003642,33.90112707,26.538462,27,58.61591873,35.26821448,41,69.4,34,55.2,32,66.7,32,66.7
Community area,Pullman,50,6866," 7,188 "," 7,176 ", 317 , 468 , 997 , 780 ," 5,580 "," 5,774 ", 591 , 310 ,-87.598252,41.706131,63,14.9,15,3.5,408.8421621,5.100668844,224,63.3,12.59034619,9.823361055,70.6,3900,4400,47.80195559,23.07983421,49.8146233,27.730769,27.961538,40.55321228,23.42419705,13,36.5,11,31.6,13,33.9,12,31.9
Community area,North Lawndale,29,34817," 32,133 "," 31,334 "," 2,038 "," 1,971 "," 6,648 "," 5,962 "," 25,727 "," 25,858 "," 4,166 "," 3,551 ",-87.717218,41.860197,483,14.5,102,3.1,3648.236377,11.61828214,1724,57,21.75603393,20.24228703,49.5,11500,9000,40.53879833,44.90776024,30.21148652,27.5,27.034483,60.72561003,39.23818103,131,68.9,118,61.2,165,98.7,161,96
Community area,Woodlawn,42,24630," 23,737 "," 23,055 "," 1,315 "," 1,445 "," 3,653 "," 3,635 "," 18,979 "," 18,949 ", 620 , 693 ,-87.594924,41.778877,241,14.4,57,3.4,2290.89926,9.345498145,853,63.3,20.22184219,12.9426665,44.1,7000,6300,39.30330186,38.83935304,40.64997057,27.7,27.7,56.82782917,32.6200372,61,47.8,52,39.7,36,30.6,36,30.6
Community area,Austin,25,96753," 97,534 "," 95,279 "," 6,418 "," 6,461 "," 17,231 "," 16,626 "," 72,863 "," 71,982 "," 17,317 "," 16,369 ",-87.763117,41.894113,1042,14.2,235,3.2,10730.93957,10.91563407,3847,59.6,12.34270104,11.69814983,58,40500,23900,33.48612072,34.36138284,39.00671061,29.030303,29.030303,59.53000212,35.88723715,300,60.3,268,53.6,330,63.6,324,62.5
Community area,Chatham,44,31804," 32,621 "," 31,490 "," 1,824 "," 1,710 "," 5,055 "," 4,627 "," 31,613 "," 30,373 ", 240 , 272 ,-87.615965,41.740206,271,14.2,60,3.1,3358.232017,10.33368903,934,58.3,15.28654674,11.13724427,55.4,16300,9300,37.85862875,34.36518747,34.96832852,26,26.5,55.53286844,35.19108041,67,46.8,60,41.8,78,43.7,77,43.3
Community area,Oakland,36,4280," 4,665 "," 4,282 ", 429 , 390 ," 1,110 ", 956 ," 4,183 "," 3,730 ", 214 , 234 ,-87.603217,41.823754,70,14.1,11,2.2,420.9303527,8.991401402,237,61.7,6.265596909,21.54574682,65.6,2300,8100,68.08857916,39.79699363,27.50611815,26.807692,26.807692,45.49788496,22.77288182,16,51.8,14,45.3,12,45.7,12,45.7
Community area,Roseland,49,38934," 39,253 "," 39,750 "," 2,113 "," 2,328 "," 6,354 "," 6,618 "," 37,239 "," 37,887 ", 583 , 522 ,-87.623366,41.706588,380,14,85,3.1,3759.321558,9.706407532,1268,53.3,21.02299414,14.65978277,58.8,17800,7300,43.96521962,33.38330915,39.88670899,26.5,26.148148,53.84499814,37.60350009,129,62.4,114,55.5,95,41.2,92,39.9
