School ID,School Name,pre_cov_att,post_cov_att,att_diff_pp
609682,RICHARDS HS,78.0875,70.8125,7.275000000000006
609691,NORTH-GRAND HS,88.275,80.425,7.8500000000000085
609692,SIMEON HS,87.1625,79.9,7.262499999999989
609693,WESTINGHOUSE HS,91.675,85.0375,6.637500000000003
609694,HANCOCK HS,91.525,92.55000000000001,-1.0250000000000057
609695,AMUNDSEN HS,90.9625,84.375,6.587500000000006
609698,BOGAN HS,86.8125,74.375,12.4375
609704,FARRAGUT HS,86.5875,70.3375,16.25
609705,FENGER HS,87.38749999999999,66.5625,20.82499999999999
609708,FOREMAN HS,84.95,73.775,11.174999999999997
609709,GAGE PARK HS,89.6125,77.6875,11.924999999999997
609710,HARLAN HS,82.55000000000001,70.26249999999999,12.287500000000023
609712,HIRSCH HS,78.325,64.45,13.875
609713,HYDE PARK HS,86.82499999999999,79.0375,7.787499999999994
609715,KELLY HS,90.0375,78.15,11.887499999999989
609716,KELVYN PARK HS,81.61250000000001,85.3375,-3.7249999999999943
609718,KENNEDY HS,89.15,81.19999999999999,7.950000000000017
609719,LAKE VIEW HS,86.6625,78.1875,8.474999999999994
609720,LANE TECH HS,93.01249999999999,92.0125,0.9999999999999858
609722,MANLEY HS,75.45,60.5,14.950000000000003
609723,MARSHALL HS,75.55,60.800000000000004,14.749999999999993
609724,MATHER HS,88.775,82.57499999999999,6.200000000000017
609725,MORGAN PARK HS,83.42500000000001,74.7625,8.662500000000009
609726,BROOKS HS,88.9,87.55,1.3500000000000085
609727,PHILLIPS HS,82.3125,59.825,22.487499999999997
609728,ROOSEVELT HS,89.1125,80.8125,8.299999999999997
609729,SCHURZ HS,85.5125,74.82499999999999,10.687500000000014
609730,SENN HS,89.88749999999999,85.4625,4.424999999999983
609732,STEINMETZ HS,86.625,74.88749999999999,11.737500000000011
609733,SULLIVAN HS,84.65,76.19999999999999,8.450000000000017
609734,TAFT HS,89.325,85.2625,4.0625
609735,TILDEN HS,81.6,65.7,15.899999999999991
609737,VON STEUBEN HS,92.3125,87.875,4.4375
609738,LINCOLN PARK HS,89.9625,86.5,3.4625000000000057
609739,WASHINGTON HS,88.625,80.67500000000001,7.949999999999989
609740,WELLS HS,88.0125,77.7875,10.225000000000009
609741,HUBBARD HS,90.11250000000001,84.2,5.9125000000000085
609744,NORTHSIDE LEARNING HS,91.2375,84.275,6.9624999999999915
609745,SOUTHSIDE HS,89.30000000000001,81.55,7.750000000000014
609746,KENWOOD HS,92.36250000000001,89.0625,3.3000000000000114
609748,YORK HS,72.4375,62.224999999999994,10.212500000000006
609749,NORTHSIDE PREP HS,93.85,92.8875,0.9624999999999915
609750,SIMPSON HS,60.4875,57.65,2.8374999999999986
609751,KING HS,88.9875,90.4375,-1.4500000000000028
609753,CHICAGO AGRICULTURE HS,93.75,90.075,3.674999999999997
609754,CHICAGO MILITARY HS,90.8625,82.5,8.362499999999997
609755,YOUNG HS,94.82499999999999,92.7625,2.062499999999986
609756,CURIE HS,87.55000000000001,80.65,6.900000000000006
609759,CLEMENTE HS,80.05,68.5125,11.537499999999994
609760,CARVER MILITARY HS,92.05,84.5625,7.487499999999997
609761,CORLISS HS,84.6375,75.7,8.9375
609762,JULIAN HS,80.7625,73.23750000000001,7.5249999999999915
609764,JUAREZ HS,85.11250000000001,77.94999999999999,7.162500000000023
609766,VAUGHN HS,87.275,83.30000000000001,3.9749999999999943
609769,GRAHAM HS,81.82499999999999,81.75,0.07499999999998863
609780,MARINE LEADERSHIP AT AMES HS,93.25,85.35,7.900000000000006
609783,JEFFERSON HS,97.9,95.25,2.6500000000000057
610244,CLARK HS,90.55000000000001,71.0875,19.462500000000006
610245,DOUGLASS HS,81.5375,66.7375,14.799999999999997
610304,PHOENIX MILITARY HS,94.6875,86.63749999999999,8.050000000000011
610323,BOWEN HS,84.0,74.01249999999999,9.987500000000011
610334,RABY HS,81.80000000000001,66.6875,15.112500000000011
610340,CHICAGO ACADEMY HS,93.1875,92.1375,1.0499999999999972
610357,SPRY HS,85.82499999999999,62.3625,23.46249999999999
610380,WILLIAMS HS,85.38749999999999,81.025,4.362499999999983
610381,BRONZEVILLE HS,83.625,84.5,-0.875
610383,SOCIAL JUSTICE HS,88.225,76.25,11.974999999999994
610384,INFINITY HS,92.61250000000001,88.125,4.487500000000011
610385,MULTICULTURAL ARTS HIGH SCHOOL,87.5625,85.475,2.0875000000000057
610386,PEACE AND EDUCATION HS,85.1625,76.06666666666668,9.095833333333317
610389,ORR HS,73.0625,65.075,7.987499999999997
610390,RICKOVER MILITARY HS,90.75,85.3125,5.4375
610391,LINDBLOM HS,90.6125,86.625,3.987499999999997
610392,WORLD LANGUAGE HS,90.775,86.25,4.525000000000006
610394,UPLIFT HS,85.1,70.86250000000001,14.237499999999983
610402,DEVRY HS,94.6,92.625,1.9749999999999943
610499,COLLINS HS,83.8625,70.9625,12.899999999999991
610513,AIR FORCE HS,91.8875,87.98750000000001,3.8999999999999915
610518,AUSTIN CCA HS,83.275,53.224999999999994,30.05000000000001
610524,ALCOTT HS,90.6625,82.0875,8.574999999999989
610529,OGDEN HS,91.80000000000001,83.7625,8.037500000000009
610543,SOLORIO HS,94.0375,85.6,8.4375
610547,SOUTH SHORE INTL HS,89.725,78.30000000000001,11.424999999999983
610557,PATHWAYS - ASHBURN HS,70.73750000000001,60.7125,10.025000000000013
610558,GOODE HS,88.3,84.3125,3.987499999999997
610561,CRANE MEDICAL HS,88.13749999999999,73.7125,14.424999999999983
610563,BACK OF THE YARDS HS,92.3,85.625,6.674999999999997
610564,DISNEY II HS,88.1375,84.7125,3.424999999999997
610565,EXCEL ENGLEWOOD HS,71.5875,71.975,-0.38749999999998863
610568,PATHWAYS - AVONDALE HS,78.36250000000001,63.625,14.737500000000011
610569,OMBUDSMAN - NORTHWEST HS,57.875,60.3375,-2.4624999999999986
610570,OMBUDSMAN - SOUTH HS,56.8125,44.5625,12.25
610571,OMBUDSMAN - WEST HS,52.975,44.7375,8.237500000000004
610587,DYETT ARTS HS,92.03333333333333,81.4,10.633333333333326
