ca_id,comm_area,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct
47,Burnside,50.02293578,58.4,-23.284760170006074,96.05504587155963,50.091743119266056,84.06593406593407,39351.85185,26586.8078,703.2846715,73.45559845559846,69.1119691119691,1.0,1.0
48,Calumet Heights,49.43205394,46.1,-18.066858645298613,97.83683059223851,48.877906505711735,92.88910989557434,57420.14742,35883.58973,1078.001969,86.75244653860095,84.90395070677782,1.0,1.0
37,Fuller Park,47.44558016,50.1,-24.941520467836256,93.12021674406105,34.66321397143092,76.13026278147653,17216.78622,14738.4235,561.3246104,70.6190423245614,67.63658618421053,1.0,1.0
34,Armour Square,46.4571369,30.9,15.44215425531915,14.499868566078614,46.94230180773001,92.95118371439291,37122.66529,24901.0311,698.4822407,77.20019054532578,73.93633842067987,1.0,1.0
45,Avalon Park,45.12512307,44.2,-15.152058849914777,94.72734450393389,48.61372870350713,84.26875505751485,54418.51813,29200.1494,931.5121958,75.53253932448733,72.73398685162846,1.0,1.0
72,Beverly,44.04398955,27.4,-8.935067297198982,39.06242115355503,52.53570167028309,94.05436557487273,110018.1598,55810.52955,936.5771812,93.52489923286959,91.02847484072292,0.96185567,0.987568157
75,Morgan Park,43.63474981,43.3,-16.015222389598033,65.8379035479633,49.14085213605057,89.36063161145829,64137.0976,34941.99834,1164.315793,88.3847526850153,83.35527437308869,1.0,1.0
17,Dunning,42.66814304,36.0,2.3313727350346265,34.21662422281873,55.305480992038916,95.40778229486435,74525.7732,33822.48294,1101.5625,89.1782039883145,82.516194589102,0.982360533,0.997059784
50,Pullman,42.59615385,46.4,-23.55117139334155,84.68657972233909,56.65404571588838,84.25742574257426,48056.72269,27871.22101,921.7603912,102.03672787979967,96.92821368948246,0.918649868,0.344509948
12,Forest Glen,42.42987606,18.9,7.877786952931462,13.739462063428343,50.84805299076676,95.10510214151782,129516.6403,59038.73344,1250.0,95.38527275316906,94.07491810283436,0.902734051,0.979762068
44,Chatham,42.30225418,43.0,-14.929577464788732,97.32762697412225,47.35640849531471,83.21132198484513,39858.57561,25790.28123,860.0558919,81.61280973892248,71.1962814721318,1.0,1.0
73,Washington Heights,42.20468432,53.2,-16.010454712998023,96.93763919821826,45.50482553823311,85.62688636919815,53580.48162,24293.88493,968.9795918,86.32837072761586,78.77961836863075,1.0,1.0
10,Norwood Park,41.69027061,31.2,2.024345417254881,15.993262477298467,52.548583075450104,95.75957902409287,90475.12039,45493.48943,1189.246266,84.74488637995171,81.47529165307054,1.0,1.0
9,Edison Park,41.2605042,24.2,1.7390536723163843,10.289038356662425,58.271223413924744,98.19060988925284,113960.728,61123.82167,1300.572519,84.21719839425312,80.43524191844497,1.0,1.0
67,West Englewood,40.31692515,63.7,-34.528068548209,96.4943803043046,40.50386115146418,75.49787635677207,26438.54749,17440.94147,899.2631579,71.54748771437168,63.81506368468559,1.0,1.0
56,Garfield Ridge,39.74945335,49.0,-1.8337442176117005,57.42184249216344,51.65191822241948,92.30397422126745,80005.68828,32787.64454,1060.878963,89.40013076168682,84.20235371036287,0.999233629,0.855137205
55,Hegewisch,39.64860189,35.8,2.515080257642368,63.07050500900433,45.72798089505071,90.10894508602485,57846.64934,27694.54333,1029.341184,85.85713241773185,81.7144964917052,0.0,0.0
49,Roseland,39.0245098,54.7,-26.377482313221932,96.62317340938344,44.23945688110441,81.04284328826516,44040.6051,20781.95404,1085.883823,77.88461538461539,69.79442970822282,0.994798338,0.982403218
39,Kenwood,39.00716846,24.9,4.1006371507923545,68.2617404851992,52.231248608947254,90.69990412272291,52336.4486,48781.32701,1074.194387,87.94691492522531,83.14350797266515,0.8173258,0.833059211
15,Portage Park,38.9126813,34.3,-3.5506580961126417,44.15119135155431,56.67172515214568,94.38493816254417,75868.65629,33413.14927,1114.074329,87.41679467485919,82.89810547875064,1.0,1.0
59,McKinley Park,38.90544707,36.8,-0.2443302844255106,53.96825396825397,56.84769775678866,93.97715472481828,61814.25486,26933.93789,940.819209,89.90610328638498,86.92668833513903,0.952158086,0.761309673
71,Auburn Gresham,38.58927382,48.2,-19.75754541553426,97.53950918668893,43.149599554584775,83.5136476426799,37484.19389,20664.60043,905.0454921,80.27779314924464,71.01433235570805,0.950207561,0.87847097
18,Montclare,38.46069869,52.8,13.877906057251305,58.76095118898623,51.28633013489083,95.53958785249458,55882.35294,28269.38771,1114.835165,77.20558882235528,73.87225548902195,1.0,1.0
13,North Park,38.3153431,40.6,-5.158258615102085,20.9667127512496,48.54301818568542,94.9392047321722,60362.90323,32506.85239,1070.766129,92.83568639231,89.2610393511565,0.996644087,0.998506855
11,Jefferson Park,38.27886136,25.6,1.3805638269074596,26.991248069427083,56.023387511951164,95.61535936987201,77198.06008,35584.0146,1182.062147,91.75247992442135,86.97213037316958,0.975289982,0.997767145
74,Mount Greenwood,37.9686243,30.5,-1.0201912858661,13.715498938428874,50.10084925690022,95.58215912702617,97760.69519,41850.44559,1091.58805,93.16788321167884,91.4014598540146,0.916029746,0.819865772
38,Grand Boulevard,37.49339934,41.3,-12.200956937799043,92.82605940259411,51.0710211669272,86.07710125744539,39110.73826,29807.9199,943.4131737,84.33232842702607,80.04078737364782,1.0,1.0
60,Bridgeport,37.4904653,21.6,0.023743099661660827,23.106074494110647,55.705232068501275,93.14819641162406,58670.10682,31668.72483,1066.264189,88.2804800959592,87.00858842491941,1.0,1.0
