,crime_class,Unnamed: 0,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",% of Unique Students Receiving ISS,% of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification,Attendance
0,High,4598.41046386192,51.375943905070116,9.214940668824164,8.531067961165048,6.378748651564186,86.30044947860482
1,Low,5478.139255702281,49.394837935174074,13.70486194477791,12.05264105642257,6.201320528211284,81.41248499399761
2,Medium,4694.551144666342,49.99997564539698,11.759766195811007,10.519142717973697,5.996760837798344,84.73763192076636
