,School_ID,Wards
590,609839,30
591,400025,40
592,609908,42
593,400179,6
594,609691,44
595,609974,25
596,610198,47
597,609871,42
598,609994,20
599,400120,7
600,609774,34
601,610106,45
602,610147,27
603,610059,34
604,610557,30
605,610229,41
606,400145,9
607,609896,40
608,610082,42
609,610053,31
610,610532,8
611,610588,6
612,609963,18
613,610317,1
614,610095,34
615,610368,22
616,610238,32
617,610571,23
618,610131,23
619,609678,10
620,400075,10
621,400031,30
622,609728,20
623,609783,46
624,400106,4
625,400096,11
626,609746,10
627,609885,4
628,610193,47
629,610010,40
630,610392,28
631,400133,36
632,400162,21
633,609854,49
634,609813,32
635,609949,50
636,610176,22
637,609969,33
638,400175,37
639,610142,33
640,609990,9
641,400125,21
642,609928,10
643,610249,8
644,609800,43
645,610284,5
646,610564,50
647,610177,46
648,609809,40
649,610362,22
650,610183,23
651,610127,38
652,610004,43
653,609819,9
654,400144,45
