,School ID,Unnamed: 0,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",% of Unique Students Receiving ISS,% of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification,Attendance
0,400022,1460.6666666666667,40.03333333333334,1.1444444444444444,4.677777777777777,3.533333333333333,96.1138888888889
1,400091,1540.0,53.5,5.35,12.05,2.2249999999999996,86.9361111111111
2,400137,5085.875,62.037499999999994,13.0125,14.1125,21.725,77.34722222222223
3,400147,1286.0,16.675,0.0,0.44999999999999996,10.399999999999999,73.33611111111111
4,400164,4275.0,0.0,0.0,0.0,0.0,65.07708333333333
5,400173,6739.666666666667,37.5,0.0,0.3333333333333333,37.5,64.52857142857144
6,400175,1071.0,0.0,0.0,0.0,0.9499999999999998,73.15833333333333
7,400176,1375.8333333333333,50.43333333333334,0.9333333333333332,6.233333333333333,9.216666666666667,68.24880952380951
8,609674,1557.0,74.02222222222223,3.377777777777778,13.022222222222222,37.82222222222222,84.14444444444445
9,609676,2539.0,51.011111111111106,15.066666666666668,18.477777777777778,4.844444444444445,81.08055555555555
10,609678,4444.0,65.975,2.125,0.8625,3.4124999999999996,92.18055555555556
11,609679,7162.0,22.566666666666666,5.088888888888889,4.211111111111111,0.6222222222222222,87.28611111111111
12,609680,6754.888888888889,46.84444444444445,0.7777777777777778,0.7777777777777778,0.7,92.46388888888889
13,609682,7381.0,39.077777777777776,24.77777777777778,25.58888888888889,3.888888888888889,77.821875
14,609691,6320.0,72.58888888888889,25.488888888888887,12.9,0.3,86.575
15,609692,7875.0,62.03333333333333,5.2,13.877777777777776,4.966666666666667,86.05555555555556
16,609693,7780.777777777777,33.93333333333333,0.08888888888888889,6.866666666666667,0.03333333333333333,90.334375
17,609694,3674.0,27.455555555555556,0.6333333333333334,3.9111111111111114,1.0444444444444443,90.92222222222222
18,609695,133.0,74.225,10.100000000000001,4.425000000000001,17.175,89.17222222222222
19,609698,595.0,61.43333333333334,17.61111111111111,12.088888888888889,2.022222222222222,84.31944444444444
20,609704,2940.0,28.81111111111111,8.511111111111111,9.211111111111112,0.6444444444444445,82.95833333333333
21,609705,2958.0,52.31111111111111,54.17777777777777,25.3,1.2333333333333334,80.48611111111111
22,609708,3033.0,57.93333333333334,24.18888888888889,14.444444444444445,6.2,83.59722222222223
23,609709,3172.0,35.21111111111111,11.966666666666667,9.255555555555556,4.977777777777778,84.3111111111111
