comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
Fuller Park,37,2549,-87.632427,41.809082,2.7622190858913793,-1.3846151648574034,-1.617947936252475,2.725574207614494,0.1751635899708539,-1.6227218171469324,-2.608871152553161,2.673813319763643,-2.0130075839725814,0.4806570577437365,2.5790104043004627,2.535616972121837
Englewood,68,24322,-87.642502,41.777201,2.0276878329087977,0.5892163996044198,-1.617947936252475,3.488234245184349,1.1691877044315204,-1.2201314207274538,-0.37195184964608585,1.6159873098440998,-1.2704710118521882,0.9707149560316993,1.8593145001383018,1.0005940862828313
West Garfield Park,26,17423,-87.730233,41.878602,1.8220190820736752,-0.13246020968969294,-1.4657867257591124,2.0932169230954916,1.203987425985989,-0.932566851856398,-0.8173845187972941,1.9394014829482387,-1.6244174408087333,1.6906595925276746,1.8955003277218745,2.6751645071981103
Greater Grand Crossing,69,31543,-87.616139,41.763251,1.6457315813578557,-0.24804106188481673,-1.2850952882982447,1.8466263257721796,2.119794570789387,-0.6545877686143774,-0.491319054726427,1.3825839035074596,-1.4454053045524908,0.7403550336684734,1.6301375921090104,0.8196991334061807
Auburn Gresham,71,44959,-87.656305,41.744203,1.5869690811192494,-0.3611582923535474,-0.9332224890323437,0.7812792980813075,1.025306695636912,-0.20406994404972362,-0.4147408030972297,1.0039960239205337,-0.8851068577980004,0.5502687894068214,1.3245683814032887,0.2511721386509934
East Garfield Park,27,19995,-87.705892,41.878923,1.5575878309999462,0.04174570517004837,-1.132934077804882,0.8514239591399517,1.8877752900918046,-0.8271265099370113,-1.529081953028256,1.8560743882163904,-1.3383329141389935,1.157890059915679,2.261379251066883,3.0317859857263647
Burnside,47,2514,-87.59647,41.728181,1.5575878309999462,1.9499531764090954,-2.0173711137975507,1.5149154901790773,-0.05122030997098178,0.0,0.016176013085344953,0.8349157655442495,-0.1147861225563824,0.222500595297642,1.3728161515147186,0.49408821822821
West Englewood,67,29899,-87.666598,41.775926,1.5282065808806427,0.4430571055657125,-1.7605990710900021,2.0002220191875804,0.33428463372532013,-1.5364524464856157,0.04560971856327089,1.5527947450362771,-1.039126369100786,1.4992001026918436,1.734674427350442,0.7008253072300963
Washington Park,40,12709,-87.617936,41.792356,1.4988253307613395,-0.1128945623318947,-1.1614643047723872,1.1255414684075877,2.406345790401186,-1.7089911878082489,-2.478613098885046,1.437809403963615,-1.0788082304242606,1.2264063755948602,1.8030254350083008,1.998100540716933
Pullman,50,6866,-87.598252,41.706131,1.4400628305227332,-1.0174953686067385,-0.4767388575522568,0.23174734188493473,0.14713857535869174,0.8790899320312533,0.21756601966981587,0.0668762568092254,-0.2619327938823294,-0.5435114945370441,0.48023240445326804,0.302856410901465
North Lawndale,29,34817,-87.717218,41.860197,1.32253783004552,0.4687824199834907,-1.075873623869871,1.7533328117482134,1.7874656856630484,-1.1434475356951725,-0.4653417628342371,1.5431628285040184,-1.268205751333722,1.4331295675300206,1.7829221974618716,3.6519972527320235
Woodlawn,42,24630,-87.594924,41.778877,1.2931565799262168,-0.04950367902533055,-0.4767388575522568,1.4986433737281197,0.6382334635487862,-1.661063759663073,-0.5815075189119577,1.132738675122553,-0.7323749639354875,1.0511961060596273,0.9345655730025648,0.13229831247490892
Austin,25,96753,-87.763117,41.894113,1.23439407968761,0.3085504190641171,-0.828611656818157,0.19063605022728192,0.4423001746546111,-0.3286812572271809,-1.1284595028129363,0.8298804344622309,-0.8167271815610719,1.3159750419090799,1.4371465116632913,1.8378792967404707
Chatham,44,31804,-87.615965,41.740206,1.23439407968761,0.17584356030293863,-0.9522426403440144,0.679340550064355,0.35399274271813963,-0.5779038835820961,-0.7173408038976296,0.8301377527329431,-1.0240263875314664,0.924306254669386,0.8943590979097067,0.8093622789560866
Oakland,36,4280,-87.603217,41.823754,1.205012829568307,-0.13025196835020317,-0.6289000680456187,-0.8182171429948237,1.9926788175980439,0.3998156505794935,2.1249862531514676,1.1975067131662884,-1.4070783746912658,-0.058995812321269554,1.0953914733739973,0.9127308234570298
Roseland,49,38934,-87.623366,41.706588,1.1756315794490038,0.03279816694657176,-1.427746423135772,1.6316417041155604,0.9085715363966159,-0.2519973721948996,-0.1431774916618163,0.7637304460166741,-0.7715548919253397,0.7589162111172527,1.521580109358294,0.6801515983299077
Calumet Heights,48,13085,-87.57272,41.729673,1.1462503293297006,-0.8385079202236483,-0.9142023377206732,-0.0712213055262734,-0.10674529082891449,0.4669140499827401,0.8275240610634684,-0.3028046521139375,-0.47939230905191743,-1.137642404844757,0.15455995620111707,-0.3742075555797125
Washington Heights,73,25075,-87.648897,41.717495,1.1462503293297006,-0.28277908932515816,-0.5337993114872672,0.1053138837475759,0.023010659946467015,0.1697639954826496,-0.21172322734954685,0.37842628720636173,-0.8665867475538453,1.2160997371558422,1.0109578756789956,0.11162460357472019
Riverdale,54,7229,-87.602849,41.660137,0.9993440787331843,-0.18253546495906375,-1.7986393737133426,-0.30702315916542117,4.516106766785611,-3.2330834028248456,-1.3814686058957928,2.82037310321478,-1.6716016843158776,-0.930056221108703,1.9960165154540197,1.646647489413726
South Shore,43,45611,-87.57279,41.761583,0.9112003283752743,-0.43165772366076716,-1.0093030942790246,1.2766534284061566,0.6952765030719389,-1.4693540470823692,-0.673618083831386,1.124938283332158,-1.078894261721569,0.5276443061864413,0.8541526228168486,0.12712988524986168
