,crime_class,Unnamed: 0,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",% of Unique Students Receiving ISS,% of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification
0,High,4859.611801242236,49.68105590062112,9.53385093167702,8.362111801242236,6.577950310559006
1,Low,4904.1732776617955,50.65657620041754,12.783507306889353,11.12964509394572,5.538830897703549
2,Medium,4747.5625,48.731249999999996,11.112499999999999,9.807536764705883,5.879779411764706
