,school_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,match_id,teachers_per_100_stu,help_per_100_stu,salary_per_teach,Student Attendance Rate,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,Teacher Retention Rate
70,Marquette Elem School,65.0,1.0,0.0,0.0,3158529,610053.0,6.385068762278978,0.0982318271119842,48592.75384615385,,,,,
71,Fairfield Elem Academy,29.0,1.0,0.0,0.0,1596151,610057.0,5.979381443298969,0.2061855670103093,55039.68965517241,,,,,
72,Hanson Park Elem School,93.0,1.0,0.0,0.0,4556754,610068.0,8.05892547660312,0.0866551126516464,48997.35483870968,,,,,
73,Inter-American Elem Magnet School,42.0,1.0,0.0,0.0,2764220,610078.0,6.26865671641791,0.1492537313432836,65814.76190476191,,,,,
74,Mount Greenwood Elem School,56.0,1.0,0.0,0.0,3670346,610082.0,4.835924006908464,0.0863557858376511,65541.89285714286,,,,,
75,Mount Vernon Elem School,16.0,1.0,0.0,0.0,743160,610086.0,6.986899563318777,0.4366812227074235,46447.5,,,,,
76,Norwood Park Elem School,24.0,1.0,0.0,0.0,1478195,610099.0,7.100591715976331,0.2958579881656805,61591.458333333336,,,,,
77,West Park Elem Academy,36.0,1.0,0.0,0.0,2322178,610100.0,7.860262008733625,0.2183406113537117,64504.944444444445,,,,,
78,Oriole Park Elem School,45.0,1.0,0.0,0.0,2793620,610105.0,7.537688442211055,0.1675041876046901,62080.444444444445,,,,,
79,Park Manor Elem School,15.0,1.0,0.0,0.0,1065700,610115.0,5.813953488372093,0.3875968992248062,71046.66666666667,,,,,
80,Portage Park Elem School,53.0,2.0,0.0,0.0,3031817,610135.0,6.377858002406739,0.2406738868832731,57204.09433962264,,,,,
81,Ravenswood Elem School,35.0,1.0,0.0,0.0,1859842,610141.0,6.529850746268656,0.1865671641791044,53138.34285714286,,,,,
82,Sauganash Elem School,32.0,1.0,0.0,0.0,2135551,610155.0,5.324459234608985,0.1663893510815307,66735.96875,,,,,
83,Columbia Explorers Elem Academy,59.0,1.0,0.0,0.0,3255449,610170.0,7.682291666666667,0.1302083333333333,55177.10169491525,,,,,
84,Albany Park Multicultural Elem,19.0,1.0,0.0,0.0,1033877,610212.0,8.636363636363637,0.4545454545454545,54414.57894736842,,,,,
85,National Teachers Elem Academy,43.0,1.0,0.0,0.0,2090775,610231.0,5.695364238410596,0.1324503311258278,48622.67441860465,,,,,
86,New Field Elem School,42.0,1.0,0.0,0.0,2396089,610284.0,8.030592734225621,0.1912045889101338,57049.73809523809,,,,,
87,Phoenix Military Academy HS,32.0,2.0,0.0,0.0,2310157,610304.0,7.032967032967033,0.4395604395604395,72192.40625,84.8,1.6,65.7,0.3,87.3
88,Brighton Park Elem School,26.0,1.0,0.0,0.0,1589858,610317.0,9.252669039145909,0.3558718861209964,61148.38461538462,,,,,
89,Bowen High School,22.0,1.0,0.0,0.0,1113318,610323.0,10.891089108910892,0.495049504950495,50605.36363636364,73.7,11.9,74.4,7.3,88.9
90,Avondale - Logandale Elementary School,41.0,1.0,0.0,0.0,2687584,610325.0,7.992202729044834,0.1949317738791423,65550.82926829268,,,,,
91,Chicago Academy High School,35.0,1.0,0.0,0.0,1802183,610340.0,6.294964028776978,0.1798561151079137,51490.94285714286,94.1,2.0,28.4,0.4,92.4
92,Durkin Park Elem School,41.0,1.0,0.0,0.0,2579513,610352.0,6.110283159463488,0.1490312965722801,62914.95121951219,,,,,
93,North River Elem School,22.0,1.0,0.0,0.0,1050494,610354.0,8.799999999999999,0.4,47749.72727272727,,,,,
94,Multicultural Acad of Scholarshp HS,20.0,1.0,0.0,0.0,946924,610385.0,7.604562737642586,0.3802281368821292,47346.2,99.0,8.1,0.0,2.2,87.9
95,Peace and Education Coalition HS,20.0,2.0,0.0,0.0,349406,610386.0,13.60544217687075,1.3605442176870748,17470.3,,,,,
96,World Language High School,23.0,2.0,0.0,0.0,1393999,610392.0,6.725146198830409,0.5847953216374269,60608.65217391304,85.9,3.9,56.8,2.0,97.9
97,Tarkington Elem School,59.0,1.0,1.0,0.0,3098952,610396.0,6.836616454229433,0.2317497103128621,52524.61016949153,,,,,
98,Disney II Elem School,72.0,2.0,0.0,0.0,4318348,610515.0,16.74418604651163,0.4651162790697674,59977.05555555556,88.4,1.9,48.7,1.2,91.0
99,Edison Park Elem School,33.0,1.0,0.0,0.0,1723694,610523.0,8.088235294117647,0.2450980392156862,52233.15151515151,,,,,
100,South Shore Fine Arts Elem Sch,26.0,1.0,0.0,0.0,1292467,610530.0,10.236220472440944,0.3937007874015747,49710.269230769234,,,,,
101,Skinner North Elem Sch,27.0,1.0,0.0,0.0,1639249,610534.0,5.4989816700611,0.2036659877800407,60712.92592592593,,,,,
102,West Ridge Elem School,47.0,1.0,0.0,0.0,2567578,610542.0,7.496012759170653,0.1594896331738437,54629.31914893617,,,,,
103,South Shore Intl Col Prep HS,41.0,2.0,0.0,0.0,2740568,610547.0,8.070866141732283,0.3937007874015747,66843.12195121951,77.5,4.6,75.7,0.2,88.3
104,STEM Magnet Academy Elem,30.0,1.0,0.0,0.0,1680454,610548.0,7.575757575757576,0.2525252525252525,56015.13333333333,,,,,
105,Back of The Yards IB HS,75.0,3.0,1.0,0.0,3922879,610563.0,7.462686567164178,0.3980099502487562,52305.05333333334,87.0,0.7,53.1,0.4,85.9
106,Bronzeville Scholastic HS,21.0,1.0,0.0,0.0,1216740,610590.0,5.316455696202532,0.2531645569620253,57940.0,81.2,17.0,73.6,1.4,73.7
