comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
Lower West Side,31,33716,-87.66757,41.850277,8.5,13.1200757,70.5,10.85752679,6.224056247,16.2019522,59.31193379,37.04935661,10.4,17.1
Belmont Cragin,19,78151,-87.765502,41.927275,8.2,17.28339899,72.2,7.475224192,8.238324556,21.13088159,53.01635671,51.52711809,10.0,18.9
South Lawndale,30,71402,-87.714,41.839091,8.2,20.26453302,67.2,10.37364283,8.89690581,22.84175578,52.01102384,52.04969152,10.0,14.7
Irving Park,16,51911,-87.723457,41.953589,8.1,10.59214873,78.0,8.003021834,4.729319055,9.896906845,62.71213055,37.41119935,5.9,19.1
Dunning,17,43120,-87.806015,41.946522,8.1,10.32246784,79.4,5.575845613,3.395380228,6.868224376,85.3827836,34.57709658,2.8,20.5
Hegewisch,55,9884,-87.556803,41.668188,8.1,9.212541674,63.4,10.23076261,12.62475609,18.14342637,50.99414505,44.73183788,16.8,26.2
West Ridge,2,77139,-87.695017,42.001583,8.0,14.47786444,67.6,8.20503211,6.693774576,20.77475759,50.00705398,48.78421303,6.0,8.5
Beverly,72,19950,-87.675072,41.713148,7.9,2.626523225,84.7,7.923907103,2.915233835,5.138581093,58.50430447,26.08100528,10.7,12.1
Loop,32,39135,-87.625194,41.878881,7.8,2.830144027,79.3,14.33218657,1.493095973,2.111343797,94.79110451,34.03266599,1.2,14.8
Hyde Park,41,23914,-87.592305,41.794088,7.8,5.202569093,80.7,9.616310678,3.563470081,7.765021656,90.64335734,51.04129001,3.0,7.9
Bridgeport,60,33593,-87.648784,41.836151,7.7,8.750233671,71.3,6.686845284,4.545351213,11.05540234,66.16438485,35.86283779,4.6,15.5
East Side,52,21529,-87.534907,41.707306,7.5,12.48701561,62.9,8.557676546,11.56133719,21.35325945,45.18810098,36.59763338,13.6,17.8
North Park,13,17522,-87.723578,41.983651,7.4,9.698526393,72.0,7.873939201,4.107817455,14.42116185,58.81033776,39.79154524,4.2,8.1
Albany Park,14,48549,-87.721558,41.968078,7.4,17.1584564,75.1,8.486359115,7.710994836,15.9036066,55.77471209,41.70901305,4.2,15.0
West Town,24,87942,-87.676358,41.901216,7.4,5.076638887,80.4,7.568576726,3.383987994,7.194325802,69.39167124,28.83784881,6.5,21.6
Edgewater,77,47343,-87.663419,41.986719,7.4,8.619610545,76.3,10.06438296,1.805569096,9.581853016,72.69555036,41.59907432,2.0,19.9
Gage Park,63,39439,-87.696433,41.795429,7.3,15.80469469,66.5,7.659187837,9.098871509,26.64802362,46.72462246,51.46669443,19.0,14.7
Avondale,21,36245,-87.711219,41.938673,7.2,14.79087357,77.5,11.09325851,5.415950744,12.20934862,60.66962954,36.97929872,5.5,20.8
West Lawn,65,33543,-87.726927,41.769774,7.2,11.78779815,69.4,4.782687264,6.369290508,16.18720942,56.04601217,54.2316839,5.6,19.9
Portage Park,15,63038,-87.763401,41.954043,7.1,13.1230297,75.6,9.170525373,5.967496438,9.411111705,74.36045097,42.59224236,2.4,23.2
Logan Square,22,71742,-87.699149,41.922768,7.1,7.451660058,78.4,9.424221276,4.276809506,8.932811302,69.40252364,34.84907992,4.2,19.7
Hermosa,20,24127,-87.734741,41.924353,7.0,17.63434935,72.9,7.713896868,7.986754053,16.75398256,70.21060386,44.46595794,6.6,20.2
Lake View,6,91836,-87.656001,41.944236,6.9,3.785383342,83.1,7.764588586,1.9428283,3.775439414,83.27674977,35.00578311,1.4,13.9
West Elsdon,62,18249,-87.724213,41.792977,6.9,8.856372699,70.4,5.34884442,11.12060085,17.82308709,68.08330209,59.86718142,15.9,14.2
Forest Glen,12,19579,-87.758358,41.993938,6.8,6.846131374,83.1,3.342096366,2.075552083,4.94045846,71.12798864,25.68744833,1.7,17.3
Lincoln Square,4,40412,-87.687513,41.975182,6.6,9.104656545,81.7,6.649648014,3.733345507,7.013739342,71.97074657,39.84578757,1.9,12.9
Lincoln Park,7,63433,-87.649491,41.922696,6.6,2.429769482,82.1,9.496013824,1.373244845,3.405391163,81.80714449,31.88850368,0.5,9.5
McKinley Park,59,15927,-87.6725,41.829927,6.5,11.63189971,70.4,6.905258063,3.910246509,17.3341897,48.53846823,41.03840794,4.4,17.6
Clearing,64,24519,-87.768517,41.779582,6.4,7.512565604,75.0,4.445849157,5.546992387,12.91936081,54.33081505,50.19126202,6.7,29.0
North Center,5,35150,-87.683839,41.947811,6.3,2.555063044,83.5,9.309656619,3.101544582,4.384798107,85.90212412,25.45965746,0.5,12.6
Archer Heights,57,14282,-87.726365,41.810873,6.1,11.77030847,69.1,8.441189488,3.799375715,15.24606008,60.3973727,59.69412304,14.4,7.7
Mount Greenwood,74,18633,-87.713189,41.694876,6.1,2.709618218,88.8,4.666783763,3.752676671,2.411666127,92.54922668,27.42519335,4.5,14.2
Norwood Park,10,41109,-87.803451,41.985248,6.0,4.076038593,85.4,3.252703172,4.696556013,6.527929263,86.66492373,41.68988663,1.8,15.2
Garfield Ridge,56,35352,-87.764246,41.796185,5.8,8.335213351,75.2,4.173616385,3.026663033,7.709127678,72.3162362,35.66397009,8.1,21.1
O'Hare,76,14416,-87.893699,41.975696,5.7,16.85113086,71.8,4.862374112,4.038481957,7.102173832,73.24455612,47.03967046,1.3,17.9
Edison Park,9,11521,-87.81378,42.007627,5.0,1.509962511,88.1,7.226765785,1.62058086,1.408822591,92.71909655,40.60034748,1.9,11.1
