,school_name,lea_name,teachers_fte_crdc,counselors_fte,social_workers_fte,psychologists_fte,salaries_teachers,match_id,num_student,max_score,teachers_per_100_stu,help_per_100_stu,salary_per_teach
4367,YCCS West,City of Chicago SD 299,5.0,2.0,0.0,0.0,322452,400144.0,65,0.935,7.6923076923076925,3.076923076923077,64490.4
4385,YCCS-Youth Connection Leadership Academy,City of Chicago SD 299,12.0,2.0,0.0,0.0,415595,400145.0,97,0.8999999999999999,12.371134020618557,2.0618556701030926,34632.916666666664
2041,KIPP Academy Chicago Campus,City of Chicago SD 299,20.0,1.0,0.5,0.0,940824,400146.0,607,0.9099999999999999,3.2948929159802307,0.2471169686985173,47041.2
645,Chicago Excel Academy HS,City of Chicago SD 299,14.0,1.48,0.4,0.2,726268,400147.0,208,0.95,6.730769230769231,1.0,51876.28571428572
4366,YCCS Chtr - Chatham,City of Chicago SD 299,7.0,1.0,0.0,0.0,210283,400150.0,119,0.87,5.88235294117647,0.8403361344537815,30040.428571428572
670,Christopher House Chrt ES,City of Chicago SD 299,23.0,0.0,1.0,0.0,1104000,400159.0,444,0.925,5.18018018018018,0.22522522522522523,48000.0
644,Chicago Collegiate Charter School,City of Chicago SD 299,24.0,1.0,1.0,0.2,1277044,400161.0,247,0.9299999999999999,9.7165991902834,0.8906882591093118,53210.166666666664
1481,Great Lakes Academy Charter ES,City of Chicago SD 299,18.0,1.0,1.0,0.0,655686,400168.0,514,0.885,3.501945525291829,0.38910505836575876,36427.0
2771,Noble St Chtr-ITW Speer Acad,City of Chicago SD 299,43.0,7.0,1.0,0.4,2354930,400169.0,1094,0.825,3.930530164533821,0.7678244972577697,54765.813953488374
2653,Moving Everest Charter School,City of Chicago SD 299,20.0,1.0,1.0,0.0,1103250,400178.0,770,0.9199999999999999,2.5974025974025974,0.2597402597402597,55162.5
2762,Noble St Chtr - Mansueto,City of Chicago SD 299,25.0,2.0,1.0,2.2,1173422,400179.0,1043,0.84,2.3969319271332696,0.49856184084372007,46936.88
653,Chicago Vocational Career Acad HS,City of Chicago SD 299,56.0,4.0,0.0,0.0,2853546,609674.0,647,0.895,8.65533230293663,0.6182380216383307,50956.17857142857
2824,North-Grand High School,City of Chicago SD 299,63.0,4.0,0.0,0.0,3440251,609691.0,1066,0.94,5.909943714821764,0.37523452157598497,54607.15873015873
112,Amundsen High School,City of Chicago SD 299,75.0,3.0,0.0,0.0,4929496,609695.0,1488,0.84,5.040322580645161,0.20161290322580644,65726.61333333333
1326,Gage Park High School,City of Chicago SD 299,26.0,1.0,0.0,0.0,1058288,609709.0,330,0.935,7.878787878787878,0.30303030303030304,40703.38461538462
2005,Kelvyn Park High School,City of Chicago SD 299,32.0,1.5,0.0,0.0,1724529,609716.0,491,0.94,6.517311608961303,0.30549898167006106,53891.53125
2091,Lake View High School,City of Chicago SD 299,89.0,5.0,0.0,0.0,5049170,609719.0,1335,0.935,6.666666666666667,0.37453183520599254,56732.247191011236
2628,Morgan Park High School,City of Chicago SD 299,87.0,2.0,0.0,0.0,5894077,609725.0,1075,0.94,8.093023255813954,0.18604651162790697,67748.01149425287
2264,Lincoln Park High School,City of Chicago SD 299,131.0,6.0,0.0,0.0,8871627,609738.0,2063,0.9450000000000001,6.349975763451285,0.290838584585555,67722.34351145038
2839,Northside Learning Center,City of Chicago SD 299,33.0,1.0,0.0,0.0,417134,609744.0,264,0.9199999999999999,12.5,0.3787878787878788,12640.424242424242
650,Chicago Military Academy HS,City of Chicago SD 299,22.0,1.0,0.0,0.0,1390556,609754.0,227,0.9299999999999999,9.691629955947137,0.4405286343612335,63207.09090909091
2419,Marine Leadership Academy - Ames,City of Chicago SD 299,60.0,3.0,0.0,0.0,3839908,609780.0,686,0.9299999999999999,8.746355685131196,0.43731778425655976,63998.46666666667
194,Avalon Park Elem School,City of Chicago SD 299,15.0,1.0,0.0,0.0,1000843,609786.0,232,0.8999999999999999,6.4655172413793105,0.43103448275862066,66722.86666666667
2298,Little Village Elem School,City of Chicago SD 299,47.0,2.0,0.0,0.0,2463359,609834.0,609,0.9099999999999999,7.717569786535304,0.3284072249589491,52411.89361702128
1059,Edgebrook Elem School,City of Chicago SD 299,27.0,1.0,0.0,0.0,1607236,609901.0,455,0.895,5.934065934065933,0.21978021978021978,59527.25925925926
1221,Fernwood Elem School,City of Chicago SD 299,17.0,1.0,0.0,0.0,886758,609917.0,268,0.885,6.343283582089552,0.3731343283582089,52162.23529411765
3825,Telpochcalli Elem School,City of Chicago SD 299,21.0,1.0,0.0,0.0,1288773,609921.0,219,0.905,9.58904109589041,0.45662100456621,61370.142857142855
254,Belmont-Cragin Elem School,City of Chicago SD 299,30.0,1.0,0.0,0.0,1800794,609922.0,499,0.9099999999999999,6.012024048096192,0.2004008016032064,60026.46666666667
1261,Fort Dearborn Elem School,City of Chicago SD 299,22.0,1.0,0.0,0.0,1208575,609924.0,329,0.9099999999999999,6.68693009118541,0.303951367781155,54935.22727272727
1262,Foster Park Elem School,City of Chicago SD 299,20.0,1.0,0.0,0.0,914195,609927.0,297,0.8999999999999999,6.7340067340067336,0.33670033670033667,45709.75
2757,Ninos Heroes Elem Academic Ctr,City of Chicago SD 299,20.0,1.0,0.0,0.0,1164987,609961.0,310,0.865,6.451612903225806,0.3225806451612903,58249.35
3620,South Loop Elem School,City of Chicago SD 299,42.0,1.0,0.0,0.0,2758652,609990.0,799,0.8999999999999999,5.256570713391739,0.1251564455569462,65682.19047619047
2846,Northwest Middle School,City of Chicago SD 299,28.0,1.0,0.0,0.0,1338686,610051.0,491,0.9099999999999999,5.7026476578411405,0.20366598778004072,47810.21428571428
2441,Marquette Elem School,City of Chicago SD 299,65.0,1.0,0.0,0.0,3158529,610053.0,1018,0.895,6.385068762278978,0.09823182711198428,48592.75384615385
1194,Fairfield Elem Academy,City of Chicago SD 299,29.0,1.0,0.0,0.0,1596151,610057.0,485,0.875,5.979381443298969,0.2061855670103093,55039.68965517241
