sch_id,ca_id,fin_id,tot_student,perc_low_income,perc_black_his_stu
609796,11,22201,970,0.3731958762886598,0.388659793814433
610097,21,24681,593,0.7706576728499157,0.9814502529510961
610171,42,25331,466,0.7703862660944206,0.98068669527897
609832,53,22501,611,0.502454991816694,0.7283142389525368
400173,55,66801,454,0.7819383259911894,0.9647577092511013
610316,44,26441,194,0.6030927835051546,0.9896907216494846
400126,24,66109,72,0.7638888888888888,0.8888888888888888
609988,16,23731,455,0.789010989010989,0.8593406593406593
610158,26,29271,427,0.5714285714285714,0.8758782201405152
610385,32,55181,263,0.8479087452471483,0.9923954372623575
609709,61,46141,330,0.8393939393939394,0.9818181818181818
610055,28,24371,170,0.8764705882352941,1.0
400119,27,66641,242,0.8801652892561983,0.9958677685950413
609891,1,22991,257,0.8054474708171206,1.0
400094,42,63081,325,0.9415384615384615,0.9476923076923077
609808,45,22301,445,0.8292134831460675,0.9955056179775281
609907,28,29051,355,0.8253521126760563,0.9971830985915493
610034,30,31161,224,0.8348214285714286,0.9910714285714286
610126,1,29251,418,0.7129186602870813,0.9784688995215312
609679,19,53041,1150,0.888695652173913,0.9739130434782609
610054,48,24361,647,0.7727975270479135,0.9675425038639877
400131,25,66615,97,0.7938144329896907,0.9690721649484536
609873,30,31041,118,0.8559322033898306,0.9915254237288136
609680,37,70020,1230,0.3024390243902439,0.3333333333333333
610076,25,24551,431,0.6774941995359629,0.8816705336426914
400168,42,66951,514,0.7645914396887159,0.9941634241245136
609842,61,22601,808,0.8131188118811881,0.9913366336633663
610048,37,24311,251,0.8286852589641435,0.9960159362549801
610096,61,24671,978,0.8292433537832311,0.9795501022494888
609867,33,22831,404,0.8663366336633663,0.9925742574257426
610199,50,26751,195,0.6717948717948717,1.0
610225,50,25831,273,0.6923076923076923,0.8827838827838828
609904,26,23101,440,0.7454545454545455,0.9954545454545455
609820,57,22421,492,0.13617886178861788,0.18292682926829268
610125,33,24931,431,0.765661252900232,0.974477958236659
400022,25,63051,598,0.520066889632107,0.7290969899665551
609849,73,22651,350,0.18,0.29714285714285715
400092,51,66076,254,0.7401574803149606,0.9566929133858267
610030,8,31151,260,0.6269230769230769,0.8807692307692307
400169,19,66149,1094,0.783363802559415,0.9853747714808044
610533,19,22581,743,0.8411843876177658,0.9851951547779273
610206,53,25661,920,0.6760869565217391,0.9010869565217391
610109,69,29241,265,0.5433962264150943,0.9924528301886792
609874,75,22871,1096,0.5812043795620438,0.16605839416058393
610226,61,26721,738,0.7926829268292683,0.9796747967479674
609786,41,22101,232,0.7456896551724138,0.9956896551724138
610032,72,24131,304,0.756578947368421,0.993421052631579
609807,69,32021,464,0.8038793103448276,0.9806034482758621
610016,71,23971,280,0.32857142857142857,0.8964285714285715
610234,23,25911,284,0.8204225352112676,0.9330985915492958
609966,32,23531,231,0.8311688311688312,0.9696969696969697
609921,32,23231,219,0.7579908675799086,0.9360730593607306
609862,42,22771,265,0.7320754716981132,0.9924528301886792
609983,59,23681,480,0.7854166666666667,0.9875
400059,30,66092,418,0.9473684210526315,0.9880382775119617
610380,4,55161,71,0.9154929577464789,0.9859154929577465
609724,20,46241,1610,0.7888198757763976,0.6285714285714286
610287,69,32081,355,0.752112676056338,0.9859154929577465
609912,11,23161,486,0.5267489711934157,0.4773662551440329
400111,70,66564,463,0.7602591792656588,0.9935205183585313
610092,26,24641,236,0.7584745762711864,0.9915254237288136
609769,34,49101,238,0.9201680672268907,0.9117647058823529
400123,26,66106,102,0.7941176470588235,0.9803921568627451
610068,19,24461,1154,0.7686308492201039,0.9783362218370883
610543,61,46101,1213,0.9043693322341303,0.9818631492168178
610098,24,24691,582,0.7800687285223368,0.9845360824742269
609883,67,22931,479,0.755741127348643,1.0
400039,25,66331,378,0.798941798941799,0.955026455026455
609692,40,53061,1142,0.9133099824868651,0.9921190893169878
609730,76,47061,1508,0.7241379310344828,0.6631299734748011
400053,25,66145,643,0.7900466562986003,0.9626749611197511
400135,32,66619,120,0.775,0.9833333333333333
610139,47,25041,302,0.7748344370860927,0.9900662251655629
609834,32,22521,609,0.8423645320197044,0.9967159277504105
610299,66,26371,242,0.8636363636363636,0.987603305785124
610170,55,20071,768,0.76953125,0.9817708333333334
609853,23,22701,379,0.6464379947229552,0.7783641160949868
609779,20,22081,1236,0.7483818770226537,0.6529126213592233
400101,55,66398,408,0.8333333333333334,0.9877450980392157
610104,36,24761,659,0.2731411229135053,0.3186646433990895
400141,31,66625,172,0.7267441860465116,0.7965116279069767
609959,35,23481,527,0.7552182163187856,0.16129032258064516
610342,25,29371,313,0.7380191693290735,0.9552715654952076
610218,44,25761,250,0.804,1.0
610133,24,24991,251,0.8167330677290837,0.9960159362549801
610179,15,25401,751,0.5912117177097204,0.6830892143808256
610268,40,26191,363,0.7107438016528925,0.9917355371900827
610128,72,24951,238,0.8487394957983193,0.9957983193277311
609951,5,23421,354,0.692090395480226,0.9915254237288136
609898,64,23041,1029,0.8396501457725948,0.9854227405247813
609827,40,29021,308,0.7337662337662337,0.9967532467532467
610215,32,41041,254,0.9330708661417323,1.0
610325,22,41091,513,0.8011695906432749,0.9610136452241715
609941,65,29111,331,0.7945619335347432,0.9969788519637462
610592,66,46691,781,0.8668373879641486,0.9923175416133163
609719,57,46211,1335,0.7925093632958802,0.8621722846441947
610504,56,26891,135,0.3037037037037037,0.8296296296296296
610063,32,24431,445,0.7617977528089888,0.9797752808988764
400026,72,66075,352,0.6136363636363636,0.9801136363636364
609761,47,46391,288,0.8715277777777778,0.9930555555555556
610040,19,24221,842,0.7434679334916865,0.9774346793349169
400082,22,66393,401,0.8428927680798005,0.9925187032418953
610163,77,30081,236,0.1016949152542373,0.2627118644067797
609735,59,53121,211,0.8199052132701422,0.8578199052132701
610363,31,29401,1448,0.5669889502762431,0.7147790055248618
609695,6,46031,1488,0.4092741935483871,0.508736559139785
610402,46,46521,130,0.7076923076923077,0.7769230769230769
610088,23,24611,487,0.8193018480492813,0.9671457905544147
610188,45,25491,203,0.7093596059113301,0.9950738916256158
400159,19,66661,444,0.7612612612612613,0.9864864864864865
400178,26,66911,770,0.8441558441558441,0.9961038961038962
609956,62,23461,389,0.6915167095115681,0.922879177377892
610144,22,25101,555,0.7963963963963964,0.9567567567567568
609856,52,22731,548,0.7554744525547445,0.9087591240875912
610173,66,25351,207,0.7874396135265701,0.9903381642512077
609811,48,22331,227,0.6519823788546255,0.986784140969163
609972,14,23591,889,0.766029246344207,0.8773903262092239
400117,70,66574,481,0.7817047817047817,0.9854469854469855
610274,30,26231,225,0.8355555555555556,0.9688888888888889
609772,49,22021,559,0.7209302325581395,0.964221824686941
610239,59,25951,479,0.8455114822546973,0.9895615866388309
610152,67,25181,321,0.7570093457943925,0.9875389408099688
610569,77,65013,169,0.7041420118343196,0.6686390532544378
610013,33,31141,216,0.7916666666666666,0.9814814814814815
610223,65,25811,401,0.7880299251870324,1.0
610561,29,46641,306,0.9019607843137255,0.9869281045751634
610174,55,25361,469,0.767590618336887,0.9808102345415778
610355,31,30141,219,0.7351598173515982,0.8538812785388128
610254,30,26051,274,0.8576642335766423,0.9854014598540146
609797,28,22211,256,0.84375,1.0
400139,41,66623,306,0.8986928104575164,0.9869281045751634
610529,25,24731,488,0.7049180327868853,0.8340163934426229
610051,19,41121,491,0.8615071283095723,0.9714867617107943
610586,49,22631,635,0.7338582677165354,0.9700787401574803
610208,45,25671,337,0.7537091988130564,0.9970326409495549
610597,29,26931,150,0.58,0.7866666666666666
609830,26,22491,425,0.6988235294117647,0.9882352941176471
610129,33,24961,291,0.845360824742268,0.9690721649484536
609753,73,47091,780,0.5025641025641026,0.7230769230769231
609674,41,53011,647,0.8222565687789799,0.9876352395672334
610308,29,30121,110,0.6,0.9090909090909091
400062,70,66053,347,0.8501440922190202,0.9913544668587896
610195,71,25561,567,0.30864197530864196,0.63668430335097
610390,15,45221,457,0.7067833698030634,0.8205689277899344
400114,25,66601,220,0.8545454545454545,0.9727272727272728
400181,39,69228,554,0.7166064981949458,0.9711191335740073
400151,28,66566,170,0.7647058823529411,0.9823529411764705
400013,22,66254,262,0.8625954198473282,1.0
609869,65,22841,184,0.8804347826086957,0.9945652173913043
610547,39,46631,508,0.7618110236220472,0.9921259842519685
609996,58,23821,401,0.713216957605985,0.6483790523690773
609791,66,22161,348,0.8362068965517241,0.9971264367816092
610200,42,25601,274,0.8394160583941606,0.9854014598540146
609933,10,31081,229,0.7554585152838428,0.868995633187773
610056,30,24381,219,0.8493150684931506,1.0
610281,39,26291,556,0.7805755395683454,0.9892086330935251
610227,32,25841,592,0.8243243243243243,0.9932432432432432
610350,44,29381,388,0.6649484536082474,0.9948453608247423
609917,72,23201,268,0.8022388059701493,0.996268656716418
610077,64,24571,504,0.8194444444444444,0.9880952380952381
610518,26,46621,176,0.8181818181818182,0.9943181818181818
610093,40,24651,250,0.78,0.98
610207,71,29311,239,0.5564853556485355,0.9916317991631799
610099,36,24711,338,0.1301775147928994,0.363905325443787
609732,19,46291,1131,0.7851458885941645,0.9248452696728559
400052,67,66146,1020,0.7549019607843137,0.9823529411764705
400054,21,66142,968,0.9008264462809917,0.9803719008264463
609942,23,23341,713,0.5245441795231417,0.699859747545582
609710,45,51021,272,0.8308823529411765,0.9963235294117647
609866,46,22821,794,0.08942065491183879,0.17884130982367757
400069,24,67081,371,0.784366576819407,0.9892183288409704
609726,45,47051,965,0.6414507772020726,0.9782383419689119
609887,40,22971,467,0.7130620985010707,0.9978586723768736
400098,38,66573,823,0.8165249088699879,0.9356014580801945
610315,50,26431,112,0.8303571428571429,0.9910714285714286
609749,13,46061,1041,0.35446685878962536,0.34293948126801155
609910,19,23151,895,0.7877094972067039,0.9564245810055866
400033,72,66061,1241,0.7832393231265109,0.991941982272361
610115,67,24841,258,0.751937984496124,0.9961240310077519
610022,10,24021,743,0.7617765814266487,0.693135935397039
610384,32,55151,405,0.928395061728395,0.9827160493827161
610345,4,26541,299,0.6956521739130435,0.9899665551839465
610290,66,26321,242,0.7727272727272727,0.9834710743801653
609744,13,49021,264,0.7386363636363636,0.7159090909090909
610091,50,24631,295,0.7389830508474576,0.9932203389830508
609766,15,49081,194,0.7474226804123711,0.7731958762886598
610062,58,24421,292,0.797945205479452,0.726027397260274
609937,36,23301,751,0.3169107856191744,0.3794940079893475
400068,26,63021,174,0.8735632183908046,1.0
609899,77,23051,727,0.14718019257221457,0.13067400275103164
610323,42,46491,202,0.8712871287128713,0.9603960396039604
610329,33,31281,278,0.6726618705035972,0.9856115107913669
609903,54,23081,1252,0.7028753993610224,0.9648562300319489
400091,29,0,377,0.8938992042440318,0.9814323607427056
400170,37,66578,590,0.7677966101694915,0.9322033898305084
609893,62,23001,726,0.4573002754820937,0.7699724517906336
609790,70,22151,402,0.7313432835820896,0.9925373134328358
610251,28,26021,330,0.8424242424242424,0.9939393939393939
609861,74,22761,389,0.41645244215938304,0.8174807197943444
400048,29,66561,366,0.7704918032786885,0.9699453551912568
610201,17,29301,789,0.38276299112801015,0.6185044359949303
610078,57,29191,670,0.45223880597014926,0.8776119402985074
610568,22,65016,328,0.7408536585365854,0.8871951219512195
400112,61,66399,530,0.8301886792452831,0.9905660377358491
610047,39,24301,190,0.7736842105263158,0.9947368421052631
610405,29,26881,450,0.4111111111111111,0.7066666666666667
400029,7,66181,504,0.7976190476190477,0.9702380952380952
610116,39,31201,246,0.8292682926829268,1.0
610033,68,29161,483,0.33747412008281574,0.5424430641821946
400083,32,66131,172,0.872093023255814,0.9825581395348837
610366,72,26621,223,0.6771300448430493,1.0
609705,45,46111,237,0.7848101265822784,1.0
610185,69,25471,1125,0.7431111111111111,0.9564444444444444
400077,9,66112,567,0.7601410934744268,0.9982363315696648
610138,23,31211,820,0.4024390243902439,0.5646341463414634
609967,33,23541,212,0.8726415094339622,0.9481132075471698
609829,55,22481,324,0.8611111111111112,0.9506172839506173
609985,27,23711,239,0.7907949790794979,0.99581589958159
400128,30,66612,90,0.7888888888888889,0.9777777777777777
609723,28,47041,194,0.8402061855670103,0.9845360824742269
610389,24,28151,236,0.8135593220338984,0.961864406779661
610000,26,23851,377,0.7771883289124668,0.9840848806366048
610087,62,30071,237,0.3881856540084388,0.8227848101265823
610067,64,24451,633,0.7867298578199052,0.9715639810426541
609739,49,46331,1490,0.8369127516778524,0.951006711409396
400164,33,66921,81,0.7777777777777778,0.9753086419753086
609806,39,22291,433,0.7759815242494227,0.9930715935334873
609880,20,29031,322,0.11490683229813664,0.18322981366459629
610026,53,24071,665,0.4917293233082707,0.825563909774436
609817,6,22391,681,0.5374449339207048,0.44933920704845814
610002,44,23871,235,0.6893617021276596,0.9829787234042553
610124,43,24921,246,0.7520325203252033,0.9878048780487805
400116,65,66591,330,0.8090909090909091,0.9848484848484849
610300,40,26381,424,0.8325471698113207,0.9976415094339622
400023,41,66371,461,0.7830802603036876,1.0
609844,7,22611,291,0.8109965635738832,0.9759450171821306
400060,76,66191,304,0.7598684210526315,0.6052631578947368
610590,4,26181,395,0.18734177215189873,0.789873417721519
610103,39,24751,497,0.8229376257545271,0.9879275653923542
610513,35,45231,137,0.8248175182481752,0.9343065693430657
609875,23,22881,499,0.7074148296593187,0.8817635270541082
609793,66,22181,451,0.7960088691796009,0.9933481152993349
610381,4,55191,71,0.9154929577464789,0.971830985915493
610153,70,25191,350,0.7885714285714286,0.9942857142857143
610039,22,24201,623,0.5248796147672552,0.7688603531300161
610180,29,25411,396,0.696969696969697,0.9873737373737373
609978,47,23641,322,0.7204968944099379,0.9875776397515528
610006,63,23911,721,0.7753120665742025,0.984743411927878
610235,26,25921,470,0.7957446808510639,0.9851063829787234
400149,61,66137,562,0.9537366548042705,0.9928825622775801
610396,64,26791,863,0.8238702201622248,0.9826187717265353
609950,32,23411,393,0.7022900763358778,0.9949109414758269
610364,51,26601,202,0.7574257425742574,0.995049504950495
609760,51,46381,406,0.874384236453202,0.9852216748768473
609798,16,22221,547,0.4625228519195612,0.41316270566727603
610524,46,70241,353,0.6940509915014165,0.8130311614730878
610216,33,25731,240,0.725,0.8958333333333334
400104,33,63131,622,0.842443729903537,0.9871382636655949
609836,17,22541,827,0.4183796856106409,0.5405078597339782
609852,6,22681,541,0.3345656192236599,0.46395563770794823
610534,37,22591,491,0.0814663951120163,0.12830957230142567
609725,74,46251,1075,0.7488372093023256,0.9897674418604652
609780,23,41111,686,0.9300291545189504,0.9693877551020408
400157,42,66577,266,0.7744360902255639,0.9774436090225563
609960,62,23491,799,0.6120150187734669,0.8335419274092616
610135,15,25011,831,0.6064981949458483,0.6570397111913358
610217,35,25751,516,0.6763565891472868,0.16472868217054262
400084,61,66391,268,0.8022388059701493,0.9925373134328358
609676,1,53021,447,0.9351230425055929,0.9910514541387024
610057,64,26701,485,0.8701030927835052,0.9979381443298969
610558,69,46611,961,0.8616024973985432,0.9947970863683663
609895,45,29041,200,0.755,1.0
609810,17,22321,1090,0.5311926605504587,0.5844036697247706
610394,31,26861,97,0.711340206185567,0.8041237113402062
610052,42,24331,330,0.7575757575757576,0.9878787878787879
609930,23,23291,410,0.8634146341463415,0.9780487804878049
610587,7,46681,523,0.722753346080306,0.9904397705544933
610291,63,26331,621,0.8373590982286635,0.9903381642512077
609918,10,23211,155,0.8193548387096774,0.896774193548387
609812,29,22351,217,0.7004608294930875,0.9769585253456221
400017,14,66351,103,0.8543689320388349,0.941747572815534
609870,32,22851,431,0.8375870069605569,0.974477958236659
609727,1,46261,441,0.7709750566893424,0.9206349206349206
610197,25,25581,446,0.625560538116592,0.8811659192825112
610108,65,24801,324,0.8209876543209876,0.9814814814814815
610100,24,24721,458,0.87117903930131,0.9650655021834061
609837,9,22551,437,0.7391304347826086,0.9816933638443935
400121,20,66134,518,0.7625482625482626,0.9517374517374517
610596,29,26931,261,0.6436781609195402,0.8582375478927203
609733,10,46301,664,0.7725903614457831,0.7289156626506024
400055,25,66143,651,0.7357910906298003,0.9615975422427036
610146,67,25121,205,0.7804878048780488,1.0
610175,5,25371,323,0.6346749226006192,0.9535603715170279
610094,57,24661,624,0.15705128205128205,0.23076923076923078
610354,14,26841,250,0.6,0.864
610228,33,25861,167,0.7664670658682635,0.9700598802395209
610256,2,26061,118,0.652542372881356,0.9661016949152542
610021,24,24011,351,0.7863247863247863,0.9743589743589743
609855,61,30031,323,0.8823529411764706,0.9721362229102167
610589,60,23521,397,0.4256926952141058,0.9370277078085643
609794,14,29011,262,0.09923664122137404,0.1450381679389313
610172,59,25341,221,0.7737556561085973,0.995475113122172
400163,66,66931,842,0.8408551068883611,0.9667458432304038
610090,8,29221,445,0.5797752808988764,0.9191011235955057
610515,16,26921,430,0.29767441860465116,0.4883720930232558
610209,14,25681,702,0.6937321937321937,0.6994301994301995
609975,26,31111,265,0.8641509433962264,0.9849056603773585
400176,64,63144,101,0.7821782178217822,0.9702970297029703
609991,30,23771,437,0.7940503432494279,0.9931350114416476
610271,28,29341,265,0.8603773584905661,0.9962264150943396
610130,40,24971,202,0.7128712871287128,0.9801980198019802
609773,57,22031,297,0.31313131313131315,0.4781144781144781
609835,24,22531,577,0.8336221837088388,0.9861351819757366
400076,5,66111,319,0.6018808777429467,0.9623824451410659
610221,27,25791,207,0.6956521739130435,0.9903381642512077
610279,67,26281,310,0.7774193548387097,0.9967741935483871
610334,28,46471,177,0.9152542372881356,0.9887005649717514
400079,54,66395,553,0.810126582278481,0.972875226039783
400097,29,66572,1157,0.8807260155574762,0.9844425237683665
610565,66,63142,220,0.7909090909090909,0.9863636363636363
609909,56,23141,113,0.6460176991150443,0.8407079646017699
400034,13,66241,891,0.77665544332211,0.6790123456790124
609894,1,23011,257,0.8599221789883269,0.9922178988326849
609712,67,47031,104,0.625,0.9903846153846154
610081,58,29201,529,0.4763705103969754,0.33648393194706994
400137,5,63161,83,0.8072289156626506,0.9879518072289156
400143,24,66627,70,0.8285714285714286,0.9714285714285714
609955,70,23451,332,0.8373493975903614,0.9969879518072289
610073,25,24511,382,0.3036649214659686,0.45549738219895286
609865,10,22811,500,0.726,0.774
609929,59,23281,301,0.8338870431893688,0.9833887043189369
400105,1,0,218,0.7844036697247706,0.9954128440366973
609782,46,22091,573,0.08900523560209424,0.18848167539267016
609745,65,49031,350,0.8457142857142858,0.9628571428571429
609751,5,46371,586,0.8054607508532423,0.9709897610921502
609961,42,31101,310,0.7129032258064516,1.0
610111,14,24821,742,0.5862533692722371,0.4474393530997305
400032,70,66072,205,0.8634146341463415,0.9951219512195122
610347,64,31301,357,0.8011204481792717,0.9859943977591037
610011,20,23931,794,0.593198992443325,0.3916876574307305
610194,27,31221,200,0.815,1.0
610136,68,25021,395,0.28607594936708863,0.41012658227848103
400180,24,66032,990,0.8121212121212121,0.9919191919191919
609971,67,23581,345,0.782608695652174,0.9971014492753624
610143,5,25091,289,0.7162629757785467,0.9896193771626297
610319,56,26461,198,0.8484848484848485,0.9242424242424242
609995,36,23811,496,0.4737903225806452,0.5161290322580645
610570,64,65014,262,0.8206106870229007,0.9809160305343512
610250,37,30101,278,0.7158273381294964,0.960431654676259
400056,24,66144,375,0.88,0.992
609968,21,23551,575,0.7652173913043478,0.9652173913043478
610503,30,29411,128,0.765625,1.0
609718,53,46201,1621,0.6711906230721777,0.850709438618137
610383,32,55171,287,0.8989547038327527,0.9930313588850174
400028,50,66161,402,0.8059701492537313,0.9925373134328358
609741,63,46341,1711,0.8854471069549971,0.9848042080654588
610038,68,24191,803,0.10211706102117062,0.19427148194271482
609938,32,23311,768,0.8854166666666666,0.9895833333333334
610117,60,24851,585,0.6615384615384615,0.9709401709401709
610313,25,31261,423,0.7966903073286052,0.933806146572104
610367,26,26631,471,0.7898089171974523,0.9851380042462845
609759,25,51091,595,0.826890756302521,0.9512605042016806
610499,30,49131,214,0.9532710280373832,0.9953271028037384
609704,32,53091,453,0.9315673289183223,0.9801324503311258
610184,32,25451,299,0.8561872909698997,0.9866220735785953
400066,1,66056,407,0.8255528255528255,0.972972972972973
609851,30,22671,205,0.848780487804878,0.9853658536585366
610137,15,25031,619,0.6268174474959612,0.47495961227786754
609818,19,22401,706,0.7960339943342776,0.9674220963172805
610539,19,22691,790,0.7278481012658228,0.9253164556962026
610123,30,24911,220,0.7636363636363637,0.990909090909091
610003,70,23881,228,0.6929824561403509,1.0
