,School_ID,Wards,crime_capita,crime_class,Year,Attendance,Network
556,610386,4,0.0893818181818181,Medium,2013,87.26666666666667,ISP
557,400106,4,0.0893818181818181,Medium,2013,91.66666666666669,Charter
559,609682,4,0.0838545454545454,Medium,2014,84.025,Network 16
565,400086,4,0.0838545454545454,Medium,2014,94.2,Charter
569,400077,4,0.0838545454545454,Medium,2014,95.8,Charter
574,400129,4,0.0838545454545454,Medium,2014,74.56666666666666,Options
577,610386,4,0.0838545454545454,Medium,2014,87.26666666666667,ISP
578,400106,4,0.0838545454545454,Medium,2014,93.625,Charter
580,609682,4,0.0838181818181818,Medium,2015,84.425,Network 16
586,400086,4,0.0838181818181818,Medium,2015,94.5,Charter
590,400077,4,0.0838181818181818,Medium,2015,95.55,Charter
595,400129,4,0.0838181818181818,Medium,2015,75.53333333333333,Options
598,610386,4,0.0838181818181818,Medium,2015,86.2,ISP
599,400106,4,0.0838181818181818,Medium,2015,92.475,Charter
601,609682,4,0.0918,Medium,2016,77.6,Network 16
607,400086,4,0.0918,Medium,2016,92.25,Charter
611,400077,4,0.0918,Medium,2016,92.925,Charter
616,400129,4,0.0918,Medium,2016,62.4,Options
619,610386,4,0.0918,Medium,2016,86.56666666666666,ISP
620,400106,4,0.0918,Medium,2016,91.225,Charter
622,609682,4,0.094290909090909,Medium,2017,76.675,Network 16
628,400086,4,0.094290909090909,Medium,2017,91.375,Charter
631,400029,4,0.094290909090909,Medium,2017,76.9,Charter
632,400077,4,0.094290909090909,Medium,2017,92.85,Charter
637,400129,4,0.094290909090909,Medium,2017,54.925,Options
640,610386,4,0.094290909090909,Medium,2017,82.25,ISP
641,400106,4,0.094290909090909,Medium,2017,88.15,Charter
643,609682,4,0.1014,Medium,2018,77.6,Network 16
649,400086,4,0.1014,Medium,2018,90.425,Charter
653,400077,4,0.1014,Medium,2018,93.375,Charter
658,400129,4,0.1014,Medium,2018,59.0,Options
661,610386,4,0.1014,Medium,2018,84.925,ISP
662,400106,4,0.1014,Medium,2018,86.675,Charter
664,609682,4,0.1268181818181818,Medium,2019,78.575,Network 16
670,400086,4,0.1268181818181818,Medium,2019,93.625,Charter
674,400077,4,0.1268181818181818,Medium,2019,92.55,Charter
679,400129,4,0.1268181818181818,Medium,2019,60.53333333333333,Options
682,610386,4,0.1268181818181818,Medium,2019,85.39999999999999,ISP
683,400106,4,0.1268181818181818,Medium,2019,88.35,Charter
706,609682,4,0.103290909090909,Medium,2021,66.925,Network 16
712,400086,4,0.103290909090909,Medium,2021,79.95,Charter
716,400077,4,0.103290909090909,Medium,2021,85.625,Charter
721,400129,4,0.103290909090909,Medium,2021,72.46666666666667,Options
724,610386,4,0.103290909090909,Medium,2021,74.03333333333335,ISP
725,400106,4,0.103290909090909,Medium,2021,63.15,Charter
727,609682,4,0.1417090909090909,High,2022,74.7,Network 16
733,400086,4,0.1417090909090909,High,2022,89.9,Charter
737,400077,4,0.1417090909090909,High,2022,82.975,Charter
742,400129,4,0.1417090909090909,High,2022,63.5,Options
745,610386,4,0.1417090909090909,High,2022,78.10000000000001,ISP
746,400106,4,0.1417090909090909,High,2022,76.5,Charter
760,609733,5,0.1404545454545454,High,2013,80.6,Network 14
762,400035,5,0.1404545454545454,High,2013,94.375,Charter
767,400121,5,0.1182,Medium,2014,93.0,Charter
768,609733,5,0.1182,Medium,2014,85.225,Network 14
770,400035,5,0.1182,Medium,2014,95.95,Charter
775,400121,5,0.1151272727272727,Medium,2015,94.7,Charter
776,609733,5,0.1151272727272727,Medium,2015,89.375,Network 14
778,400035,5,0.1151272727272727,Medium,2015,96.425,Charter
783,400121,5,0.1092,Medium,2016,94.36666666666667,Charter
784,609733,5,0.1092,Medium,2016,86.775,Network 14
786,400035,5,0.1092,Medium,2016,95.95,Charter
791,400121,5,0.1131090909090909,Medium,2017,93.625,Charter
792,609733,5,0.1131090909090909,Medium,2017,86.17500000000001,Network 14
794,400035,5,0.1131090909090909,Medium,2017,94.9,Charter
799,400121,5,0.1152727272727272,Medium,2018,93.825,Charter
800,609733,5,0.1152727272727272,Medium,2018,83.95,Network 14
802,400035,5,0.1152727272727272,Medium,2018,95.575,Charter
807,400121,5,0.1077272727272727,Medium,2019,92.0,Charter
808,609733,5,0.1077272727272727,Medium,2019,85.35,Network 14
810,400035,5,0.1077272727272727,Medium,2019,94.8,Charter
823,400121,5,0.0963818181818181,Medium,2021,85.9,Charter
824,609733,5,0.0963818181818181,Medium,2021,74.6,Network 14
826,400035,5,0.0963818181818181,Medium,2021,96.75,Charter
831,400121,5,0.1116,Medium,2022,82.375,Charter
832,609733,5,0.1116,Medium,2022,77.8,Network 14
834,400035,5,0.1116,Medium,2022,92.175,Charter
850,609741,6,0.1907636363636363,High,2013,90.95,Network 16
859,609741,6,0.1602181818181818,High,2014,91.675,Network 16
868,609741,6,0.1626181818181818,High,2015,91.875,Network 16
877,609741,6,0.1582909090909091,High,2016,91.5,Network 16
886,609741,6,0.1563454545454545,High,2017,89.825,Network 16
888,400179,6,0.1563454545454545,High,2017,91.7,Charter
895,609741,6,0.1614909090909091,High,2018,90.175,Network 16
897,400179,6,0.1614909090909091,High,2018,95.25,Charter
904,609741,6,0.1776727272727272,High,2019,90.05,Network 16
906,400179,6,0.1776727272727272,High,2019,94.9,Charter
922,609741,6,0.1460909090909091,High,2021,87.95,Network 16
924,400179,6,0.1460909090909091,High,2021,81.475,Charter
931,609741,6,0.1551090909090909,High,2022,80.45,Network 16
933,400179,6,0.1551090909090909,High,2022,86.425,Charter
954,610245,7,0.1497454545454545,High,2013,79.05,Network 15
958,610244,7,0.1497454545454545,High,2013,89.85,ISP
968,610245,7,0.1420727272727272,High,2014,76.1,Network 15
972,610244,7,0.1420727272727272,High,2014,91.125,ISP
982,610245,7,0.1380363636363636,High,2015,78.82499999999999,Network 15
986,610244,7,0.1380363636363636,High,2015,90.7,ISP
996,610245,7,0.1254181818181818,Medium,2016,79.0,Network 15
1000,610244,7,0.1254181818181818,Medium,2016,92.3,ISP
1010,610245,7,0.1250545454545454,Medium,2017,79.85,Network 15
1014,610244,7,0.1250545454545454,Medium,2017,92.825,ISP
1024,610245,7,0.1265272727272727,Medium,2018,80.7,Network 15
1028,610244,7,0.1265272727272727,Medium,2018,91.325,ISP
1038,610245,7,0.1372545454545454,High,2019,82.375,Network 15
1042,610244,7,0.1372545454545454,High,2019,89.775,ISP
1066,610245,7,0.1158545454545454,Medium,2021,55.575,Network 15
1070,610244,7,0.1158545454545454,Medium,2021,71.25,ISP
1080,610245,7,0.1369454545454545,High,2022,77.89999999999999,Network 15
1084,610244,7,0.1369454545454545,High,2022,70.925,ISP
1112,400085,8,0.1574363636363636,High,2013,97.075,Charter
1113,609756,8,0.1574363636363636,High,2013,87.925,Network 15
1118,610543,8,0.1574363636363636,High,2013,91.7,AUSL
1132,400085,8,0.1451272727272727,High,2014,95.025,Charter
1133,609756,8,0.1451272727272727,High,2014,89.8,Network 15
1138,610543,8,0.1451272727272727,High,2014,93.175,AUSL
1142,400149,8,0.1451272727272727,High,2014,95.6,Charter
1152,400085,8,0.1312,High,2015,93.4,Charter
1153,609756,8,0.1312,High,2015,87.525,Network 15
1154,400173,8,0.1312,High,2015,87.475,Options
1158,610543,8,0.1312,High,2015,93.725,AUSL
1162,400149,8,0.1312,High,2015,95.7,Charter
1172,400085,8,0.1306727272727272,High,2016,93.4,Charter
1173,609756,8,0.1306727272727272,High,2016,87.95,Network 15
1174,400173,8,0.1306727272727272,High,2016,45.35,Options
1178,610543,8,0.1306727272727272,High,2016,94.45,AUSL
1182,400149,8,0.1306727272727272,High,2016,94.23333333333332,Charter
1192,400085,8,0.1282545454545454,High,2017,94.6,Charter
1193,609756,8,0.1282545454545454,High,2017,87.825,Network 15
1194,400173,8,0.1282545454545454,High,2017,43.575,Options
1198,610543,8,0.1282545454545454,High,2017,94.1,AUSL
1202,400149,8,0.1282545454545454,High,2017,90.05,Charter
1212,400085,8,0.1299454545454545,High,2018,93.25,Charter
1213,609756,8,0.1299454545454545,High,2018,88.275,Network 15
1214,400173,8,0.1299454545454545,High,2018,68.75,Options
1218,610543,8,0.1299454545454545,High,2018,93.975,AUSL
1222,400149,8,0.1299454545454545,High,2018,87.525,Charter
1232,400085,8,0.1483636363636363,High,2019,90.55,Charter
1233,609756,8,0.1483636363636363,High,2019,86.825,Network 15
1234,400173,8,0.1483636363636363,High,2019,75.8,Options
1238,610543,8,0.1483636363636363,High,2019,94.1,AUSL
1242,400149,8,0.1483636363636363,High,2019,87.975,Charter
1272,400085,8,0.1284727272727272,High,2021,81.85,Charter
1273,609756,8,0.1284727272727272,High,2021,82.875,Network 15
1274,400173,8,0.1284727272727272,High,2021,73.47500000000001,Options
1278,610543,8,0.1284727272727272,High,2021,83.625,AUSL
1282,400149,8,0.1284727272727272,High,2021,86.025,Charter
1292,400085,8,0.1341272727272727,High,2022,81.0,Charter
1293,609756,8,0.1341272727272727,High,2022,78.425,Network 15
1294,400173,8,0.1341272727272727,High,2022,57.275,Options
1298,610543,8,0.1341272727272727,High,2022,87.575,AUSL
1302,400149,8,0.1341272727272727,High,2022,82.375,Charter
1333,400064,9,0.142490909090909,High,2013,98.4,Charter
1334,610380,9,0.142490909090909,High,2013,89.325,Network 17
1335,609769,9,0.142490909090909,High,2013,88.975,Network 14
1338,610381,9,0.142490909090909,High,2013,88.05,Network 17
1339,609727,9,0.142490909090909,High,2013,78.175,AUSL
1341,400066,9,0.142490909090909,High,2013,97.35,Charter
1344,400124,9,0.142490909090909,High,2013,75.86666666666666,Options
1345,609754,9,0.142490909090909,High,2013,89.75,Network 17
1346,400145,9,0.142490909090909,High,2013,72.66666666666667,Options
1353,400064,9,0.1312363636363636,High,2014,96.825,Charter
1354,610380,9,0.1312363636363636,High,2014,88.525,Network 17
1355,609769,9,0.1312363636363636,High,2014,88.65,Network 14
1358,610381,9,0.1312363636363636,High,2014,86.32499999999999,Network 17
1359,609727,9,0.1312363636363636,High,2014,83.0,AUSL
1361,400066,9,0.1312363636363636,High,2014,92.925,Charter
1364,400124,9,0.1312363636363636,High,2014,79.06666666666666,Options
1365,609754,9,0.1312363636363636,High,2014,89.525,Network 17
1366,400145,9,0.1312363636363636,High,2014,59.875,Options
1373,400064,9,0.1198727272727272,Medium,2015,95.55,Charter
1374,610380,9,0.1198727272727272,Medium,2015,90.0,Network 17
1375,609769,9,0.1198727272727272,Medium,2015,87.525,Network 14
1378,610381,9,0.1198727272727272,Medium,2015,87.75,Network 17
1379,609727,9,0.1198727272727272,Medium,2015,75.775,AUSL
1381,400066,9,0.1198727272727272,Medium,2015,92.225,Charter
1384,400124,9,0.1198727272727272,Medium,2015,79.26666666666667,Options
1385,609754,9,0.1198727272727272,Medium,2015,89.15,Network 17
1386,400145,9,0.1198727272727272,Medium,2015,66.3,Options
1393,400064,9,0.1252545454545454,Medium,2016,94.325,Charter
1394,610380,9,0.1252545454545454,Medium,2016,88.475,Network 17
1395,609769,9,0.1252545454545454,Medium,2016,89.23333333333333,Network 14
1398,610381,9,0.1252545454545454,Medium,2016,87.4,Network 17
1399,609727,9,0.1252545454545454,Medium,2016,81.2,AUSL
1401,400066,9,0.1252545454545454,Medium,2016,92.2,Charter
1404,400124,9,0.1252545454545454,Medium,2016,73.0,Options
1405,609754,9,0.1252545454545454,Medium,2016,93.125,Network 17
1406,400145,9,0.1252545454545454,Medium,2016,64.0,Options
1413,400064,9,0.1275090909090909,Medium,2017,92.425,Charter
1414,610380,9,0.1275090909090909,Medium,2017,86.9,Network 17
1415,609769,9,0.1275090909090909,Medium,2017,81.0,Network 14
1418,610381,9,0.1275090909090909,Medium,2017,88.9,Network 17
1419,609727,9,0.1275090909090909,Medium,2017,80.25,AUSL
1421,400066,9,0.1275090909090909,Medium,2017,89.25,Charter
1424,400124,9,0.1275090909090909,Medium,2017,61.025000000000006,Options
1425,609754,9,0.1275090909090909,Medium,2017,91.65,Network 17
1426,400145,9,0.1275090909090909,Medium,2017,62.875,Options
1433,400064,9,0.1339636363636363,High,2018,92.75,Charter
1434,610380,9,0.1339636363636363,High,2018,86.425,Network 17
1435,609769,9,0.1339636363636363,High,2018,76.35,Network 14
1438,610381,9,0.1339636363636363,High,2018,82.6,Network 17
1439,609727,9,0.1339636363636363,High,2018,83.225,AUSL
1441,400066,9,0.1339636363636363,High,2018,89.9,Charter
1444,400124,9,0.1339636363636363,High,2018,59.35,Options
1445,609754,9,0.1339636363636363,High,2018,92.05,Network 17
1446,400145,9,0.1339636363636363,High,2018,62.45,Options
1453,400064,9,0.1434,High,2019,93.65,Charter
1454,610380,9,0.1434,High,2019,84.35,Network 17
1455,609769,9,0.1434,High,2019,87.3,Network 14
1458,610381,9,0.1434,High,2019,84.65,Network 17
1459,609727,9,0.1434,High,2019,81.4,AUSL
1461,400066,9,0.1434,High,2019,89.2,Charter
1464,400124,9,0.1434,High,2019,65.26666666666667,Options
1465,609754,9,0.1434,High,2019,89.675,Network 17
1466,400145,9,0.1434,High,2019,56.9,Options
1493,400064,9,0.1165818181818181,Medium,2021,78.325,Charter
1494,610380,9,0.1165818181818181,Medium,2021,79.925,Network 17
1495,609769,9,0.1165818181818181,Medium,2021,82.5,Network 14
1498,610381,9,0.1165818181818181,Medium,2021,84.075,Network 17
1499,609727,9,0.1165818181818181,Medium,2021,58.575,AUSL
1501,400066,9,0.1165818181818181,Medium,2021,70.5,Charter
1504,400124,9,0.1165818181818181,Medium,2021,71.3,Options
1505,609754,9,0.1165818181818181,Medium,2021,84.0,Network 17
1506,400145,9,0.1165818181818181,Medium,2021,35.06666666666667,Options
1513,400064,9,0.1226,Medium,2022,80.07499999999999,Charter
1514,610380,9,0.1226,Medium,2022,82.125,Network 17
1515,609769,9,0.1226,Medium,2022,81.0,Network 14
1518,610381,9,0.1226,Medium,2022,84.925,Network 17
1519,609727,9,0.1226,Medium,2022,61.075,AUSL
1521,400066,9,0.1226,Medium,2022,76.7,Charter
1524,400124,9,0.1226,Medium,2022,68.5,Options
1525,609754,9,0.1226,Medium,2022,81.0,Network 17
1526,400145,9,0.1226,Medium,2022,58.96666666666667,Options
1549,609676,10,0.0995636363636363,Medium,2013,82.125,Network 17
1555,400137,10,0.0995636363636363,Medium,2013,78.0,Options
1556,400105,10,0.0995636363636363,Medium,2013,96.33333333333331,Charter
1557,609751,10,0.0995636363636363,Medium,2013,89.15,Network 17
1559,609678,10,0.0995636363636363,Medium,2013,93.625,ISP
1561,609746,10,0.0995636363636363,Medium,2013,88.05,Network 17
1566,609676,10,0.0918181818181818,Medium,2014,89.25,Network 17
1572,400137,10,0.0918181818181818,Medium,2014,69.225,Options
1573,400105,10,0.0918181818181818,Medium,2014,92.925,Charter
1574,609751,10,0.0918181818181818,Medium,2014,92.05,Network 17
1576,609678,10,0.0918181818181818,Medium,2014,93.325,ISP
1578,609746,10,0.0918181818181818,Medium,2014,90.625,Network 17
1583,609676,10,0.0849818181818181,Medium,2015,80.8,Network 17
1589,400137,10,0.0849818181818181,Medium,2015,81.5,Options
1590,400105,10,0.0849818181818181,Medium,2015,90.475,Charter
1591,609751,10,0.0849818181818181,Medium,2015,93.025,Network 17
1593,609678,10,0.0849818181818181,Medium,2015,92.875,ISP
1595,609746,10,0.0849818181818181,Medium,2015,90.8,Network 17
1600,609676,10,0.0825454545454545,Medium,2016,85.375,Network 17
1606,400137,10,0.0825454545454545,Medium,2016,67.025,Options
1607,400105,10,0.0825454545454545,Medium,2016,91.175,Charter
1608,609751,10,0.0825454545454545,Medium,2016,92.95,Network 17
1610,609678,10,0.0825454545454545,Medium,2016,92.725,ISP
1612,609746,10,0.0825454545454545,Medium,2016,92.425,Network 17
1617,609676,10,0.0803636363636363,Medium,2017,84.5,Network 17
1618,610587,10,0.0803636363636363,Medium,2017,92.5,Network 17
1623,400137,10,0.0803636363636363,Medium,2017,77.0,Options
1624,400105,10,0.0803636363636363,Medium,2017,91.875,Charter
1625,609751,10,0.0803636363636363,Medium,2017,91.3,Network 17
1627,609678,10,0.0803636363636363,Medium,2017,92.4,ISP
1629,609746,10,0.0803636363636363,Medium,2017,92.175,Network 17
1634,609676,10,0.0747636363636363,Medium,2018,85.125,Network 17
1635,610587,10,0.0747636363636363,Medium,2018,92.0,Network 17
1640,400137,10,0.0747636363636363,Medium,2018,80.3,Options
1641,400105,10,0.0747636363636363,Medium,2018,92.075,Charter
1642,609751,10,0.0747636363636363,Medium,2018,90.0,Network 17
1644,609678,10,0.0747636363636363,Medium,2018,93.15,ISP
1646,609746,10,0.0747636363636363,Medium,2018,92.775,Network 17
1651,609676,10,0.0679454545454545,Medium,2019,85.025,Network 17
1652,610587,10,0.0679454545454545,Medium,2019,92.06666666666668,Network 17
1657,400137,10,0.0679454545454545,Medium,2019,77.275,Options
1658,400105,10,0.0679454545454545,Medium,2019,93.4,Charter
1659,609751,10,0.0679454545454545,Medium,2019,87.975,Network 17
1661,609678,10,0.0679454545454545,Medium,2019,91.25,ISP
1663,609746,10,0.0679454545454545,Medium,2019,91.95,Network 17
1685,609676,10,0.0656727272727272,Medium,2021,65.75,Network 17
1686,610587,10,0.0656727272727272,Medium,2021,79.05,Network 17
1691,400137,10,0.0656727272727272,Medium,2021,91.4,Options
1692,400105,10,0.0656727272727272,Medium,2021,90.625,Charter
1693,609751,10,0.0656727272727272,Medium,2021,92.225,Network 17
1695,609678,10,0.0656727272727272,Medium,2021,91.45,ISP
1697,609746,10,0.0656727272727272,Medium,2021,88.5,Network 17
1702,609676,10,0.0725090909090909,Medium,2022,71.775,Network 17
1703,610587,10,0.0725090909090909,Medium,2022,83.75,Network 17
1708,400137,10,0.0725090909090909,Medium,2022,74.4,Options
1709,400105,10,0.0725090909090909,Medium,2022,91.85,Charter
1710,609751,10,0.0725090909090909,Medium,2022,88.65,Network 17
1712,609678,10,0.0725090909090909,Medium,2022,88.825,ISP
1714,609746,10,0.0725090909090909,Medium,2022,89.625,Network 17
1724,400051,11,0.0755090909090909,Medium,2013,95.4,Charter
1729,400051,11,0.0673090909090909,Medium,2014,95.375,Charter
1734,400051,11,0.0627272727272727,Medium,2015,94.6,Charter
1739,400051,11,0.0635272727272727,Medium,2016,94.45,Charter
1744,400051,11,0.061090909090909,Medium,2017,94.125,Charter
1749,400051,11,0.0592181818181818,Medium,2018,94.175,Charter
1754,400051,11,0.0565090909090909,Medium,2019,94.725,Charter
1764,400051,11,0.0474181818181818,Low,2021,67.425,Charter
1769,400051,11,0.0578727272727272,Medium,2022,86.775,Charter
1786,400054,12,0.0651090909090909,Medium,2013,94.975,Charter
1795,400054,12,0.0665636363636363,Medium,2014,95.65,Charter
1804,400054,12,0.0604727272727272,Medium,2015,95.725,Charter
1813,400054,12,0.0621818181818181,Medium,2016,95.15,Charter
1822,400054,12,0.0580727272727272,Medium,2017,94.85,Charter
1831,400054,12,0.0571272727272727,Medium,2018,94.575,Charter
1840,400054,12,0.0586,Medium,2019,94.725,Charter
1858,400054,12,0.0465818181818181,Low,2021,85.075,Charter
1867,400054,12,0.0536545454545454,Low,2022,88.5,Charter
1893,609692,13,0.0695272727272727,Medium,2013,83.45,Network 17
1895,400117,13,0.0695272727272727,Medium,2013,92.1,Charter
1896,400062,13,0.0695272727272727,Medium,2013,99.0,Charter
1897,400033,13,0.0695272727272727,Medium,2013,85.8,Charter
1902,400061,13,0.0695272727272727,Medium,2013,97.075,Charter
1911,609692,13,0.0636,Medium,2014,86.975,Network 17
1913,400117,13,0.0636,Medium,2014,91.55,Charter
1914,400062,13,0.0636,Medium,2014,93.45,Charter
1915,400033,13,0.0636,Medium,2014,90.35,Charter
1920,400061,13,0.0636,Medium,2014,93.95,Charter
1929,609692,13,0.0616363636363636,Medium,2015,89.975,Network 17
1931,400117,13,0.0616363636363636,Medium,2015,92.23333333333332,Charter
1932,400062,13,0.0616363636363636,Medium,2015,94.45,Charter
1933,400033,13,0.0616363636363636,Medium,2015,91.275,Charter
1938,400061,13,0.0616363636363636,Medium,2015,94.35,Charter
1947,609692,13,0.0658545454545454,Medium,2016,90.625,Network 17
1949,400117,13,0.0658545454545454,Medium,2016,91.85,Charter
1950,400062,13,0.0658545454545454,Medium,2016,92.125,Charter
1951,400033,13,0.0658545454545454,Medium,2016,90.25,Charter
1956,400061,13,0.0658545454545454,Medium,2016,91.9,Charter
1965,609692,13,0.0584727272727272,Medium,2017,89.35,Network 17
1967,400117,13,0.0584727272727272,Medium,2017,90.35,Charter
1968,400062,13,0.0584727272727272,Medium,2017,91.45,Charter
1969,400033,13,0.0584727272727272,Medium,2017,87.95,Charter
1974,400061,13,0.0584727272727272,Medium,2017,90.475,Charter
1983,609692,13,0.0536363636363636,Low,2018,88.75,Network 17
1985,400117,13,0.0536363636363636,Low,2018,91.275,Charter
1986,400062,13,0.0536363636363636,Low,2018,90.775,Charter
1987,400033,13,0.0536363636363636,Low,2018,88.975,Charter
1992,400061,13,0.0536363636363636,Low,2018,90.8,Charter
2001,609692,13,0.0412545454545454,Low,2019,85.575,Network 17
2003,400117,13,0.0412545454545454,Low,2019,92.8,Charter
2004,400062,13,0.0412545454545454,Low,2019,91.475,Charter
2005,400033,13,0.0412545454545454,Low,2019,87.7,Charter
2010,400061,13,0.0412545454545454,Low,2019,92.175,Charter
2037,609692,13,0.0350545454545454,Low,2021,82.825,Network 17
2039,400117,13,0.0350545454545454,Low,2021,74.225,Charter
2040,400062,13,0.0350545454545454,Low,2021,79.35,Charter
2041,400033,13,0.0350545454545454,Low,2021,81.2,Charter
2046,400061,13,0.0350545454545454,Low,2021,82.05,Charter
2055,609692,13,0.0418363636363636,Low,2022,76.975,Network 17
2057,400117,13,0.0418363636363636,Low,2022,83.575,Charter
2058,400062,13,0.0418363636363636,Low,2022,79.825,Charter
2059,400033,13,0.0418363636363636,Low,2022,77.6,Charter
2064,400061,13,0.0418363636363636,Low,2022,80.94999999999999,Charter
2094,400058,14,0.0769090909090909,Medium,2013,97.4,Charter
2096,400118,14,0.0769090909090909,Medium,2013,91.3,Charter
2097,609748,14,0.0769090909090909,Medium,2013,96.35,Network 16
2100,400059,14,0.0769090909090909,Medium,2013,93.75,Charter
2106,400128,14,0.0769090909090909,Medium,2013,82.60000000000001,Options
2111,610499,14,0.0769090909090909,Medium,2013,78.575,AUSL
2117,400058,14,0.0711272727272727,Medium,2014,92.65,Charter
2119,400118,14,0.0711272727272727,Medium,2014,90.85,Charter
2120,609748,14,0.0711272727272727,Medium,2014,94.225,Network 16
2123,400059,14,0.0711272727272727,Medium,2014,90.975,Charter
2129,400128,14,0.0711272727272727,Medium,2014,69.4,Options
2134,610499,14,0.0711272727272727,Medium,2014,79.025,AUSL
2140,400058,14,0.0688,Medium,2015,97.0,Charter
2142,400118,14,0.0688,Medium,2015,91.2,Charter
2143,609748,14,0.0688,Medium,2015,86.625,Network 16
2146,400059,14,0.0688,Medium,2015,91.075,Charter
2152,400128,14,0.0688,Medium,2015,62.5,Options
