,pre_cov_att,post_cov_att,perc_low_income,perc_black_his_stu,bus_count,dolla_per_student,med_age,covid_idx,perc_chg_pop,perc_black_hispanic,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
pre_cov_att,1.0,0.7505012736837762,-0.34783480285971546,-0.4816490579420803,-0.3301191695887498,-0.10278308970727587,0.0023937262659788783,0.18155034803097947,-0.12633065855473283,0.0915249945517726,-0.23808246103995484,-0.13436086286346435,-0.1789094963619969,-0.26196194623651975,-0.26702510348059577,0.01992532474031753,0.006334631757617819,-0.10385926969751447,-0.17447109441991968,-0.008829388164270575,0.22946786428291868,-0.15343293586295356,0.03615967136230548,0.10395720173963602,-0.034511905441115646,0.16242301226164751,0.09982334733797543,-0.0709020728344738,-0.018305127242636547,0.06357969419853822,0.03822393026709031
post_cov_att,0.7505012736837762,1.0,-0.6137324282069606,-0.7036861629140787,-0.19153320578538285,-0.3163500293082552,-0.005916636071334183,-0.07223049615949576,-0.0037586402339054212,-0.14525484241100672,0.09229215068026146,0.12767385031678793,0.08778374912370489,0.024269650884238315,0.004034329506302555,0.2584996567220736,0.23949341599252133,-0.013916740951710959,-0.049359849599172965,-0.1889829015134836,0.08189850886647115,0.0741604195157081,-0.11858684856558262,-0.07483698106575072,0.1303191896292102,0.19142483443819175,-0.13790700063325448,0.1250349877458827,-0.2545150011141131,-0.14696898638601993,-0.14649243130813738
perc_low_income,-0.34783480285971546,-0.6137324282069606,1.0,0.7942495815051621,-0.01112189306663424,0.26806694916412366,0.027216748540424312,-0.0489590766974671,0.09743599910843369,-0.0453730397777648,0.033434498911923044,0.07086755717318173,0.07535214638732206,0.04142752823152656,0.09284641851844846,-0.02370404274267987,-0.009303157030905068,-0.1590791963018475,0.06210139977386589,-0.06440167698430677,0.04820947778994133,0.0680230887931693,-0.08474559306373819,-0.04966772910191396,0.0006353465187826498,-0.11593546929891112,-0.03841387459769584,0.052662078715941356,-0.05344462545107677,-0.0896624831172028,-0.028441990137741253
perc_black_his_stu,-0.4816490579420803,-0.7036861629140787,0.7942495815051621,1.0,-0.0911159333038597,0.2790454630953059,0.05900086126168445,-0.05245674347393061,0.11985321249884708,-0.0055692299656010065,0.029586208194073878,-0.002932884938754611,0.14759223515085365,0.11742992184733586,0.12050242035389866,-0.13520729083744082,-0.09469414840706133,-0.11421979142582732,0.0229494787436106,0.0013916306984622364,-0.12703699152379225,0.0593128151693045,0.030660728590563395,-0.017705432017620776,-0.06766998493724925,-0.11864405869163204,-0.034839393446581046,0.043194854503337564,0.006163565667352843,0.020921898476541807,0.0035917125092148326
bus_count,-0.3301191695887498,-0.19153320578538285,-0.01112189306663424,-0.0911159333038597,1.0,-0.12357194172078696,0.10713871451266922,-0.0069149010237003015,-0.06250081322116365,0.08443528375796665,-0.043014328849419484,-0.10694569698618006,-0.13125889091481555,-0.029477424726105796,-0.1214465765730526,-0.07966976478532034,-0.06372089855822291,0.01902661302120479,0.07084072483298737,0.14182644348004925,-0.04839341289535548,-0.10958740132390533,0.07944834271194728,0.03164892427193612,-0.08423431122702145,-0.15373728753599838,0.17552498525748333,-0.18295221370483594,0.08144756215264919,0.10478331045292366,0.046954185800936216
dolla_per_student,-0.10278308970727587,-0.3163500293082552,0.26806694916412366,0.2790454630953059,-0.12357194172078696,1.0,-0.00036877709825305406,0.0902448889591571,0.1837410242653861,-0.023206165302215063,-0.0027148572309642813,0.0498375492293059,0.07898743718426171,0.02385227424947551,0.08336358293979025,-0.09656371145493926,-0.04928126713828812,0.12381287497547727,0.012632641191700733,-0.046269690770601016,-0.0718654612767916,0.07951745268933316,-0.07570504706772069,-0.10254642996289927,-0.03806782801499937,0.05495344996115661,-0.06144081946841794,0.05481149408079633,-0.00597830927526783,-0.05167882953795422,0.06587394915968744
med_age,0.0023937262659788783,-0.005916636071334183,0.027216748540424312,0.05900086126168445,0.10713871451266922,-0.00036877709825305406,1.0,0.1588748399934853,-0.07597269065844393,-0.058481384912866426,-0.16701858462298477,0.02107349032715604,0.01127163640830717,-0.08515337478814254,-0.25723993571780035,-0.10232022772671118,-0.11028346200109838,0.10605789828944336,0.14770102821214495,0.12339075603938823,-0.08231494877057839,-0.06966667695042693,0.08040693201024722,-0.2682955422541636,0.28611457324327827,0.21195120906787618,-0.043153254944411946,-0.004301168949696529,-0.057210197023425925,0.046618990969251047,-0.1021672446801711
covid_idx,0.18155034803097947,-0.07223049615949576,-0.0489590766974671,-0.05245674347393061,-0.0069149010237003015,0.0902448889591571,0.1588748399934853,1.0,-0.508466259947177,0.837512505200745,-0.781372404562941,-0.618457004635633,-0.7423865308139638,-0.8460528395926162,-0.7162345461806822,-0.5450670542707379,-0.6333930985959363,0.03979798839356308,-0.13018984300140976,0.4869182714670445,0.6247662098446193,-0.6936985228006919,0.4100135086940475,0.47345932819870007,-0.42876268038346577,-0.17326349760371976,0.6216513922340389,-0.6498950575087433,0.7057935051285085,0.5868676745172917,0.48147876193740424
perc_chg_pop,-0.12633065855473283,-0.0037586402339054212,0.09743599910843369,0.11985321249884708,-0.06250081322116365,0.1837410242653861,-0.07597269065844393,-0.508466259947177,1.0,-0.452509144591159,0.5021475000145179,0.4366061678005442,0.5354301526045216,0.6401466553612672,0.696608313142814,0.2633441891923738,0.3516297292310537,0.05365207726525991,-0.006436382792242841,-0.3007249511204913,-0.36686160800134354,0.42016606030611175,-0.3125915718969421,-0.34963772944568733,0.1280313148307662,0.14643598750192632,-0.40000538113423395,0.454215162488874,-0.33819755964929904,-0.391250220162104,-0.2855618332077759
perc_black_hispanic,0.0915249945517726,-0.14525484241100672,-0.0453730397777648,-0.0055692299656010065,0.08443528375796665,-0.023206165302215063,-0.058481384912866426,0.837512505200745,-0.452509144591159,1.0,-0.7295988270424225,-0.808122571780641,-0.8025967616730588,-0.7715021517805827,-0.6632666739750178,-0.516989903009604,-0.6076163709453682,-0.0982426711688097,-0.2714575146051651,0.7057353546613185,0.49188624079228904,-0.8358792701341387,0.5333761010953895,0.7226374362542953,-0.6187905313814416,-0.2922911103164876,0.8005494099106346,-0.8205601678244144,0.7547159299474722,0.7680349546071592,0.6244342028781824
