GEOID,GEOG,CCVI_Score,CCVI_Cat,2000_POP,2020_POP,2020_HH,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,MEDINC,INCPERCAP,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,highly_walkable_pop_pct,highly_walkable_emp_pct
60,Bridgeport,21.6,LOW,33694,33702,13339,32863.15574,37.4904653,11630.87705,6857.92623,735.4590164,13303.89344,335,18306.49717,17052.17194,1248.325225,58670.10682,31668.72483,1066.264189,11775.73324,968.0370899,1116.422254,11606.07561,11328.07561,1286.079886,1,1
33,Near South Side,15,LOW,9509,28795,15774,26376,37.4720715,13556,1104,5932,5030,754,18257,18123,122,115993.1326,88783.76137,1948.883162,15098,805,472,14818,14174,752,0.998729304,0.811452639
43,South Shore,45.6,MEDIUM,61556,53971,25748,52740,37.28693561,1594,1371,48876,165,734,27014.79896,22888.4138,4126.385161,35886.77751,27282.81953,930.6204519,21280,4583,3204,20078,19370,4406,0.999741397,0.999650105
77,Edgewater,17.3,LOW,62198,56296,30466,58693,37.07107611,31412,9323,7781,8059,2118,36648,34594,2021,58283.37875,42485.67865,1128.703469,27106,1633,1784,26193,24319,2697,1,1
25,Austin,52.9,HIGH,117527,96557,35864,95073,36.97618685,5024,16210,71951,319,1569,43212,37426,5786,35555.36685,21384.81546,978.327787,27665,5427,5796,25413,23589,8048,0.997275537,0.925599082
76,O'Hare,19,LOW,11665,13418,6158,13498.30016,36.70826483,9104.961477,1115.448903,892,2099.17175,286.718031,8033.469989,7692.425509,302.0444802,60440.97616,35578.00231,1220.293108,5898.833333,351.6666667,683.6666667,5542.166667,5436.833333,1040.333333,0.788202003,0.914285714
3,Uptown,24.4,LOW,63551,57182,32215,59453,36.502262,31611,8911,10752,6173,2006,38657,37340,1272,57878.09524,42111.65248,1090.966667,28627,2765,2343,27404,25889,3566,0.999524648,0.987426531
70,Ashburn,45.1,MEDIUM,39584,41098,12909,42902,36.46160558,4320,18331,19324,356,571,21425,19181,2244,71951.49017,25905.19106,1253.04878,12022,998,917,11432,11188,1507,0.8720485,0.587266553
16,Irving Park,30.3,LOW,58643,51940,21342,53604,36.20763142,23585,22062,1466,4602,1889,32457,30525,1912,72045.04095,38887.99043,1170.727338,19855,1741,1061,18798,18276,2118,1,1
69,Greater Grand Crossing,46,MEDIUM,38619,31471,12756,29429,36.12857143,257,590,28131,29,422,13296,10670,2626,30109.64912,19735.39876,908.9698046,10529,2934,1731,9096,8565,3164,1,1
64,Clearing,42.7,MEDIUM,22331,24473,8884,24382,36.08970976,9510,13878,621,145,228,12316,11010,1306,58168.13049,27582.04475,1046.176046,7565,824,1089,7467,7299,1187,1,0.943423471
51,South Deering,52.5,HIGH,16990,14105,5311,15144,35.8992467,753,4690,9646,0,55,6357,5269,1088,30127.84091,19183.58743,927.480916,4668,1166,717,4453,4409,932,0.359101472,0.096439169
53,West Pullman,49.2,HIGH,36649,26104,9650,26484,35.88581024,233,1815,23890,0,546,13197,10463,2734,46380.45541,22615.252,1031.097561,7859,1025,1204,7470,7280,1593,0.909574468,0.874165872
68,Englewood,55.3,HIGH,40222,24369,9597,22019,35.76229508,255,866,20278,131,489,8433,6329,2104,22228.26087,15034.36201,873.4398782,7183,2202,1983,6360,5876,2806,1,1
2,West Ridge,36,MEDIUM,73199,77122,26493,78763,35.61764109,33123,15514,9166,16556,4404,38949,36492,2457,57937.30032,27671.16952,1181.841238,24375,2751,1494,22756,21700,3113,1,1
20,Hermosa,50.3,HIGH,26908,24062,7544,23163,35.34880148,2291,19116,1046,534,176,12769,12010,759,54773.13975,24226.59958,1010.831889,6479,717,699,6167,5804,1011,1,1
19,Belmont Cragin,52.4,HIGH,78144,78116,23450,78788,35.22748666,11272,62943,1926,1734,913,40277,38208,2069,58138.0978,21611.65496,1064.839572,20018,2915,2705,18347,17427,4376,1,1
4,Lincoln Square,15,LOW,44574,40494,19143,41350,35.12663571,26590,7373,1234,3771,2382,27371,25881,1468,80899.83877,49797.24946,1337.445501,17756,727,725,17387,16769,1094,1,1
8,Near North Side,12.1,LOW,72811,105481,66685,95405,34.6875,65899,5807,6613,13882,3204,67722,65976,1724,109049.1788,105016.5142,2005.399702,57519,2008,1574,56843,53161,2250,0.999735737,1
1,Rogers Park,30.9,LOW,63484,55628,26402,55643,34.65535076,24644,10537,15059,3018,2385,32104,30603,1484,46244.10377,29682.50362,1061.667724,22929,2154,1987,21490,20348,3426,1,1
5,North Center,4,LOW,31895,35114,14931,36142,34.31010125,27005,4323,923,2156,1735,22373,21654,714,133537.464,77950.66977,1520.46695,13726,430,511,13333,13130,904,1,1
14,Albany Park,38.2,MEDIUM,57655,48396,17161,49280,34.26150833,16577,22673,2520,6179,1331,28326,26431,1869,69397.59036,32298.08478,1173.230594,15377,1440,1405,14389,13669,2393,1,1
46,South Chicago,43.8,MEDIUM,38596,27300,11017,29977,34.22471534,857,6182,22565,114,259,14132,11827,2270,39798.13665,19442.66868,815.7971014,9294,2786,1582,9178,8854,1698,1,1
36,Oakland,31.3,LOW,6110,6799,3217,6973,33.71515679,307,407,6043,114,102,3671,2941,730,36837.60684,28101.43683,795.6349206,2788,549,356,2670,2578,474,0.997116645,0.091471055
26,West Garfield Park,47.4,MEDIUM,23019,17433,6573,16489,33.69940978,456,574,15238,3,218,6734,5064,1606,29443.39623,14759.95688,1029.02439,4396,985,1077,4114,3796,1359,1,1
21,Avondale,28.5,LOW,43083,36257,14578,37360,33.56555024,13301,20145,806,1670,1438,23140,21987,1153,73616.00306,35759.78129,1205.620704,12877,861,858,12287,11791,1448,1,1
57,Archer Heights,53.3,HIGH,12644,14196,4163,13533,33.37723214,1991,10800,104,612,26,6502,5951,551,48793.10345,21399.10522,920.3125,3399,322,733,3262,3109,870,0.994886727,0.439368999
52,East Side,43.9,MEDIUM,23653,21724,7004,22923.79466,33.32199646,2950.965891,19452.44734,407.4014388,70.97998976,42,10193.06787,9362.452778,830.6150895,52003.37755,21933.7836,850.4032798,6229.033241,1012.849139,743.1472017,6003.357964,5878.357964,968.8224785,0.715264493,0.753791709
42,Woodlawn,37.8,MEDIUM,27086,24425,10517,22502,33.20743754,1838,652,18510,766,736,10971.20104,9043.586197,1881.614839,27540.98361,20824.41827,960.7714702,8404,1776,1120,7708,7443,1816,0.99905575,0.792316057
61,New City,59.7,HIGH,51721,43628,13813,38971.68675,33.10160771,4815.819277,24095.39759,9006.86747,725.6024096,328,18485.20848,15374.91048,3110.297998,35396.3424,18005.11013,798.0487731,10788.94292,2113.983087,2475.564482,10587.94292,10004.94292,2676.564482,0.999017682,0.555383955
31,Lower West Side,48.9,HIGH,44031,33751,13730,32672,33.07234766,7275,22308,1020,1476,593,19577,18303,1274,59889.22457,30761.85143,1017.211123,11694,1468,938,11244,10845,1388,1,0.757894737
29,North Lawndale,58.5,HIGH,41768,34794,12838,31310,32.67097967,1495,3509,25881,69,356,13504,11186,2318,30960.59113,17708.19019,1019.907407,9443,2313,1889,8543,7829,2789,1,1
23,Humboldt Park,52.4,HIGH,65836,54165,19072,54401,32.66518148,4907,30160,17999,288,1047,27086,24125,2961,41535.65292,20336.54578,1071.519741,15722,2654,2045,14401,13396,3366,0.99980292,0.943404797
66,Chicago Lawn,57.8,HIGH,61412,55931,17041,51243,32.6517204,1247,28387,20369,246,994,23696,19660,4023,36277.83964,17620.09125,893.206951,13654,2673,2991,13107,12727,3538,0.999946663,0.998292058
24,West Town,18.2,LOW,87435,87781,42920,84437,32.62385816,53355,17742,5266,4553,3521,62015.74554,59888.81998,2122.92556,112555.2091,68810.35002,1685.728831,36815,1233,1899,36251,35363,2463,1,1
35,Douglas,36,MEDIUM,26470,20291,9878,21450,32.59378349,2270,1152,13964,3121,943,9961,8589,1372,35796.1165,28546.88932,1059.664819,9051,1569,1089,8579,8292,1561,1,1
32,The Loop,8.3,LOW,16388,42298,24134,39327,32.57892628,23194,3761,2784,8287,1301,27122,25537,1564,113599.1379,90269.15221,2231.053338,20543,185,424,20556,18511,411,1,1
27,East Garfield Park,47.9,HIGH,20881,19992,7828,18075,32.43991416,1074,863,15340,159,639,7447,6034,1413,23066.57224,16138.4229,928.7153652,5574,1324,1281,4982,4545,1873,1,1
22,Logan Square,27.7,LOW,82715,71665,32097,71374,32.39190816,36851,25920,3233,3030,2340,48688.25446,47035.18002,1648.07444,84653.4034,52299.251,1394.638305,28112,1018,2634,27896,27082,2850,1,1
30,South Lawndale,58.2,HIGH,91071,71399,20069,70235,32.38064169,3884,56749,9103,260,239,27170,24779,2391,36919.74596,14234.46978,836.1766319,15446,3653,3271,14328,13693,4389,0.997844944,0.747040498
62,West Elsdon,48.6,HIGH,15921,18394,5258,18523,32.26247601,2724,15134,125,513,27,9195,8307,888,54185.77982,23006.96534,1005.755064,4346,288,1055,4235,4123,1166,1,1
65,West Lawn,48.5,HIGH,29235,33662,9244,32162,32.08806051,3819,27364,801,73,105,15443,13849,1594,54757.83476,21706.25244,996.0526316,7940,1047,1236,7705,7474,1471,0.927448276,0.454832282
28,Near West Side,20,LOW,46419,67881,33918,62816,31.74387646,27402,6275,15213,11625,2301,39472,37012,2426,93202.49846,59634.86515,1755.633667,27649,1385,1870,27250,25591,2269,1,1
6,Lake View,5.2,LOW,94817,103050,57721,101428,31.50931929,77260,9102,4304,7146,3616,75208,72567,2607,91941.20988,74366.38873,1570.31014,52143,1268,1347,51021,49399,2469,1,1
40,Washington Park,41.2,MEDIUM,14146,12707,5168,10427,31.47073922,191,233,9559,0,444,4421,3629,792,23351.06383,16193.1289,944.1919192,3982,1334,713,3611,3505,1084,1,1
58,Brighton Park,48.5,HIGH,44912,45053,13592,42728,31.175095,3163,34130,579,4517,339,20086,17925,2143,45781.71091,18312.79428,874.8424842,10764,1869,1556,10261,9832,2059,0.941762712,0.836682028
7,Lincoln Park,7.3,LOW,64320,70492,35570,69568,30.5704314,55637,4349,2636,5084,1862,45825,44394,1431,117048.0738,90189.4832,1746.473605,30711,812,1309,30449,29499,1571,0.999331703,0.994723449
41,Hyde Park,16.7,LOW,29920,29456,14818,27722,30.51812367,13019,2083,6773,3946,1901,15568,14544,1002,52422.56637,48606.06637,1237.5,13047,815,629,12755,12090,921,1,1
63,Gage Park,58.8,HIGH,39193,39540,10353,35300,29.28865696,1260,32113,1649,250,28,16179,13550,2620,42271.4808,16154.70878,842.7777778,8159,1136,1616,7906,7467,1869,0.999693228,0.807699638
54,Riverdale,35.6,MEDIUM,9809,7262,2523,7414,25.86317136,72,271,7071,0,0,3027,2123,904,19676.96629,14175.67494,421.1956522,2396,1038,361,2250,2225,507,0,0
