,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
1756,12968244,JG135189,2023-01-30T18:08:00.000,039XX W LEXINGTON ST,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,1132,011,24,26,18,1150198,1896407,2023,2023-02-06T15:49:33.000,41.871646618,-87.724034269,"{'latitude': '41.871646618', 'longitude': '-87.724034269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,27,702,14,30,16,142
1757,12968431,JG135207,2023-01-30T18:06:00.000,007XX N MICHIGAN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SMALL RETAIL STORE,False,False,1833,018,42,8,03,1177295,1905482,2023,2023-02-06T15:49:33.000,41.895978014,-87.624275756,"{'latitude': '41.895978014', 'longitude': '-87.624275756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,158,11,6,14,71
1758,12968958,JG136037,2023-01-30T18:05:00.000,031XX W 24TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1033,010,12,30,08A,1155906,1887891,2023,2023-02-06T15:49:33.000,41.848164689,-87.703307258,"{'latitude': '41.848164689', 'longitude': '-87.703307258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,32,261,1,57,21,160
1759,12970662,JG135689,2023-01-30T18:05:00.000,041XX S CALIFORNIA AVE,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC BUILDING,False,False,0921,009,12,58,08B,1158379,1877130,2023,2023-02-06T15:49:33.000,41.818585099,-87.694524884,"{'latitude': '41.818585099', 'longitude': '-87.694524884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,55,196,1,56,23,110
1760,12968217,JG135184,2023-01-30T18:00:00.000,031XX S ASHLAND AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,0912,009,12,59,06,1166183,1883676,2023,2023-02-06T15:49:33.000,41.836385231,-87.66571041,"{'latitude': '41.836385231', 'longitude': '-87.66571041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,56,192,1,43,23,165
1761,12968612,JG135495,2023-01-30T18:00:00.000,133XX S MACKINAW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0433,004,10,55,07,1200427,1817087,2023,2023-02-06T15:49:33.000,41.652861387,-87.542305087,"{'latitude': '41.652861387', 'longitude': '-87.542305087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",47,22250,52,787,47,26,19,259
1762,12968407,JG135167,2023-01-30T18:00:00.000,077XX S OGLESBY AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,0414,004,7,43,08A,1193212,1854069,2023,2023-02-06T15:49:33.000,41.75452253,-87.56750038,"{'latitude': '41.75452253', 'longitude': '-87.56750038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,22538,39,420,37,24,19,222
1763,12968639,JG135523,2023-01-30T18:00:00.000,069XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0322,003,6,69,07,1177926,1858953,2023,2023-02-06T15:49:33.000,41.768284508,-87.623370607,"{'latitude': '41.768284508', 'longitude': '-87.623370607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,22260,67,514,32,60,18,211
1764,12968648,JG135568,2023-01-30T18:00:00.000,008XX S WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0123,001,25,32,14,1174844,1896432,2023,2023-02-06T15:49:33.000,41.871199512,-87.633548708,"{'latitude': '41.871199512', 'longitude': '-87.633548708', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14917,38,12,26,44,22,144
1765,12969313,JG135567,2023-01-30T18:00:00.000,002XX W HILL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1823,018,27,8,11,1174376,1907688,2023,2023-02-06T15:49:33.000,41.902097091,-87.634930561,"{'latitude': '41.902097091', 'longitude': '-87.634930561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,14926,37,148,46,54,14,51
1766,12973091,JG140940,2023-01-30T18:00:00.000,061XX S MICHIGAN AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,APARTMENT,False,False,0311,003,20,40,26,1178228,1864032,2023,2023-02-07T15:46:33.000,41.782214968,-87.622109675,"{'latitude': '41.782214968', 'longitude': '-87.622109675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,22260,7,404,4,60,18,251
1767,12968566,JG135470,2023-01-30T18:00:00.000,0000X W 87TH ST,1330,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,True,False,0634,006,21,44,26,1177549,1847286,2023,2023-02-06T15:49:33.000,41.736277427,-87.62510451,"{'latitude': '41.736277427', 'longitude': '-87.62510451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,40,1,13,59,20,242
1768,12972125,JG139560,2023-01-30T18:00:00.000,022XX W SUNNYSIDE AVE,0810,THEFT,OVER $500,STREET,False,False,1911,019,47,4,06,1160447,1929840,2023,2023-02-06T15:49:33.000,41.963183394,-87.685478776,"{'latitude': '41.963183394', 'longitude': '-87.685478776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,21849,6,667,18,20,5,10
1769,12968199,JG135170,2023-01-30T17:59:00.000,007XX N RUSH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1834,018,42,8,15,1176971,1905240,2023,2023-02-06T15:49:33.000,41.895321296,-87.625473059,"{'latitude': '41.895321296', 'longitude': '-87.625473059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,626,36,6,14,74
1770,12968206,JG135144,2023-01-30T17:56:00.000,039XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,0213,002,3,38,06,1178247,1878952,2023,2023-02-06T15:49:33.000,41.823156373,-87.621587057,"{'latitude': '41.823156373', 'longitude': '-87.621587057', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,4301,4,163,9,36,24,102
1771,12968275,JG135176,2023-01-30T17:50:00.000,010XX N PULASKI RD,0560,ASSAULT,SIMPLE,APARTMENT,True,True,1111,011,37,23,08A,1149534,1906564,2023,2023-02-06T15:49:33.000,41.89953144,-87.726208271,"{'latitude': '41.89953144', 'longitude': '-87.726208271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,4299,24,456,45,5,16,66
1772,12968318,JG135152,2023-01-30T17:49:00.000,012XX S INDEPENDENCE BLVD,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,False,1011,010,24,29,04B,1151289,1894087,2023,2023-02-06T15:49:33.000,41.865258953,-87.720089594,"{'latitude': '41.865258953', 'longitude': '-87.720089594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,33,14,57,21,155
1773,12969614,JG136757,2023-01-30T17:45:00.000,019XX W WINONA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2032,020,40,4,07,1162792,1934070,2023,2023-02-06T15:49:33.000,41.974741718,-87.676737856,"{'latitude': '41.974741718', 'longitude': '-87.676737856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13,22616,6,106,24,15,2,59
