,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Other Plan Specified,# With Plan Type Not Specified
District,2020,609749,NORTHSIDE PREP HS,ISP,275,98.9%,0.7%,0.4%,272,2,1,0,0,10,251,0,0,0,0,10,1
District,2020,609750,SIMPSON HS,Network 15,12,100.0%,0.0%,0.0%,12,0,0,0,0,4,2,5,0,0,0,1,0
District,2020,609751,KING HS,Network 17,132,98.5%,0.0%,1.5%,130,0,2,0,0,14,83,4,0,0,0,18,11
District,2020,609753,CHICAGO AGRICULTURE HS,ISP,165,98.2%,0.0%,1.8%,162,0,3,2,1,35,92,6,0,2,8,16,0
District,2020,609754,CHICAGO MILITARY HS,Network 17,81,100.0%,0.0%,0.0%,81,0,0,0,2,27,34,6,1,2,7,2,0
District,2020,609755,YOUNG HS,ISP,489,99.2%,0.2%,0.6%,485,1,3,0,0,17,439,6,0,1,1,20,1
District,2020,609756,CURIE HS,Network 15,529,97.4%,0.0%,2.6%,515,0,14,1,9,245,178,40,1,5,12,24,0
District,2020,609759,CLEMENTE HS,Network 15,145,97.9%,0.0%,2.1%,142,0,3,0,2,54,62,19,0,1,4,0,0
District,2020,609760,CARVER MILITARY HS,Network 17,127,99.2%,0.8%,0.0%,126,1,0,0,5,44,47,8,0,0,19,0,3
District,2020,609761,CORLISS HS,Network 17,56,96.4%,0.0%,3.6%,54,0,2,0,0,15,24,11,0,0,1,3,0
District,2020,609762,JULIAN HS,Network 16,102,98.0%,0.0%,2.0%,100,0,2,0,0,43,42,15,0,0,0,0,0
District,2020,609764,JUAREZ HS,Network 15,347,98.6%,0.0%,1.4%,342,0,5,6,5,163,141,18,1,0,4,4,0
District,2020,609780,MARINE LEADERSHIP AT AMES HS,ISP,142,95.1%,0.7%,4.2%,135,1,6,1,4,57,49,17,0,1,6,0,0
District,2020,610244,CLARK HS,ISP,119,98.3%,0.0%,1.7%,117,0,2,0,1,46,51,8,0,1,2,7,1
District,2020,610245,DOUGLASS HS,Network 15,12,100.0%,0.0%,0.0%,12,0,0,0,1,4,2,4,0,1,0,0,0
District,2020,610304,PHOENIX MILITARY HS,ISP,116,100.0%,0.0%,0.0%,116,0,0,1,2,34,58,4,0,0,17,0,0
District,2020,610323,BOWEN HS,Network 17,57,98.2%,0.0%,1.8%,56,0,1,0,0,25,17,4,0,1,5,4,0
District,2020,610334,RABY HS,Network 15,86,93.0%,0.0%,7.0%,80,0,6,0,0,27,19,6,0,0,0,28,0
District,2020,610340,CHICAGO ACADEMY HS,AUSL,138,95.7%,0.0%,4.3%,132,0,6,0,2,26,22,2,0,0,1,0,79
District,2020,610357,SPRY HS,Network 16,13,100.0%,0.0%,0.0%,13,0,0,0,1,6,3,1,0,0,0,2,0
District,2020,610380,WILLIAMS HS,Network 17,28,100.0%,0.0%,0.0%,28,0,0,0,0,6,21,0,0,0,0,1,0
