,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Other Plan Specified,# With Plan Type Not Specified
Charter,2020,400127,YCCS - AUSTIN CAREER,Options,47,0.0%,0.0%,100.0%,0,0,47,0,0,0,0,0,0,0,0,0,0
Charter,2020,400128,YCCS - CCA ACADEMY,Options,58,91.4%,0.0%,8.6%,53,0,5,0,0,38,0,15,0,0,0,0,0
Charter,2020,400129,YCCS - PROGRESSIVE LEADERSHIP,Options,101,72.3%,0.0%,27.7%,73,0,28,0,0,16,26,19,2,3,3,1,3
Charter,2020,400130,YCCS - YOUTH DEVELOPMENT,Options,49,63.3%,0.0%,36.7%,31,0,18,0,0,12,1,18,0,0,0,0,0
Charter,2020,400131,YCCS - CAMPOS,Options,85,94.1%,0.0%,5.9%,80,0,5,0,2,23,6,48,0,0,0,0,1
Charter,2020,400133,YCCS - INNOVATIONS,Options,195,68.7%,0.0%,31.3%,134,0,61,0,0,56,5,71,0,0,1,1,0
Charter,2020,400134,YCCS - ADDAMS,Options,98,27.6%,0.0%,72.4%,27,0,71,0,0,20,3,4,0,0,0,0,0
Charter,2020,400135,YCCS - LATINO YOUTH,Options,89,77.5%,4.5%,18.0%,69,4,16,0,0,28,1,19,0,0,1,0,20
Charter,2020,400136,YCCS - OLIVE HARVEY,Options,39,12.8%,0.0%,87.2%,5,0,34,0,0,2,0,1,0,0,0,0,2
Contract,2020,400137,LITTLE BLACK PEARL HS,Options,29,93.1%,0.0%,6.9%,27,0,2,0,0,7,7,11,0,1,1,0,0
Charter,2020,400139,YCCS - SULLIVAN,Options,107,0.9%,0.0%,99.1%,1,0,106,0,0,1,0,0,0,0,0,0,0
Charter,2020,400141,YCCS - TRUMAN,Options,78,69.2%,3.8%,26.9%,54,3,21,0,0,21,3,30,0,0,0,0,0
Charter,2020,400143,YCCS - WEST TOWN,Options,68,91.2%,0.0%,8.8%,62,0,6,0,0,9,1,2,0,0,0,0,50
Charter,2020,400144,YCCS - WEST,Options,92,42.4%,0.0%,57.6%,39,0,53,0,0,19,2,14,3,0,0,0,1
Charter,2020,400145,YCCS - YOUTH CONNECTION,Options,72,48.6%,0.0%,51.4%,35,0,37,0,0,6,1,28,0,0,0,0,0
Contract,2020,400147,CAMELOT - EXCEL HS,Options,64,17.2%,0.0%,82.8%,11,0,53,0,0,6,1,3,0,0,0,1,0
Charter,2020,400149,ACERO - SOTO HS,Charter,130,86.9%,0.0%,13.1%,113,0,17,1,2,48,48,12,0,1,1,0,0
Charter,2020,400150,YCCS - CHATHAM,Options,80,50.0%,0.0%,50.0%,40,0,40,0,0,32,5,3,0,0,0,0,0
Charter,2020,400156,NOBLE - BUTLER HS,Charter,148,0.0%,0.0%,100.0%,0,0,148,0,0,0,0,0,0,0,0,0,0
Charter,2020,400157,NOBLE - BAKER HS,Charter,34,0.0%,0.0%,100.0%,0,0,34,0,0,0,0,0,0,0,0,0,0
Charter,2020,400162,INTRINSIC HS,Charter,163,97.5%,0.0%,2.5%,159,0,4,0,1,64,84,6,1,1,2,0,0
Charter,2020,400164,INSTITUTO - LOZANO HS,Options,43,11.6%,0.0%,88.4%,5,0,38,0,0,1,1,3,0,0,0,0,0
Charter,2020,400167,HORIZON - SOUTHWEST,Charter,30,46.7%,0.0%,53.3%,14,0,16,0,0,3,10,0,0,0,1,0,0
Charter,2020,400169,NOBLE - ITW SPEER HS,Charter,132,0.0%,0.0%,100.0%,0,0,132,0,0,0,0,0,0,0,0,0,0
Charter,2020,400170,NOBLE - ACADEMY HS,Charter,91,0.0%,0.0%,100.0%,0,0,91,0,0,0,0,0,0,0,0,0,0
Charter,2020,400171,FOUNDATIONS,Charter,37,5.4%,0.0%,94.6%,2,0,35,0,0,0,0,1,0,1,0,0,0
Charter,2020,400172,ASPIRA - BUSINESS & FINANCE HS,Charter,164,0.0%,0.0%,100.0%,0,0,164,0,0,0,0,0,0,0,0,0,0
ALOP,2020,400173,PATHWAYS - BRIGHTON PARK HS,Options,129,39.5%,0.0%,60.5%,51,0,78,0,3,15,3,19,0,0,4,0,7
Contract,2020,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,85,27.1%,0.0%,72.9%,23,0,62,0,0,3,1,15,0,1,2,0,1
Contract,2020,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,26,65.4%,0.0%,34.6%,17,0,9,0,0,16,0,1,0,0,0,0,0
Charter,2020,400179,NOBLE - MANSUETO HS,Charter,140,0.0%,0.0%,100.0%,0,0,140,0,0,0,0,0,0,0,0,0,0
ALOP,2020,610557,PATHWAYS - ASHBURN HS,Options,92,37.0%,0.0%,63.0%,34,0,58,0,1,11,5,14,0,0,1,0,2
Contract,2020,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,103,34.0%,0.0%,66.0%,35,0,68,0,0,2,0,5,0,0,0,0,28
ALOP,2020,610568,PATHWAYS - AVONDALE HS,Options,103,34.0%,0.0%,66.0%,35,0,68,0,0,8,4,18,0,2,1,1,1
ALOP,2020,610569,OMBUDSMAN - NORTHWEST HS,Options,82,65.9%,0.0%,34.1%,54,0,28,0,1,16,2,16,0,0,0,0,19
ALOP,2020,610570,OMBUDSMAN - SOUTH HS,Options,134,36.6%,0.0%,63.4%,49,0,85,0,0,12,5,7,0,0,0,1,24
ALOP,2020,610571,OMBUDSMAN - WEST HS,Options,88,35.2%,1.1%,63.6%,31,1,56,0,0,6,1,14,0,1,1,0,8
ALOP,2020,610593,OMBUDSMAN - ROSELAND HS,Options,39,28.2%,0.0%,71.8%,11,0,28,0,0,2,2,2,0,0,0,0,5
ALOP,2020,610594,PATHWAYS - HUMBOLDT PARK HS,Options,26,61.5%,0.0%,38.5%,16,0,10,0,0,4,5,2,0,0,1,1,3
