,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Business Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Transition Program Plan,# With Continue High School Plan
District,2021,609735,TILDEN HS,Network 16,54,96.3%,0.0%,3.7%,52,0,2,0,0,27,14,4,0,0,1,3,0,3
District,2021,609737,VON STEUBEN HS,Network 14,387,98.2%,0.0%,1.8%,380,0,7,0,1,130,206,21,0,0,1,8,1,12
District,2021,609738,LINCOLN PARK HS,Network 14,535,98.7%,0.0%,1.3%,528,0,7,0,3,70,395,23,2,1,1,5,3,25
District,2021,609739,WASHINGTON HS,Network 17,343,97.7%,0.0%,2.3%,335,0,8,2,8,105,123,56,2,0,1,2,4,32
District,2021,609740,WELLS HS,Network 15,105,94.3%,1.0%,4.8%,99,1,5,1,2,22,31,22,2,0,7,4,0,8
District,2021,609741,HUBBARD HS,Network 16,370,98.9%,0.0%,1.1%,366,0,4,1,1,173,115,63,0,0,0,2,4,7
District,2021,609746,KENWOOD HS,Network 17,369,96.7%,0.0%,3.3%,357,0,12,0,1,51,283,14,0,1,0,2,5,0
District,2021,609748,YORK HS,Network 16,23,65.2%,0.0%,34.8%,15,0,8,2,2,3,5,1,0,0,0,2,0,0
District,2021,609749,NORTHSIDE PREP HS,Network 14,254,100.0%,0.0%,0.0%,254,0,0,0,0,7,228,4,0,2,0,0,0,13
District,2021,609751,KING HS,Network 17,115,100.0%,0.0%,0.0%,115,0,0,0,0,14,79,1,0,0,0,0,0,21
District,2021,609753,CHICAGO AGRICULTURE HS,ISP,185,97.8%,0.0%,2.2%,181,0,4,2,7,36,93,14,1,2,0,4,0,22
District,2021,609754,CHICAGO MILITARY HS,Network 17,84,96.4%,0.0%,3.6%,81,0,3,0,3,21,45,5,0,0,0,6,0,1
District,2021,609755,YOUNG HS,ISP,516,96.5%,0.0%,3.5%,498,0,18,1,0,27,449,5,1,5,0,2,4,4
District,2021,609756,CURIE HS,Network 15,614,96.4%,0.8%,2.8%,592,5,17,1,11,233,227,75,3,0,1,12,7,22
District,2021,609759,CLEMENTE HS,Network 15,164,97.0%,0.0%,3.0%,159,0,5,0,3,62,72,17,0,1,3,1,0,0
District,2021,609760,CARVER MILITARY HS,Network 17,108,90.7%,0.0%,9.3%,98,0,10,0,2,36,42,11,0,0,0,7,0,0
District,2021,609761,CORLISS HS,Network 17,66,90.9%,6.1%,3.0%,60,4,2,1,1,17,26,12,0,2,0,0,0,1
District,2021,609762,JULIAN HS,Network 16,74,98.6%,0.0%,1.4%,73,0,1,1,0,25,33,12,1,0,0,1,0,0
District,2021,609764,JUAREZ HS,Network 15,404,99.5%,0.0%,0.5%,402,0,2,14,5,97,181,71,6,4,2,4,5,13
