,,,,,Overall LPS Data,,,,,,,Detailed Plan Type for Students in Numerator,,,,,,,,,,
School Governance Type,Year,School ID,School Name,Network,# Students in Denominator,% With Concrete Plan,% With Waiver,% With No Plan or Waiver,# With Concrete Plan,# With Waiver,# With No Plan or Waiver,# With Apprenticeship Plan,# With Certificate Plan,# With 2-Year College Plan,# With 4-Year College Plan,# With Employment Plan,# With Business Plan,# With Gap Year Plan,# With Job Training Plan,# With Military Plan,# With Transition Program Plan,# With Continue High School Plan
Charter,2021,400127,YCCS - AUSTIN CAREER,Options,42,16.7%,0.0%,83.3%,7,0,35,0,0,1,0,5,1,0,0,0,0,0
Charter,2021,400128,YCCS - CCA ACADEMY,Options,62,83.9%,0.0%,16.1%,52,0,10,0,0,25,3,24,0,0,0,0,0,0
Charter,2021,400129,YCCS - PROGRESSIVE LEADERSHIP,Options,108,19.4%,0.0%,80.6%,21,0,87,0,1,6,1,10,2,0,0,1,0,0
Charter,2021,400130,YCCS - YOUTH DEVELOPMENT,Options,40,50.0%,0.0%,50.0%,20,0,20,0,0,8,0,12,0,0,0,0,0,0
Charter,2021,400131,YCCS - CAMPOS,Options,90,87.8%,0.0%,12.2%,79,0,11,2,3,24,1,47,2,0,0,0,0,0
Charter,2021,400133,YCCS - INNOVATIONS,Options,172,35.5%,0.0%,64.5%,61,0,111,0,3,53,1,4,0,0,0,0,0,0
Charter,2021,400134,YCCS - ADDAMS,Options,90,75.6%,0.0%,24.4%,68,0,22,0,3,50,2,13,0,0,0,0,0,0
Charter,2021,400135,YCCS - LATINO YOUTH,Options,56,51.8%,3.6%,44.6%,29,2,25,1,0,12,4,11,0,0,1,0,0,0
Charter,2021,400136,YCCS - OLIVE HARVEY,Options,53,20.8%,0.0%,79.2%,11,0,42,0,0,5,1,5,0,0,0,0,0,0
Contract,2021,400137,LITTLE BLACK PEARL HS,Options,35,91.4%,0.0%,8.6%,32,0,3,0,0,5,11,11,0,0,5,0,0,0
Charter,2021,400139,YCCS - SULLIVAN,Options,164,0.0%,0.0%,100.0%,0,0,164,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400141,YCCS - TRUMAN,Options,132,31.8%,0.0%,68.2%,42,0,90,0,0,25,3,14,0,0,0,0,0,0
Charter,2021,400143,YCCS - WEST TOWN,Options,67,4.5%,0.0%,95.5%,3,0,64,0,0,3,0,0,0,0,0,0,0,0
Charter,2021,400144,YCCS - WEST,Options,72,30.6%,1.4%,68.1%,22,1,49,0,1,9,1,11,0,0,0,0,0,0
Charter,2021,400145,YCCS - YOUTH CONNECTION,Options,60,38.3%,0.0%,61.7%,23,0,37,0,0,7,0,15,0,0,0,1,0,0
Contract,2021,400147,CAMELOT - EXCEL HS,Options,58,43.1%,0.0%,56.9%,25,0,33,0,5,8,1,10,0,0,1,0,0,0
Charter,2021,400149,ACERO - SOTO HS,Charter,100,96.0%,0.0%,4.0%,96,0,4,0,4,35,37,14,0,0,1,2,2,1
Charter,2021,400150,YCCS - CHATHAM,Options,86,47.7%,0.0%,52.3%,41,0,45,0,0,34,6,1,0,0,0,0,0,0
Charter,2021,400156,NOBLE - BUTLER HS,Charter,150,0.0%,0.0%,100.0%,0,0,150,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400157,NOBLE - BAKER HS,Charter,54,0.0%,0.0%,100.0%,0,0,54,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400161,CHICAGO COLLEGIATE,Charter,28,0.0%,0.0%,100.0%,0,0,28,0,0,0,0,0,0,0,0,0,0,0
Charter,2021,400162,INTRINSIC HS,Charter,138,96.4%,0.0%,3.6%,133,0,5,0,5,46,66,5,0,1,9,0,1,0
Charter,2021,400164,INSTITUTO - JUSTICE HS,Options,48,12.5%,0.0%,87.5%,6,0,42,0,1,0,0,5,0,0,0,0,0,0
Charter,2021,400167,HORIZON - SOUTHWEST,Charter,26,26.9%,0.0%,73.1%,7,0,19,0,0,1,6,0,0,0,0,0,0,0
Charter,2021,400169,NOBLE - ITW SPEER HS,Charter,251,0.4%,0.0%,99.6%,1,0,250,0,0,0,1,0,0,0,0,0,0,0
Charter,2021,400170,NOBLE - ACADEMY HS,Charter,112,1.8%,0.0%,98.2%,2,0,110,0,0,0,2,0,0,0,0,0,0,0
Charter,2021,400172,ASPIRA - BUSINESS & FINANCE HS,Charter,118,50.0%,0.0%,50.0%,59,0,59,0,1,18,19,21,0,0,0,0,0,0
ALOP,2021,400173,PATHWAYS - BRIGHTON PARK HS,Options,146,58.9%,0.7%,40.4%,86,1,59,0,3,32,13,34,0,0,2,0,0,2
Contract,2021,400175,CAMELOT - EXCEL SOUTHSHORE HS,Options,76,32.9%,5.3%,61.8%,25,4,47,0,0,3,9,4,0,0,0,0,0,9
Contract,2021,400176,CAMELOT - EXCEL SOUTHWEST HS,Options,27,55.6%,0.0%,44.4%,15,0,12,0,1,6,1,7,0,0,0,0,0,0
Charter,2021,400179,NOBLE - MANSUETO HS,Charter,255,0.0%,0.0%,100.0%,0,0,255,0,0,0,0,0,0,0,0,0,0,0
ALOP,2021,610557,PATHWAYS - ASHBURN HS,Options,131,52.7%,0.0%,47.3%,69,0,62,0,3,31,3,27,1,0,1,2,0,1
Contract,2021,610565,CAMELOT - EXCEL ENGLEWOOD HS,Options,107,20.6%,0.0%,79.4%,22,0,85,0,0,6,5,11,0,0,0,0,0,0
ALOP,2021,610568,PATHWAYS - AVONDALE HS,Options,104,62.5%,0.0%,37.5%,65,0,39,1,2,19,5,30,3,0,1,2,0,2
ALOP,2021,610569,OMBUDSMAN - NORTHWEST HS,Options,105,88.6%,0.0%,11.4%,93,0,12,0,2,32,3,53,1,0,1,1,0,0
ALOP,2021,610570,OMBUDSMAN - SOUTH HS,Options,166,59.6%,0.0%,40.4%,99,0,67,1,2,25,9,58,2,0,0,2,0,0
ALOP,2021,610571,OMBUDSMAN - WEST HS,Options,72,68.1%,0.0%,31.9%,49,0,23,0,1,8,4,9,0,0,0,0,0,27
ALOP,2021,610593,OMBUDSMAN - ROSELAND HS,Options,46,52.2%,0.0%,47.8%,24,0,22,0,0,12,0,11,0,0,0,1,0,0
ALOP,2021,610594,PATHWAYS - HUMBOLDT PARK HS,Options,58,70.7%,0.0%,29.3%,41,0,17,0,4,17,3,10,0,0,0,0,0,7
