GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
44,Chatham,37275,31028,31710,15053,2.106423969,31395.31764,1702.585794,5466.790902,6108.783719,5136.229848,7464.155626,2877.845172,1606.868316,1032.05826,42.30225418,269,271,30285.31764,77,493,31362.63218,26208.32788,14867.69487,12371.60545,2477.089423,11340.63301,12257.02244,1248.719231,11008.30321,6668.380128,681.3567308,3202.441026,293,163.1253205,418054.3429,4778.446048,6397.466258,2457.287261,753.5229159,22418.21947,2642.28332,5612.57063,6351.818037,1587.596967,4068.861133,2155.089385,5180.747126,3431.095785,2364.490421,1348.268199,1489.563218,573.1455939,39858.57561,25790.28123,14387.31034,5786.347079,8598.972509,2504.678161,16889.61856,5279.955326,940.7560137,1636,3560.649485,3448,1326.61512,697.6426117,0,5.609176498,602.6494845,1677.917526,7964.168385,6644.883162,1946.732674,4189.945017,5726.52921,5110.058419,1531.852234,331.233677,2045.340996,3216.590038,263.4904215,253,167845.0475,8489.888889,751,5305.045977,2124.842912,309,0,860.0558919,12285.17625,2809,2102.1341,10717.17625,10368.17625,3670.1341,10384,Health Care,Administration,Education,Accommodation and Food Service,Transportation,1979,1230,1167,904,872,3959,Retail Trade,Other Service,Transportation,Accommodation and Food Service,Health Care,1575,625,418,416,271,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,3063,2496,965,730,225,Outside of Chicago,Chatham,Auburn Gresham,Roseland,South Shore,2049,145,109,100,94,1,1,0.348501608,0.712717827,0.155160895,0,0.0850179,1,1,0.442645595
73,Washington Heights,29843,26493,25065,9538,2.610715035,26940,1317,4981,5176,4873,5415,2557,1657,964,42.20468432,451,393,25722,47,327,26698,22080,12259,10497,1744,9821,10282,616,9666,6253,426,2381,174,432,406445,1564,4070,2723,974,18821,2155,4763,5378,1595,2713,2217,2533,1850,1782,923,1529,714,53580.48162,24293.88493,9331,6519,2812,1262,10593,7931,246,472,779,560,176,429,0,6.408128309,316,975,6211,3091,1950.730641,869,2455,4487,2136,646,3611,2505,304,99,138805.7325,2692,242,1180,875,395,0,968.9795918,8234,1335,1097,7514,7334,1817,9251,Health Care,Education,Administration,Transportation,Retail Trade,1616,1159,900,847,833,1587,Health Care,Retail Trade,Education,Accommodation and Food Service,Other Service,452,325,297,151,90,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,3186,2246,799,558,172,Outside of Chicago,Washington Heights,Auburn Gresham,Roseland,South Shore,745,85,67,62,42,1,1,0.346687211,0.732087429,0.174966421,0,0.120682322,1,1,0.349834663
10,Norwood Park,37543,37023,38303,15323,2.472949161,38408.19118,2513.486687,6492.127892,6335.100829,8131.132693,7479.405936,3997.968573,2084.059363,1374.90921,41.69027061,29582.83151,5891.218245,251.5045832,1685.600175,997.0366652,37919.24409,31167.13034,20182.96025,19327.11777,855.8424847,10984.17009,18678.65613,1248.151599,17430.50453,13808.16731,1489.968201,1541.963209,453.4058051,137,548446.6722,1628.227112,4886.766818,6050.485584,2352.300961,28130.85814,2046.377564,7506.923614,4958.091663,1843.500218,7098.846355,4677.118725,2034.102362,2046.629921,2126.492688,2016.030371,3079.293588,3607.766029,90475.12039,45493.48943,14910.31496,11270.03341,3648.176724,575.6231721,15494.09159,10230.73168,285.2780172,1617,637.044181,1022.417026,400.6271552,1289.993534,11,6.141796894,233.481681,1951.034483,9881.697198,3427.878233,1953.05645,1982.342672,4365.407328,6619.523707,2044.193966,482.6239224,781.3903262,2948.407199,6638.151856,841.2564679,341135.4222,3454.256468,111,924.2362205,1477.551181,863.4690664,78,1189.246266,12985.45894,802.0033746,1924.856018,12484.45894,12165.45894,2425.856018,18467,Education,Public Administration,Health Care,Retail Trade,Professional,2392,2303,2227,1523,1368,11194,Health Care,Administration,Retail Trade,Accommodation and Food Service,Finance,5813,1161,678,661,493,Outside of Chicago,The Loop,Near North Side,Near West Side,Norwood Park,8492,4546,898,674,578,Outside of Chicago,Norwood Park,West Ridge,Portage Park,Dunning,6330,578,300,284,275,1,1,0.485458708,0.824099735,0.083955268,0,0.111097469,0.94408316,0.993847875,0.25341699
9,Edison Park,11328,11187,11525,4733,2.434819353,11002,969,1518,2076,2223,2519,853,572,272,41.2605042,9101,1086,46,282,487,10996,8742,6411,6295,116,2331,6135,391,5744,4795,96,745,101,7,187285,338,1521,1858,744,8069,351,1715,1611,395,2677,1320,475,448,404,612,887,1635,113960.728,61123.82167,4461,3636,825,325,4786,3254,151,126,280,624,136,215,0,6.424603175,108,467,3003,1208,1953.773041,376,1477,1648,1008,277,157,789,1818,863,393986.9989,815,0,196,316,278,25,1300.572519,3986,138,475,3807,3747,654,6163,Education,Public Administration,Health Care,Professional,Retail Trade,869,850,683,507,489,2375,Administration,Professional,Accommodation and Food Service,Health Care,Education,812,327,215,183,130,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,3078,1557,266,203,145,Outside of Chicago,Edison Park,Norwood Park,Austin,Dunning,1343,134,87,53,47,1,1,0.544305366,0.886916984,0,0,0.093364872,1,1,0.217277914
67,West Englewood,45282,35505,29647,9971,2.964898205,26158,1645,5131,4929,4318,4943,2699,1951,542,40.31692515,393,2508,22733,20,504,25883,20858,10595,7999,2596,10263,7552,412,7140,4098,577,2266,106,93,282360,3411,3896,1525,617,17784,3465,7497,3529,1368,1376,549,4570,2327,1226,404,658,264,26438.54749,17440.94147,9449,4259,5190,3131,12580,6633,215,3307,1467,343,138,444,33,5.959302326,307,1292,4239,6742,1936.647879,1003,4077,4286,2012,1202,3067,1101,24,41,101302.0833,4983,769,2268,1513,408,25,899.2631579,7134,1844,2315,6363,6072,3086,9753,Health Care,Administration,Accommodation and Food Service,Retail Trade,Transportation,1729,1241,1054,984,865,1337,Health Care,Retail Trade,Education,Accommodation and Food Service,Other Service,473,371,137,89,66,Outside of Chicago,The Loop,Near North Side,Near West Side,Lower West Side,3954,1515,694,495,144,Outside of Chicago,West Englewood,Chicago Lawn,Auburn Gresham,Roseland,591,55,51,39,29,1,1,0.185166442,0.668851304,0.119694444,0,0.129875708,1,1,0.445047669
56,Garfield Ridge,36101,34513,35439,12236,2.872589081,36049,2076,7057,6285,7573,7694,3206,1463,695,39.74945335,14728,19029,1671,358,263,35774,28412,18620,17187,1433,9792,16825,752,16073,12219,1661,1749,351,93,552810,1008,4106,5058,2168,25251,4371,8286,4875,2100,3694,1925,1783,1960,2075,1758,2476,2288,80005.68828,32787.64454,12340,10475,1865,524,12864,11007,168,598,476,168,238,176,33,6.146417445,363,1938,8920,1643,1956.510824,542,2695,6683,2193,751,935,7758,1616,133,230970.7759,1503,60,607,630,179,27,1060.878963,10939,1074,1401,10303,10045,2037,15518,Education,Health Care,Public Administration,Manufacturing,Retail Trade,1835,1632,1613,1464,1397,14722,Transportation,Administration,Accommodation and Food Service,Retail Trade,Manufacturing,6083,2264,2087,1284,636,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,6714,3589,826,752,645,Outside of Chicago,Garfield Ridge,Clearing,Chicago Lawn,West Lawn,8237,645,303,243,224,0.999233629,0.855137205,0.305690864,0.803220119,0.124895301,0,0.157238795,0.996318674,0.977557075,0.268231798
55,Hegewisch,9781,9426,10027,3677,2.726679358,9250.205343,386.8929593,1909.380214,1758.4574,1562.121586,2060.727887,775.9436688,603.9175449,192.7640828,39.64860189,3398.034109,5202.552663,631.5985612,1.020010237,17,9189.100461,7519.50851,4229.932132,3811.547222,418.3849105,3289.576378,3630.295722,146.8507789,3483.444943,2683.812044,489.4229947,243.2229947,36.60471983,30.38219019,112227.3729,412.2307724,1138.459343,1533.16003,432.7583745,6252.160156,1129.306506,2158.677172,1563.155888,383.3125004,574.6836153,443.0244746,1072.666328,496.0382226,730.8153137,389.5515375,522.4248462,304.3233087,57846.64934,27694.54333,3515.819557,2654.196311,861.3564384,498.1771218,4013.723567,2864.375699,52.77934491,402.2401046,449.2857143,50,9,66,120.0427046,5.908183838,214.0569395,460.3666642,1855.725005,1483.574958,1953.301184,468,794.073847,1889.022355,714.5134868,148.113879,1178.37051,1314.000338,144,18.05166052,154663.0159,655.3380074,26,281.4392681,327.5508918,20.34784748,0,1029.341184,3156.966759,353.150861,358.8527983,3004.642036,2954.642036,511.1775215,3719,Education,Manufacturing,Health Care,Retail Trade,Public Administration,457,418,393,384,346,1663,Manufacturing,Retail Trade,Wholesale Trade,Accommodation and Food Service,Finance,780,223,171,130,88,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1614,846,151,144,118,Outside of Chicago,Hegewisch,East Side,South Deering,South Chicago,1081,118,117,28,22,0,0,0.224013603,0.731050218,0.23292379,0,0.330919242,0.586291167,0.428320912,0.252348998
49,Roseland,52723,44619,38816,15080,2.53693634,39623,2323,7539,7897,6775,8242,3517,2327,1003,39.0245098,608,521,37764,106,624,39068,31936,17529,14206,3323,14407,13761,846,12915,7855,1315,3381,205,159,549615,3360,5837,3288,1252,27229,3764,6984,8374,2284,3829,1994,4214,3330,2437,1619,1508,629,44040.6051,20781.95404,13737,7261,6476,3539,17276,10258,1467,2500,1209,865,252,657,68,6.311543507,771,1607,9526,5372,1949.267877,1766,5079,6759,2624,1048,4279,2845,58,61,129504.3641,6214,369,2188,2301,1317,39,1085.883823,11745,2310,1992,10525,10264,3212,13058,Health Care,Education,Administration,Retail Trade,Transportation,2566,1413,1392,1226,1178,2723,Health Care,Education,Accommodation and Food Service,Retail Trade,Manufacturing,905,830,416,271,55,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5207,2849,849,643,215,Outside of Chicago,Roseland,West Pullman,Auburn Gresham,Morgan Park,1214,207,111,79,58,0.994798338,0.982403218,0.297734034,0.708431527,0.227488501,0,0.126813616,1,1,0.417629533
39,Kenwood,18363,17841,19116,10097,1.877191245,17972,1320,2254,4294,3268,3483,1941,944,468,39.00716846,3759,404,11864,1081,864,17796,14813,9387,8514,860,5426,8205,1203,7002,3611,339,2378,532,142,216050,3135,5041,1264,394,13335,698,2032,2086,678,3439,4402,2957,1835,1182,974,1332,1554,52336.4486,48781.32701,9834,3450,6384,1145,10979,1076,692,120,568,1656,514,6323,30,4.512644889,1001,3404,3243,3331,1963.770821,4559,3160,1922,728,610,889,951,825,649,272848.6647,6321,1290,1585,1806,1567,73,1074.194387,8880,1033,954,8395,7835,1439,7193,Health Care,Education,Administration,Accommodation and Food Service,Professional,1339,1255,631,556,517,1086,Retail Trade,Health Care,Other Service,Accommodation and Food Service,Education,231,223,148,127,122,The Loop,Outside of Chicago,Hyde Park,Near North Side,Near West Side,1816,1808,852,632,461,Outside of Chicago,Kenwood,South Shore,Hyde Park,Auburn Gresham,299,68,57,43,35,0.8173258,0.833059211,0.638845144,0.783521956,1,0,0.042385376,1,1,0.542595978
15,Portage Park,65340,64124,63020,23436,2.684502475,63919,3587,11124,13256,14466,13021,4637,2528,1300,38.9126813,30042,27173,1048,3799,1857,63842,52314,36224,34190,2003,16090,33664,1899,31765,21789,3063,5805,780,328,1193335,2474,9395,7670,3030,44993,5812,11984,8348,3298,10429,5122,3521,4176,3467,3468,3987,3950,75868.65629,33413.14927,22569,13426,9143,2225,24794,11093,399,5363,3555,2064,987,1312,21,5.85164746,862,3381,6562,13989,1934.309815,4021,8499,7351,3158,1765,641,5571,6574,623,309987.8321,8828,255,2833,4468,1204,68,1114.074329,20487,1346,2082,19428,18993,3141,26495,Health Care,Retail Trade,Accommodation and Food Service,Manufacturing,Education,3302,2900,2629,2360,2099,7700,Retail Trade,Health Care,Accommodation and Food Service,Construction,Other Service,1884,1754,923,546,516,Outside of Chicago,The Loop,Near North Side,Near West Side,Portage Park,11622,4139,1789,1190,894,Outside of Chicago,Portage Park,Belmont Cragin,Dunning,Norwood Park,3517,894,423,244,201,1,1,0.418931834,0.831799327,0,0,0.076338319,1,1,0.343007367
59,McKinley Park,15962,15612,15923,5538,2.869266883,15246,806,2617,3440,3369,3259,1066,522,167,38.90544707,2350,8044,184,4572,96,15197,12609,8667,8145,522,3942,7950,432,7518,4082,1120,1949,324,43,222910,800,2029,1873,664,10648,2474,3173,1667,619,1607,1108,902,1341,847,694,1020,562,61814.25486,26933.93789,5366,3523,1843,365,5731,2201,264,2113,758,212,94,67,22,5.913851351,601,733,920,3477,1931.2065,387,1952,2238,631,523,484,1945,959,115,235314.4654,1719,63,1006,501,149,0,940.819209,4979,494,387,4814,4694,552,6026,Accommodation and Food Service,Health Care,Manufacturing,Retail Trade,Administration,852,732,581,554,529,5144,Administration,Retail Trade,Wholesale Trade,Manufacturing,Accommodation and Food Service,1727,812,811,536,276,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,1863,1156,472,402,227,Outside of Chicago,McKinley Park,Brighton Park,Chicago Lawn,New City,2321,163,163,147,105,0.952158086,0.761309673,0.313110443,0.829856973,0,0,0.128497764,1,1,0.481132075
71,Auburn Gresham,55928,48743,44878,18071,2.476619999,46698,2959,9561,8674,8373,8805,4209,3124,993,38.58927382,488,1397,44152,124,537,46610,36183,20150,16828,3322,16033,16320,1111,15209,9442,1273,4155,94,245,629220,5189,7355,3517,1192,31170,4666,9758,9086,2711,3282,1667,6286,4159,2812,1405,1837,754,37484.19389,20664.60043,17253,7821,9432,3364,20617,9312,426,3703,2756,2138,843,1400,39,5.972749541,1315,2665,8773,7864,1948.110484,3541,6100,7096,2515,1365,4042,3570,186,7,146886.1607,9100,1428,4270,2262,1140,0,905.0454921,14507,3126,2746,12833,12226,4420,15048,Health Care,Administration,Education,Accommodation and Food Service,Retail Trade,3017,1686,1457,1380,1346,2089,Retail Trade,Accommodation and Food Service,Health Care,Education,Finance,580,355,200,195,140,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5199,3185,1326,990,243,Outside of Chicago,Auburn Gresham,Roseland,Greater Grand Crossing,West Englewood,901,191,75,67,51,0.950207561,0.87847097,0.245749118,0.70810769,0.027726401,0,0.09118119,1,1,0.406433824
18,Montclare,12646,13426,14401,5010,2.850299401,14382,992,2675,2890,2761,2676,1588,499,301,38.46069869,5207,8003,448,365,359,14297,11551,7376,7047,299,4175,6937,155,6782,4957,752,617,157,299,263105,599,1706,1315,992,9802,2054,3170,2275,710,1036,557,1171,955,710,607,540,629,55882.35294,28269.38771,4612,2783,1829,340,4952,2886,113,471,220,421,250,591,0,5.704658077,649,810,1921,1572,1949.076305,809,1764,1313,646,420,224,1732,800,27,259446.8391,1810,142,554,758,337,19,1114.835165,3868,236,744,3701,3506,911,5546,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,Education,719,631,598,543,448,2104,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,Other Service,664,610,322,116,61,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2775,800,286,254,130,Outside of Chicago,Belmont Cragin,Montclare,Austin,Dunning,1130,105,102,98,65,1,1,0.234952051,0.80136904,0,0,0.087527164,1,1,0.242323771
13,North Park,18514,17931,17559,6658,2.607689997,18806,1542,3011,3990,3324,3551,1837,912,639,38.3153431,9167,3522,421,4939,757,18107,15206,9129,8667,462,6077,8429,572,7857,5019,893,1179,535,231,260275,1072,2928,2062,666,12882,1678,2428,1945,849,3700,2282,1462,1170,1216,578,1192,1110,60362.90323,32506.85239,6728,3348,3380,656,7384,2243,140,1082,1212,843,615,1245,4,5.530022239,227,1328,3053,2776,1948.884578,1893,2637,1982,611,261,232,1095,1525,412,332206.9694,3251,451,999,1242,476,83,1070.766129,6181,451,547,5943,5616,785,6763,Health Care,Education,Retail Trade,Accommodation and Food Service,Professional,1137,794,650,588,550,7071,Education,Health Care,Retail Trade,Manufacturing,Wholesale Trade,2499,1009,673,551,515,Outside of Chicago,The Loop,Near North Side,North Park,Near West Side,2975,987,441,306,302,Outside of Chicago,North Park,West Ridge,Albany Park,Portage Park,3303,306,291,204,191,0.996644087,0.998506855,0.530274802,0.7561896,0.625773469,0,0.121850087,1,1,0.377150314
11,Jefferson Park,25859,25448,26216,10585,2.475578649,27194,1466,4815,6072,5803,5026,2320,1199,493,38.27886136,15831,6626,714,3151,872,27168,22006,15235,14567,668,6771,13876,934,12942,8804,1028,2748,256,106,451515,1143,4220,3863,1295,19774,1460,4854,4002,1454,5342,2662,1416,1821,1883,1598,2147,1656,77198.06008,35584.0146,10521,6908,3613,925,11446,5442,114,2268,1871,890,378,425,58,5.746121298,394,1668,5075,4309,1948.637752,1530,4602,3578,1342,394,462,2640,3321,454,312977.2464,3481,108,988,1702,658,25,1182.062147,9712,624,809,9206,9026,1315,12527,Health Care,Education,Retail Trade,Professional,Manufacturing,1539,1256,1244,1101,983,6209,Health Care,Real Estate,Manufacturing,Retail Trade,Administration,843,751,732,566,545,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,5913,2314,709,495,323,Outside of Chicago,Jefferson Park,Portage Park,Belmont Cragin,Dunning,3234,310,229,133,119,0.975289982,0.997767145,0.478304845,0.84302704,0,0,0.091352619,1,1,0.357884116
74,Mount Greenwood,18820,19093,18628,6850,2.668613139,18840,1356,4045,3281,3358,4239,1542,684,335,37.9686243,15287,1975,609,303,666,18120,14594,9439,9022,417,5155,8847,302,8545,7193,455,648,188,61,293520,341,2570,2996,1038,12456,587,2736,3189,949,2897,2098,625,955,871,1122,1530,1842,97760.69519,41850.44559,6945,5744,1201,364,7309,6136,37,95,149,128,102,647,15,6.546059638,352,1323,5041,593,1955.1093,694,1344,3418,1452,401,320,3716,1575,133,258576.5125,1169,20,448,517,165,19,1091.58805,6382,176,563,6261,6177,684,9876,Public Administration,Education,Health Care,Retail Trade,Accommodation and Food Service,1959,1819,1078,679,641,2859,Education,Retail Trade,Health Care,Accommodation and Food Service,Other Service,1130,478,385,199,169,Outside of Chicago,The Loop,Near West Side,Near North Side,Mount Greenwood,4303,3477,323,299,228,Outside of Chicago,Mount Greenwood,Beverly,Morgan Park,Ashburn,1865,228,99,59,34,0.916029746,0.819865772,0.477199743,0.812281669,0.056251223,0.056251223,0.135700343,1,1,0.180061038
38,Grand Boulevard,28006,21929,24589,11278,2.160666785,23669,1591,4042,5446,4431,4745,1887,998,529,37.49339934,976,771,21200,172,550,23384,19169,12088,10405,1645,7081,9964,1023,8941,4771,646,2924,382,218,314810,3924,4995,1702,584,16608,2012,3431,3546,1655,3648,2316,4201,2259,1364,1414,1149,818,39110.73826,29807.9199,11205,3068,8137,1375,12580,1223,781,852,2814,3072,872,2966,0,4.910731244,3544,2881,2228,3927,1971.175958,3389,3584,4011,1272,324,525,1373,757,413,238617.0213,7993,2250,2030,2390,1240,83,943.4131737,9511,1805,1694,9027,8578,2178,8549,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,1684,1038,886,761,677,2788,Health Care,Management,Retail Trade,Accommodation and Food Service,Education,1003,489,346,252,150,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,2235,2076,859,695,275,Outside of Chicago,Grand Boulevard,South Shore,Auburn Gresham,Chatham,810,158,96,90,83,1,1,0.458754817,0.771235125,0.570168036,0,0.06947003,1,1,0.499297471
60,Bridgeport,33694,31977,33702,13339,2.523802384,32863.15574,1622.442623,4745.065574,8914.360656,6260.754098,6369.254098,3105.409836,1143.336066,702.5327869,37.4904653,11630.87705,6857.92623,735.4590164,13303.89344,335,32824.06847,27631.54515,18306.49717,17052.17194,1248.325225,9325.047984,16719.5918,854.5154948,15865.07631,7918.918694,2597.75075,3831.381539,1103.175275,413.85005,460356.7627,2574.636364,5957.477948,3339.558956,1021.311431,24356.43443,4664.942623,6331.008197,3484.352459,965.3032787,5704.819672,3206.008197,2745.624822,2566.630528,2402.50214,1716.988588,1904.453638,1555.955777,58670.10682,31668.72483,12892.15549,6309.664456,6583.464191,880.4864479,13773.65119,3933.872679,464.7612732,3864.041114,3402.612732,1172.801061,168,767.5623342,0,5.423974579,2181.65252,1901.867374,2026.030504,7664.100796,1934.929117,1955.462865,5288.464191,4653.5,1283.224138,593,488.78602,2049.159772,2687.592011,1049.496434,337406.972,6322.378031,97,2690.854494,2654.25107,839.764622,40.50784593,1066.264189,11775.73324,968.0370899,1116.422254,11606.07561,11328.07561,1286.079886,13960,Accommodation and Food Service,Health Care,Education,Professional,Retail Trade,2049,1652,1321,1211,1158,5190,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Wholesale Trade,1738,512,495,423,412,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4130,2885,1202,1039,732,Outside of Chicago,Bridgeport,Brighton Park,New City,McKinley Park,2011,601,177,152,126,1,1,0.405510907,0.793971483,0.098209715,0,0.084343407,1,1,0.501616496
33,Near South Side,9509,21390,28795,15774,1.80404463,26376,1087,1829,8723,6466,5319,1689,1182,81,37.4720715,13556,1104,5932,5030,754,26203,23622,18257,18123,122,5365,17814,2229,15585,7744,1216,4909,1285,431,440440,3208,9625,2642,95,22967,1103,1184,2204,686,6756,11034,2239,912,1507,1916,3460,5536,115993.1326,88783.76137,15570,8848,6722,632,16202,299,1404,37,103,188,156,13994,21,3.891094063,9019,3723,922,2538,2001.142502,6381,7665,1897,122,137,158,1423,4132,3070,418476.2492,6643,1061,456,237,3324,1565,1948.883162,15098,805,472,14818,14174,752,12795,Professional,Health Care,Education,Finance,Administration,2164,1811,1418,1399,915,13586,Arts and Entertainment,Health Care,Accommodation and Food Service,Administration,Other Service,3889,2109,1934,1885,842,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,4028,3338,1378,1236,737,Outside of Chicago,Near South Side,Lake View,South Shore,Austin,4744,342,262,224,209,0.998729304,0.811452639,0.804458571,0.863224108,1,1,0.056944111,1,1,0.541091277
43,South Shore,61556,52010,53971,25748,2.060043499,52740,3752,8928,11978,10218,10056,4861,1853,1094,37.28693561,1594,1371,48876,165,734,51611,41762.41435,27014.79896,22888.4138,4126.385161,14747.61538,22642.58947,1022.086197,21620.50327,10796.79433,1207.647845,8751.922531,546.754228,317.3843426,927478.5747,9913.145823,10755.31834,2840.874444,907.7839842,37010,3729,9051,11585,3223,5336,4086,9562,5481,4269,2155,1863,1154,35886.77751,27282.81953,24484,6075,18409,5813,30297,3650,826,2796,4539,8181,2037,8221,47,5.119072778,643,4152,11662,13840,1942.982676,11248,9801,6782,1721,745,2576,2412,635,443,165335.5705,18223,1764,9159,6052,1230,18,930.6204519,21280,4583,3204,20078,19370,4406,16930,Health Care,Administration,Accommodation and Food Service,Education,Retail Trade,3479,2062,1688,1559,1470,2911,Health Care,Retail Trade,Other Service,Construction,Administration,958,684,287,237,212,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5374,3595,1621,1125,478,Outside of Chicago,South Shore,Auburn Gresham,Chatham,Greater Grand Crossing,1083,323,95,91,86,0.999741397,0.999650105,0.337230861,0.776585451,0.263752461,0.090891078,0.049558386,1,1,0.50914719
77,Edgewater,62198,56521,56296,30466,1.748342414,58693,2509,6097,18558,12646,10138,4797,2504,1444,37.07107611,31412,9323,7781,8059,2118,55239,52661,36648,34594,2021,16013,34166,3728,30438,11832,1751,13849,2374,632,1146190,11150,12974,3867,899,45509,4173,6228,6560,2387,14339,11822,6109,6512,4977,3020,3979,4293,58283.37875,42485.67865,28890,10244,18646,3040,31930,2275,318,1929,3038,4495,2280,17594,1,4.340659341,1114,6375,10259,14182,1946.193123,16767,9659,3908,1205,391,1697,4089,2247,2062,272829.2862,18240,1449,5638,6579,4238,336,1128.703469,27106,1633,1784,26193,24319,2697,26540,Professional,Health Care,Accommodation and Food Service,Education,Retail Trade,3553,3390,2811,2811,2152,7057,Accommodation and Food Service,Retail Trade,Health Care,Other Service,Education,1367,1363,881,573,501,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8356,5852,3350,1720,937,Outside of Chicago,Edgewater,West Ridge,Rogers Park,Uptown,2461,937,361,339,287,1,1,0.627304489,0.831986841,0,0,0.026945185,1,1,0.635192882
25,Austin,117527,98514,96557,35864,2.662307607,95073,6448,18471,20020,18532,17146,8406,4283,1767,36.97618685,5024,16210,71951,319,1569,94034,74351,43212,37426,5786,31139,36595,1274,35321,20861,3546,9587,830,497,1314235,10272,12725,7243,3221,63174,11415,22524,14934,4791,5803,3707,12476,8288,4903,2424,3582,1788,35555.36685,21384.81546,33461,13972,19489,4994,38455,9928,661,11956,7122,3462,1348,3790,188,5.747315066,948,4345,13602,19560,1939.150051,7462,13183,11888,3907,2015,4151,7217,2101,418,208765.5017,18802,2371,7551,7383,1430,67,978.327787,27665,5427,5796,25413,23589,8048,34568,Health Care,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,5896,4293,3582,3213,2849,13075,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Administration,2530,2102,1712,1139,1002,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15960,5213,2380,1728,912,Outside of Chicago,Austin,Belmont Cragin,Logan Square,Humboldt Park,6640,912,264,222,214,0.997275537,0.925599082,0.226374774,0.71973859,0,0,0.090170723,1,1,0.416368356
