School ID,School Name,Network,2018,2019,2021,2022,pre_cov_att,post_cov_att,att_diff_pp
400130.0,YCCS - YOUTH DEVELOPMENT,Options,62.199999999999996,62.76666666666667,58.300000000000004,52.43333333333334,62.483333333333334,55.366666666666674,-7.11666666666666
400131.0,YCCS - CAMPOS,Options,66.86666666666666,63.56666666666666,72.13333333333334,55.300000000000004,65.21666666666667,63.71666666666667,-1.5
400133.0,YCCS - INNOVATIONS,Options,49.76666666666667,52.800000000000004,48.03333333333333,56.666666666666664,51.28333333333334,52.349999999999994,1.0666666666666558
400134.0,YCCS - ADDAMS,Options,84.56666666666666,82.53333333333335,69.0,67.56666666666666,83.55000000000001,68.28333333333333,-15.26666666666668
400135.0,YCCS - LATINO YOUTH,Options,64.0,67.56666666666666,56.03333333333333,63.46666666666667,65.78333333333333,59.75,-6.033333333333331
400136.0,YCCS - OLIVE HARVEY,Options,72.0,76.3,59.75,60.2,74.15,59.975,-14.175000000000004
400137.0,LITTLE BLACK PEARL HS,Options,80.3,77.275,91.4,74.4,78.7875,82.9,4.112500000000011
400139.0,YCCS - SULLIVAN,Options,79.73333333333333,86.56666666666666,89.93333333333334,88.56666666666668,83.15,89.25,6.099999999999994
400141.0,YCCS - TRUMAN,Options,72.03333333333333,61.166666666666664,60.666666666666664,51.73333333333333,66.6,56.199999999999996,-10.399999999999999
400143.0,YCCS - WEST TOWN,Options,59.76666666666667,62.0,69.83333333333333,56.1,60.88333333333334,62.96666666666667,2.0833333333333286
400144.0,YCCS - WEST,Options,71.66666666666667,66.7,45.166666666666664,49.53333333333333,69.18333333333334,47.349999999999994,-21.833333333333343
400145.0,YCCS - YOUTH CONNECTION,Options,61.63333333333333,56.9,35.06666666666667,58.96666666666667,59.266666666666666,47.016666666666666,-12.25
400147.0,CHICAGO EXCEL HS,Options,82.175,77.15,65.075,71.325,79.6625,68.2,-11.462499999999991
400149.0,ACERO - SOTO HS,Charter,87.525,87.975,86.025,82.375,87.75,84.2,-3.549999999999997
400150.0,YCCS - CHATHAM,Options,68.8,69.6,62.25,49.95,69.19999999999999,56.1,-13.099999999999987
400156.0,NOBLE - BUTLER HS,Charter,93.8,92.225,70.2,78.275,93.01249999999999,74.23750000000001,-18.774999999999977
400157.0,NOBLE - BAKER HS,Charter,90.325,90.175,71.32499999999999,77.25,90.25,74.2875,-15.962500000000006
400161.0,CHICAGO COLLEGIATE,Charter,92.9,89.0,81.6,75.3,90.95,78.44999999999999,-12.500000000000014
400162.0,INTRINSIC HS,Charter,93.3,93.55,92.375,88.55000000000001,93.425,90.4625,-2.9624999999999915
400164.0,INSTITUTO - JUSTICE HS,Options,69.175,64.8,55.725,44.55,66.9875,50.1375,-16.849999999999994
400167.0,HORIZON - SOUTHWEST,Charter,94.06666666666666,94.10000000000001,95.3,91.5,94.08333333333334,93.4,-0.6833333333333371
400169.0,NOBLE - ITW SPEER HS,Charter,93.44999999999999,94.2,78.85,86.4,93.82499999999999,82.625,-11.199999999999989
400170.0,NOBLE - ACADEMY HS,Charter,92.75,93.3,74.925,85.2,93.025,80.0625,-12.962500000000006
400172.0,ASPIRA - BUSINESS & FINANCE HS,Charter,88.76666666666667,87.16666666666667,80.93333333333334,81.03333333333333,87.96666666666667,80.98333333333333,-6.983333333333334
400173.0,PATHWAYS - BRIGHTON PARK HS,Options,68.75,75.8,73.47500000000001,57.275,72.275,65.375,-6.900000000000006
400175.0,EXCEL SOUTH SHORE HS,Options,74.85,74.575,71.975,71.65,74.7125,71.8125,-2.9000000000000057
400176.0,EXCEL SOUTHWEST HS,Options,72.73333333333333,73.3,56.366666666666674,73.33333333333333,73.01666666666667,64.85,-8.166666666666671
400179.0,NOBLE - MANSUETO HS,Charter,95.25,94.7,81.75,87.35,94.975,84.55,-10.424999999999997
609674.0,CHICAGO VOCATIONAL HS,Network 17,90.425,84.925,75.85,78.025,87.675,76.9375,-10.737499999999997
609676.0,DUNBAR HS,Network 17,85.125,85.025,65.75,71.775,85.075,68.7625,-16.3125
609678.0,JONES HS,ISP,93.15,91.25,91.45,88.825,92.2,90.1375,-2.0625
609679.0,PROSSER HS,Network 15,89.0,87.7,84.525,82.725,88.35,83.625,-4.724999999999994
609680.0,PAYTON HS,Network 15,92.52499999999999,92.375,91.775,91.7,92.44999999999999,91.73750000000001,-0.7124999999999773
609682.0,RICHARDS HS,Network 16,77.6,78.575,66.925,74.7,78.0875,70.8125,-7.275000000000006
609691.0,NORTH-GRAND HS,Network 15,88.125,88.425,80.1,80.75,88.275,80.425,-7.8500000000000085
609692.0,SIMEON HS,Network 17,88.75,85.575,82.825,76.975,87.1625,79.9,-7.262499999999989
609693.0,WESTINGHOUSE HS,Network 15,91.82499999999999,91.525,83.575,86.5,91.675,85.0375,-6.637500000000003
609694.0,HANCOCK HS,Network 15,91.775,91.275,93.575,91.525,91.525,92.55000000000001,1.0250000000000057
609695.0,AMUNDSEN HS,ISP,91.2,90.725,83.875,84.875,90.9625,84.375,-6.587500000000006
609698.0,BOGAN HS,Network 16,87.65,85.975,71.9,76.85,86.8125,74.375,-12.4375
609704.0,FARRAGUT HS,Network 16,86.45,86.725,70.42500000000001,70.25,86.5875,70.3375,-16.25
609705.0,FENGER HS,Network 17,86.975,87.8,61.725,71.4,87.38749999999999,66.5625,-20.82499999999999
609708.0,FOREMAN HS,Network 14,86.525,83.375,72.975,74.575,84.95,73.775,-11.174999999999997
609709.0,GAGE PARK HS,Network 16,90.625,88.6,73.3,82.075,89.6125,77.6875,-11.924999999999997
609710.0,HARLAN HS,Network 17,83.2,81.9,70.425,70.1,82.55000000000001,70.26249999999999,-12.287500000000023
609712.0,HIRSCH HS,Network 17,80.25,76.4,59.025000000000006,69.875,78.325,64.45,-13.875
609713.0,HYDE PARK HS,Network 17,86.8,86.85,75.975,82.1,86.82499999999999,79.0375,-7.787499999999994
609715.0,KELLY HS,Network 16,90.7,89.375,77.8,78.5,90.0375,78.15,-11.887499999999989
609716.0,KELVYN PARK HS,Network 14,82.05,81.17500000000001,97.65,73.025,81.61250000000001,85.3375,3.7249999999999943
609718.0,KENNEDY HS,Network 16,88.975,89.325,82.3,80.1,89.15,81.19999999999999,-7.950000000000017
609719.0,LAKE VIEW HS,Network 14,88.1,85.225,78.925,77.45,86.6625,78.1875,-8.474999999999994
609720.0,LANE TECH HS,Network 14,93.3,92.725,93.25,90.775,93.01249999999999,92.0125,-0.9999999999999858
609722.0,MANLEY HS,Network 15,74.25,76.65,57.55,63.45,75.45,60.5,-14.950000000000003
609723.0,MARSHALL HS,Network 15,73.725,77.375,57.325,64.275,75.55,60.800000000000004,-14.749999999999993
609724.0,MATHER HS,Network 14,88.0,89.55,82.6,82.55,88.775,82.57499999999999,-6.200000000000017
609725.0,MORGAN PARK HS,Network 16,83.075,83.775,79.9,69.625,83.42500000000001,74.7625,-8.662500000000009
609726.0,BROOKS HS,ISP,88.625,89.175,89.625,85.475,88.9,87.55,-1.3500000000000085
609727.0,PHILLIPS HS,AUSL,83.225,81.4,58.575,61.075,82.3125,59.825,-22.487499999999997
609728.0,ROOSEVELT HS,Network 14,88.875,89.35,82.625,79.0,89.1125,80.8125,-8.299999999999997
609729.0,SCHURZ HS,Network 14,85.15,85.875,77.225,72.425,85.5125,74.82499999999999,-10.687500000000014
609730.0,SENN HS,Network 14,90.175,89.6,88.0,82.925,89.88749999999999,85.4625,-4.424999999999983
609732.0,STEINMETZ HS,Network 14,86.8,86.45,77.3,72.475,86.625,74.88749999999999,-11.737500000000011
609733.0,SULLIVAN HS,Network 14,83.95,85.35,74.6,77.8,84.65,76.19999999999999,-8.450000000000017
609734.0,TAFT HS,Network 14,89.4,89.25,86.95,83.575,89.325,85.2625,-4.0625
609735.0,TILDEN HS,Network 16,81.55,81.65,62.025,69.375,81.6,65.7,-15.899999999999991
609737.0,VON STEUBEN HS,Network 14,93.125,91.5,88.375,87.375,92.3125,87.875,-4.4375
609738.0,LINCOLN PARK HS,Network 14,90.85,89.075,89.475,83.525,89.9625,86.5,-3.4625000000000057
609739.0,WASHINGTON HS,Network 17,88.875,88.375,80.2,81.15,88.625,80.67500000000001,-7.949999999999989
609740.0,WELLS HS,Network 15,89.7,86.325,80.625,74.95,88.0125,77.7875,-10.225000000000009
609741.0,HUBBARD HS,Network 16,90.17500000000001,90.05,87.95,80.45,90.11250000000001,84.2,-5.9125000000000085
609744.0,NORTHSIDE LEARNING HS,Network 14,90.975,91.5,83.25,85.3,91.2375,84.275,-6.9624999999999915
609745.0,SOUTHSIDE HS,ISP,90.3,88.2,80.1,83.0,89.25,81.55,-7.700000000000003
609746.0,KENWOOD HS,Network 17,92.775,91.95,88.5,89.625,92.36250000000001,89.0625,-3.3000000000000114
609748.0,YORK HS,Network 16,71.05,73.825,62.974999999999994,61.475,72.4375,62.224999999999994,-10.212500000000006
609749.0,NORTHSIDE PREP HS,Network 14,94.1,93.6,94.375,91.4,93.85,92.8875,-0.9624999999999915
609750.0,SIMPSON HS,Network 15,61.9,65.8,67.1,51.4,63.849999999999994,59.25,-4.599999999999994
609751.0,KING HS,Network 17,90.0,87.975,92.225,88.65,88.9875,90.4375,1.4500000000000028
609753.0,CHICAGO AGRICULTURE HS,ISP,94.225,93.275,89.9,90.25,93.75,90.075,-3.674999999999997
609754.0,CHICAGO MILITARY HS,Network 17,92.05,89.675,84.0,81.0,90.8625,82.5,-8.362499999999997
609755.0,YOUNG HS,ISP,95.225,94.425,93.15,92.375,94.82499999999999,92.7625,-2.062499999999986
609756.0,CURIE HS,Network 15,88.275,86.825,82.875,78.425,87.55000000000001,80.65,-6.900000000000006
609759.0,CLEMENTE HS,Network 15,80.65,79.44999999999999,69.375,67.65,80.05,68.5125,-11.537499999999994
609760.0,CARVER MILITARY HS,Network 17,91.675,92.425,82.67500000000001,86.45,92.05,84.5625,-7.487499999999997
609761.0,CORLISS HS,Network 17,83.875,85.4,76.275,75.125,84.6375,75.7,-8.9375
609762.0,JULIAN HS,Network 16,80.75,80.775,72.075,74.4,80.7625,73.23750000000001,-7.5249999999999915
609764.0,JUAREZ HS,Network 15,85.2,85.025,77.3,78.6,85.11250000000001,77.94999999999999,-7.162500000000023
609766.0,VAUGHN HS,Network 14,88.575,85.975,82.775,83.825,87.275,83.30000000000001,-3.9749999999999943
609769.0,GRAHAM HS,Network 14,85.8,87.3,82.5,81.0,86.55,81.75,-4.799999999999997
609772.0,ADDAMS,ISP,90.2,88.8,88.3,81.5,89.5,84.9,-4.599999999999994
609773.0,TUBMAN,Network 4,91.2,89.1,89.7,86.4,90.15,88.05000000000001,-2.0999999999999943
609774.0,ALCOTT ES,Network 4,93.8,94.2,86.4,89.0,94.0,87.7,-6.299999999999997
609777.0,ARMOUR,ISP,89.1,91.2,90.8,87.1,90.15,88.94999999999999,-1.200000000000017
609779.0,ARMSTRONG G,ISP,91.6,89.4,91.8,81.2,90.5,86.5,-4.0
609780.0,MARINE LEADERSHIP AT AMES HS,Network 14,93.1,93.4,86.675,84.025,93.25,85.35,-7.900000000000006
609782.0,AUDUBON,Network 4,94.9,93.8,94.2,93.3,94.35,93.75,-0.5999999999999943
609783.0,JEFFERSON HS,Network 16,97.8,98.0,98.425,92.075,97.9,95.25,-2.6500000000000057
609786.0,AVALON PARK,ISP,94.3,92.7,86.0,67.5,93.5,76.75,-16.75
609788.0,BARNARD,Network 10,81.1,89.6,80.8,88.4,85.35,84.6,-0.75
609789.0,BARRY,Network 4,87.9,90.3,92.6,84.3,89.1,88.44999999999999,-0.6500000000000057
609790.0,BARTON,Network 11,82.8,83.8,80.0,85.0,83.3,82.5,-0.7999999999999972
609791.0,BASS,Network 11,78.0,75.5,61.5,65.7,76.75,63.6,-13.149999999999999
609792.0,BATEMAN,Network 1,93.9,93.0,93.2,87.9,93.45,90.55000000000001,-2.8999999999999915
