ca_id,comm_area,med_age,covid_idx,perc_chg_pop,perc_white,perc_black_hispanic,perc_other_races,perc_pop_lforce,perc_emp,med_inc,inc_p_cap,med_rent,perc_hh_comp,perc_hh_internet,highly_walkable_pop_pct,highly_walkable_emp_pct
47,Burnside,2.875273623393509,1.3692904920220734,-0.6426113295413585,-0.9688894289789223,1.033616633268864,-0.6618947429375083,-0.24602207965778872,-0.8048462173059517,-0.7207233098387046,-0.3885077274848677,-1.2896487059547928,-1.6996682191779457,-1.5125187832526639,0.30365439318222853,0.499579434251434
48,Calumet Heights,2.748735753358342,0.537706635020403,-0.4876156693252339,-1.0317940217544077,1.0899083322049936,-0.6739733213764169,-0.3869262790239767,0.5243914197063764,-0.07076490205906034,0.07920927647482044,-0.04364123423278145,0.26066424384939907,0.5308334949938628,0.30365439318222853,0.499579434251434
37,Fuller Park,2.323330631749071,0.8081404096550926,-0.6918247259548619,-0.8733699069650883,0.9408969484737296,-0.6228671473083776,-2.036991739575958,-2.0003786593573762,-1.5169728485533696,-0.9845947227790561,-1.7616933593423594,-2.117857028447667,-1.703421175623267,0.30365439318222853,0.499579434251434
34,Armour Square,2.1116546310599698,-0.4899417085914181,0.507756043446419,-0.5317341518255299,-1.542945750661334,5.664685197046553,-0.6116145337800535,0.5337430248245187,-0.80091230949106,-0.4733184107305109,-1.3056177169909802,-1.1476091606352299,-0.8882851518445987,0.30365439318222853,0.499579434251434
45,Avalon Park,1.82640268812399,0.4092505920689254,-0.4010327170513941,-1.0333731182049315,0.9916707321753815,-0.389617515654305,-0.41759248343262584,-0.7742906326966484,-0.17874045440238226,-0.2570316626832469,-0.5307480562445483,-1.3934682397801434,-1.0438595364222838,0.30365439318222853,0.499579434251434
72,Beverly,1.594876986057357,-0.7265712613967716,-0.21635949052374737,1.0778969772383278,-0.7669441387324515,-0.357595120812958,0.0376767469139747,0.6999406477363189,1.8213073327808973,1.0817248416318281,-0.5139060003942629,1.259115815832312,1.3232964463429486,0.08810293816059186,0.44789061673302805
75,Morgan Park,1.5072379328189878,0.3484029927761198,-0.4266726418514686,0.0953170752647491,0.0789702842183664,-0.4509378997378822,-0.3564031072016654,-0.007184310754721895,0.17085934120252996,0.03183822838516832,0.2433689207144925,0.5013124567522402,0.33044753989938486,0.30365439318222853,0.499579434251434
17,Dunning,1.3002382358281743,-0.14513864593218867,0.11830556645609404,1.2142203482187124,-0.9200367872240691,-0.24257873779552344,0.359197397547704,0.9038368952451911,0.5445640454318751,-0.02448409827768052,0.03470208714468492,0.6182896785704759,0.221877530623068,0.2039747611725395,0.48735467495478746
50,Pullman,1.2848216869490336,0.5579891681180045,-0.6505249674769044,-0.6064503540159443,0.6744541225511436,-0.49282093009644173,0.5157410629682804,-0.7759974276320976,-0.4075889597183819,-0.32388946463319224,-0.5631746922056841,2.5140007263121937,2.086674034221803,-0.15605060933851891,-2.225801322484185
12,Forest Glen,1.249213150763939,-1.3012430324954871,0.2830595637219234,1.754188750725034,-1.5669691769594085,0.3288047772370249,-0.15822835542293953,0.8582372314083576,2.522712802422683,1.2441343574159434,0.5282854773903302,1.533387626898685,1.7174810990296332,-0.2459899925235979,0.4154346478269345
44,Chatham,1.2218828119857432,0.3281204596785183,-0.3944239972413086,-1.032487758763024,1.0738211268117028,-0.6263789483533383,-0.5635443317324738,-0.9335960648849467,-0.7024952834619081,-0.42858062837678806,-0.76835408392209,-0.4970639638947483,-1.2428259404547786,0.30365439318222853,0.499579434251434
73,Washington Heights,1.2009881399409406,1.0177265849969772,-0.426531019941048,-1.001291137021919,1.0615002924173023,-0.6649404161999832,-0.7784792012316839,-0.5696841179505902,-0.20888656716606718,-0.5038636671145121,-0.4061617196290965,0.1981434438921962,-0.2616046395595275,0.30365439318222853,0.499579434251434
10,Norwood Park,1.090825987757877,-0.46965917549381636,0.10918544381707479,1.874860161595921,-1.4957651460305983,-0.15989240752772402,0.03917204213040002,0.9568361170783862,1.1182989760220736,0.5626790975247272,0.3262675641419794,-0.03530705144660493,0.08719326867632397,0.30365439318222853,0.499579434251434
9,Edison Park,0.9987911299357772,-0.9429182811045234,0.10071096760253342,2.0924045690572592,-1.6759779759737734,-0.15943262581093737,0.7034657750342931,1.323078135270267,1.9631306353667464,1.3490342278517777,0.6964488820642323,-0.11310322406264012,-0.047380596039644486,0.30365439318222853,0.499579434251434
67,West Englewood,0.7967228396041486,1.7276152434130376,-0.9765892700680818,-1.007844504136725,1.0474964703408378,-0.6094437094013239,-1.3589995736672627,-2.095649551956953,-1.1852447534072488,-0.8486322340821078,-0.63798234312517,-1.9809778502821462,-2.197894694281723,0.30365439318222853,0.499579434251434
56,Garfield Ridge,0.6751982503952082,0.7337711216305528,-0.005417552674442663,0.49432272654032994,-0.18691726643963988,-0.6347631015653524,-0.06491432485281692,0.43623899295381907,0.7416892732302415,-0.0765463623680718,-0.10057854018765423,0.651007978090858,0.4400526254475941,0.2993236739341415,-0.10272760710689441
55,Hegewisch,0.6536008208002537,-0.15866033466392335,0.12376252431902571,0.3370250172858722,-0.008459787205754611,-0.7726471700941826,-0.7525749514046929,0.10555133612378893,-0.05542264092744422,-0.33277804089305824,-0.20544775369258336,0.1286695542214059,0.11814440353278857,-5.34728914211219,-3.6581964899141077
49,Roseland,0.5199509462764453,1.1191392504849857,-0.7344793933947952,-1.0066209594841276,1.0515654145920745,-0.6239596984964083,-0.9253653270453617,-1.2602838192953731,-0.5520580040806123,-0.680547363295851,-0.017432545601261864,-1.046705531249797,-1.424214006186122,0.2742600949305416,0.4264159577090443
