,pre_cov_att,post_cov_att,pre_att_bucket,post_att_bucket,att_diff_pp
132,93.4,83.6,high,high,9.800000000000011
133,92.15,89.8,high,high,2.3500000000000085
134,92.15,87.69999999999999,high,high,4.450000000000017
135,93.0,84.9,high,high,8.099999999999994
136,90.55,76.7,high,low,13.849999999999994
137,89.25,86.69999999999999,high,high,2.550000000000012
138,90.1,86.95,high,high,3.1499999999999915
139,89.65,88.95,high,high,0.7000000000000028
140,86.35,84.7,low,high,1.6499999999999917
141,86.2,81.05000000000001,low,low,5.149999999999992
142,86.4,83.25,low,high,3.1500000000000057
143,87.45,90.05000000000001,low,high,-2.6000000000000085
144,88.6,88.45,high,high,0.1499999999999914
145,83.85,82.0,low,high,1.8499999999999943
146,86.75,82.25,low,high,4.5
147,93.75,84.5,high,high,9.25
148,84.15,71.0,low,low,13.150000000000006
149,89.55,72.8,high,low,16.75
150,93.4,90.5,high,high,2.9000000000000057
151,91.05,85.9,high,high,5.150000000000006
152,86.65,85.0,low,high,1.6500000000000057
153,88.15,83.6,low,high,4.550000000000011
154,94.4,88.75,high,high,5.650000000000006
155,83.4,90.85,low,high,-7.449999999999989
156,87.0,72.75,low,low,14.25
157,89.5,88.45,high,high,1.0499999999999972
158,92.2,86.5,high,high,5.700000000000003
159,89.9,87.95,high,high,1.9500000000000028
160,84.0,78.65,low,low,5.349999999999994
161,87.0,80.3,low,low,6.700000000000003
162,86.1,79.55,low,low,6.549999999999997
163,86.75,88.65,low,high,-1.9000000000000057
164,92.8,88.15,high,high,4.649999999999992
165,87.19999999999999,80.69999999999999,low,low,6.5
166,92.1,91.55,high,high,0.5499999999999972
167,90.45,89.55000000000001,high,high,0.8999999999999915
168,89.55,87.69999999999999,high,high,1.8500000000000083
169,92.0,88.7,high,high,3.299999999999997
170,86.30000000000001,83.0,low,high,3.300000000000012
171,90.4,90.95,high,high,-0.549999999999983
172,87.44999999999999,82.80000000000001,low,high,4.649999999999977
173,87.0,87.95,low,high,-0.9500000000000028
174,92.25,90.25,high,high,2.0
175,90.75,87.85,high,high,2.9000000000000057
176,87.3,85.35,low,high,1.9500000000000028
177,86.80000000000001,78.65,low,low,8.150000000000006
178,90.3,89.5,high,high,0.8000000000000114
179,90.5,78.9,high,low,11.599999999999994
180,86.05000000000001,86.25,low,high,-0.1999999999999886
181,90.95,85.55,high,high,5.399999999999992
182,88.65,89.2,high,high,-0.5499999999999972
183,90.55,81.85,high,low,8.700000000000003
184,92.5,88.3,high,high,4.200000000000003
185,83.19999999999999,71.6,low,low,11.599999999999994
186,89.65,84.4,high,high,5.25
187,84.75,71.1,low,low,13.650000000000006
188,89.75,83.1,high,high,6.650000000000006
189,83.5,74.1,low,low,9.400000000000006
190,90.45,75.05000000000001,high,low,15.399999999999991
191,92.15,84.9,high,high,7.25
192,91.55,87.65,high,high,3.9000000000000057
193,92.2,86.8,high,high,5.400000000000006
194,87.15,88.95,low,high,-1.7999999999999972
195,88.9,87.35,high,high,1.5500000000000114
196,89.45,77.85,high,low,11.600000000000009
197,92.85,87.45,high,high,5.399999999999992
198,89.75,85.0,high,high,4.75
199,86.25,85.1,low,high,1.1500000000000057
200,92.8,83.6,high,high,9.200000000000005
201,91.85,82.2,high,high,9.649999999999991
202,83.7,85.55,low,high,-1.8499999999999943
203,87.0,79.15,low,low,7.849999999999994
204,88.55000000000001,79.6,high,low,8.950000000000017
205,88.4,85.8,high,high,2.6000000000000085
206,85.9,81.65,low,low,4.25
207,90.2,88.75,high,high,1.4500000000000028
208,91.6,85.5,high,high,6.099999999999994
209,90.95,85.25,high,high,5.699999999999989
210,81.55000000000001,72.55,low,low,9.000000000000014
211,89.4,84.95,high,high,4.450000000000003
212,91.95,76.85,high,low,15.100000000000009
213,88.8,86.05,high,high,2.75
214,87.45,91.5,low,high,-4.049999999999997
215,84.05,77.4,low,low,6.649999999999992
216,86.5,87.4,low,high,-0.9000000000000057
217,91.1,88.69999999999999,high,high,2.4000000000000057
218,87.30000000000001,78.9,low,low,8.400000000000006
219,89.45,88.30000000000001,high,high,1.1499999999999917
220,89.15,81.85,high,low,7.300000000000011
221,83.1,89.2,low,high,-6.1000000000000085
222,89.3,84.7,high,high,4.599999999999994
223,93.85,90.6,high,high,3.25
224,94.65,90.2,high,high,4.450000000000017
225,82.1,75.0,low,low,7.099999999999994
226,95.9,96.25,high,high,-0.3499999999999943
227,91.8,79.75,high,low,12.050000000000011
228,89.5,78.1,high,low,11.400000000000006
229,85.65,86.35,low,high,-0.6999999999999886
230,86.75,79.5,low,low,7.25
231,87.5,85.35,low,high,2.1500000000000057
232,81.25,77.5,low,low,3.75
233,90.4,87.35,high,high,3.050000000000012
234,89.5,86.5,high,high,3.0
235,88.6,83.80000000000001,high,high,4.799999999999983
236,88.55000000000001,89.7,high,high,-1.1499999999999917
237,89.25,77.9,high,low,11.349999999999994
238,87.35,81.05000000000001,low,low,6.299999999999983
239,90.2,80.05000000000001,high,low,10.149999999999991
240,88.55,83.55,high,high,5.0
241,87.3,75.69999999999999,low,low,11.600000000000009
242,76.75,73.6,low,low,3.1500000000000057
243,91.5,89.7,high,high,1.7999999999999972
244,93.5,74.15,high,low,19.349999999999994
245,88.85,77.55,high,low,11.299999999999995
246,91.3,89.95,high,high,1.3499999999999943
247,92.35,89.75,high,high,2.5999999999999943
248,92.0,87.35,high,high,4.650000000000006
249,95.15,80.85,high,low,14.300000000000011
250,87.55000000000001,85.19999999999999,low,high,2.3500000000000227
251,87.75,69.80000000000001,low,low,17.94999999999999
252,88.7,86.35,high,high,2.3500000000000085
253,91.8,91.3,high,high,0.5
254,89.6,90.15,high,high,-0.5500000000000114
255,86.65,76.2,low,low,10.450000000000005
256,89.65,85.8,high,high,3.850000000000009
257,89.8,79.75,high,low,10.049999999999995
258,88.25,81.35,low,low,6.900000000000006
259,87.65,85.9,low,high,1.75
260,93.4,87.2,high,high,6.200000000000003
261,88.65,82.9,high,high,5.75
262,76.80000000000001,76.65,low,low,0.1500000000000056
263,87.45,87.8,low,high,-0.3499999999999943
264,91.45,86.7,high,high,4.75
265,91.85,93.15,high,high,-1.3000000000000114
266,90.2,84.3,high,high,5.900000000000006
267,86.55000000000001,84.6,low,high,1.950000000000017
268,93.8,89.80000000000001,high,high,4.0
269,85.9,79.15,low,low,6.75
270,85.25,79.45,low,low,5.799999999999997
271,83.95,82.2,low,high,1.75
272,90.6,84.35,high,high,6.25
273,88.1,82.9,low,high,5.199999999999989
274,89.3,75.94999999999999,high,low,13.350000000000009
275,94.25,79.5,high,low,14.75
276,92.55,84.65,high,high,7.900000000000006
277,93.75,92.6,high,high,1.1500000000000057
278,95.15,87.30000000000001,high,high,7.849999999999994
279,88.6,65.0,high,low,23.599999999999994
280,91.45,78.55,high,low,12.899999999999991
281,89.55,88.25,high,high,1.2999999999999972
282,89.44999999999999,90.15,high,high,-0.700000000000017
283,91.5,93.1,high,high,-1.5999999999999943
284,89.3,86.2,high,high,3.0999999999999943
285,91.95,90.35,high,high,1.6000000000000083
286,93.15,93.0,high,high,0.1500000000000056
287,88.5,85.05000000000001,high,high,3.4499999999999886
288,89.4,76.8,high,low,12.600000000000009
289,90.85,80.7,high,low,10.149999999999991
290,91.5,86.95,high,high,4.549999999999997
291,92.2,89.9,high,high,2.299999999999997
292,78.69999999999999,75.85,low,low,2.8499999999999943
293,86.25,76.35,low,low,9.900000000000006
294,91.2,73.85,high,low,17.35000000000001
295,92.15,91.05,high,high,1.1000000000000083
296,92.15,88.19999999999999,high,high,3.950000000000017
297,91.95,87.35,high,high,4.6000000000000085
298,91.65,88.44999999999999,high,high,3.200000000000017
299,92.95,89.4,high,high,3.549999999999997
300,91.75,92.35,high,high,-0.5999999999999943
301,90.7,92.85,high,high,-2.1499999999999915
302,88.19999999999999,87.3,low,high,0.8999999999999915
303,89.3,80.05000000000001,high,low,9.249999999999986
304,90.75,91.9,high,high,-1.1500000000000057
305,90.15,91.15,high,high,-1.0
306,89.15,80.80000000000001,high,low,8.349999999999994
