School_ID,Short_Name,Zip,Lat,Long,GeoNetwork,COMMAREA,WARD_15
610060,JACKSON A,60607,41.87429964,-87.66098467,6,NEAR WEST SIDE,28
610062,MCCLELLAN,60609,41.82999286,-87.64110258,6,BRIDGEPORT,11
610063,MCCORMICK,60623,41.84226717,-87.70630009,7,SOUTH LAWNDALE,22
610065,TILL,60637,41.77542384,-87.60935721,9,WOODLAWN,20
610066,MCDADE,60619,41.73454991,-87.61921444,12,CHATHAM,9
610067,MCKAY,60629,41.76814276,-87.6917865,10,CHICAGO LAWN,17
610068,HANSON PARK,60639,41.92395526,-87.76151477,3,BELMONT CRAGIN,36
610070,MCPHERSON,60640,41.96784687,-87.67628825,2,LINCOLN SQUARE,47
610073,MITCHELL,60612,41.89208217,-87.68318459,5,WEST TOWN,26
610074,MONROE,60647,41.9299886,-87.71922375,4,LOGAN SQUARE,35
610076,MOOS,60647,41.91250548,-87.69694139,5,WEST TOWN,1
610077,MORRILL,60629,41.78431328,-87.68854926,10,CHICAGO LAWN,16
610078,INTER-AMERICAN,60613,41.9490033,-87.65157334,4,LAKE VIEW,44
610081,SHERIDAN,60616,41.84440016,-87.64133981,6,BRIDGEPORT,11
610082,MOUNT GREENWOOD,60655,41.69573386,-87.70580994,10,MOUNT GREENWOOD,19
610083,BEARD,60656,41.97012488,-87.78963033,1,NORWOOD PARK,45
610084,KELLER,60655,41.69717033,-87.69727834,10,MOUNT GREENWOOD,19
610086,MOUNT VERNON,60643,41.70195212,-87.64765249,13,WASHINGTON HEIGHTS,34
610087,BLAIR,60638,41.77655627,-87.79060442,10,CLEARING,23
610088,MOZART,60647,41.92090965,-87.72188814,4,LOGAN SQUARE,35
610089,MURPHY,60618,41.95007775,-87.71683186,1,IRVING PARK,35
610090,MURRAY,60615,41.79853549,-87.59334041,9,HYDE PARK,4
610091,BROWN R,60628,41.66487335,-87.63895773,13,WEST PULLMAN,9
610092,NASH,60644,41.89180975,-87.74793588,3,AUSTIN,37
610093,NEIL,60619,41.7384066,-87.62093346,12,CHATHAM,6
610094,NETTELHORST,60657,41.94163655,-87.64456122,4,LAKE VIEW,44
610095,NEWBERRY,60614,41.91394722,-87.64599025,4,LINCOLN PARK,43
610096,NIGHTINGALE,60632,41.79771438,-87.68913886,8,GAGE PARK,14
610097,NIXON,60639,41.91958145,-87.73142009,4,HERMOSA,35
610098,NOBEL,60651,41.90615515,-87.72995463,5,HUMBOLDT PARK,26
610099,NORWOOD PARK,60631,41.98815251,-87.80297944,1,NORWOOD PARK,41
610100,WEST PARK,60651,41.90690721,-87.7324431,5,HUMBOLDT PARK,26
610102,OGLESBY,60620,41.75467006,-87.6454695,11,AUBURN GRESHAM,17
610103,OKEEFFE,60649,41.76860231,-87.57280596,12,SOUTH SHORE,5
610104,ONAHAN,60631,41.99379035,-87.79310826,1,NORWOOD PARK,41
610105,ORIOLE PARK,60656,41.97850138,-87.81205404,1,NORWOOD PARK,41
610106,PICCOLO,60651,41.90013966,-87.7312606,5,HUMBOLDT PARK,37
610107,OTIS,60642,41.89180608,-87.66542624,6,WEST TOWN,1
610108,OTOOLE,60636,41.77457107,-87.674865,11,WEST ENGLEWOOD,16
610109,OWEN,60652,41.74284992,-87.70574909,10,ASHBURN,18
610110,WELLS ES,60653,41.82735527,-87.61977966,9,DOUGLAS,3
610111,PALMER,60630,41.97328939,-87.73921295,1,ALBANY PARK,39
610112,PARKER,60621,41.7707798,-87.63408586,11,ENGLEWOOD,6
610115,PARK MANOR,60637,41.76647654,-87.61154559,12,GREATER GRAND CROSSING,6
610116,PARKSIDE,60649,41.76855519,-87.58295438,12,SOUTH SHORE,5
610117,PASTEUR,60629,41.78689538,-87.73266646,8,WEST ELSDON,13
610120,PECK,60629,41.78789897,-87.71921626,8,WEST ELSDON,23
610121,IRVING,60612,41.87159549,-87.68361565,6,NEAR WEST SIDE,28
610122,PEIRCE,60660,41.98345579,-87.66585004,2,EDGEWATER,48
610123,PENN,60623,41.85837242,-87.72238555,5,NORTH LAWNDALE,24
610124,WASHINGTON H ES,60619,41.72853414,-87.59625662,12,BURNSIDE,8
610125,RUIZ,60608,41.84810094,-87.68074453,7,LOWER WEST SIDE,25
610126,PERSHING,60616,41.83652695,-87.61833765,9,DOUGLAS,4
610127,PETERSON,60625,41.98155714,-87.71258258,1,NORTH PARK,39
610128,GARVEY,60643,41.70660286,-87.64757717,13,WASHINGTON HEIGHTS,34
610129,PICKARD,60608,41.8529004,-87.68329074,7,LOWER WEST SIDE,25
610130,PIRIE,60619,41.74034023,-87.60789114,12,CHATHAM,6
610131,PLAMONDON,60608,41.8602589,-87.69252575,5,NORTH LAWNDALE,28
610132,POE,60628,41.70263,-87.60641917,13,PULLMAN,9
610133,WARD L,60624,41.89323561,-87.71879729,5,HUMBOLDT PARK,27
610135,PORTAGE PARK,60641,41.95698764,-87.761007,1,PORTAGE PARK,38
610136,PRESCOTT,60614,41.9288411,-87.6695275,4,LINCOLN PARK,32
610137,PRUSSING,60630,41.96561907,-87.77241417,1,PORTAGE PARK,45
610138,PULASKI,60647,41.91848628,-87.68380143,6,LOGAN SQUARE,32
610139,PULLMAN,60628,41.68881935,-87.60943097,13,PULLMAN,9
610141,RAVENSWOOD,60613,41.96074569,-87.67092242,2,LAKE VIEW,47
610142,RAY,60637,41.79234788,-87.59475207,9,HYDE PARK,5
610143,REAVIS,60615,41.80417379,-87.60492543,9,KENWOOD,4
610144,REILLY,60618,41.94109399,-87.71954054,4,AVONDALE,30
610145,REINBERG,60634,41.9430189,-87.76898262,1,PORTAGE PARK,36
610146,REVERE,60619,41.76419587,-87.60017682,12,GREATER GRAND CROSSING,5
610147,ROGERS,60645,42.01526505,-87.69718539,2,WEST RIDGE,50
610148,CHAVEZ,60609,41.80714283,-87.66603693,8,NEW CITY,20
610152,RUGGLES,60619,41.75194558,-87.61806645,12,GREATER GRAND CROSSING,6
610153,RYDER,60620,41.73537939,-87.6388427,11,AUBURN GRESHAM,21
610155,SAUGANASH,60646,41.99116925,-87.74595144,1,FOREST GLEN,39
610157,SAWYER,60632,41.7974982,-87.70500578,8,GAGE PARK,14
610158,SAYRE,60707,41.91415063,-87.79872071,3,AUSTIN,29
610159,SCAMMON,60641,41.9416776,-87.73217878,1,IRVING PARK,30
610163,STOCK,60631,42.01689164,-87.81419465,1,EDISON PARK,41
610165,SCHUBERT,60639,41.93040332,-87.76119047,3,BELMONT CRAGIN,31
610167,SEWARD,60609,41.81033324,-87.66877201,8,NEW CITY,15
610170,COLUMBIA EXPLORERS,60632,41.81106861,-87.70419859,8,BRIGHTON PARK,14
610171,MIRELES,60617,41.73171692,-87.55278794,12,SOUTH CHICAGO,10
610172,SHERMAN,60609,41.79976621,-87.65022145,11,NEW CITY,20
610173,SHERWOOD,60621,41.79080024,-87.63227938,11,ENGLEWOOD,20
610174,SHIELDS,60632,41.81590949,-87.68964724,8,BRIGHTON PARK,15
610175,SHOESMITH,60615,41.80429402,-87.59390494,9,KENWOOD,4
610176,SHOOP,60643,41.69091888,-87.65866905,13,MORGAN PARK,34
610177,SKINNER,60607,41.87910254,-87.65941898,6,NEAR WEST SIDE,27
610178,SCHMID,60628,41.71698887,-87.59693188,12,PULLMAN,8
610179,SMYSER,60634,41.95886804,-87.78197454,1,PORTAGE PARK,38
610180,SMYTH,60608,41.86535102,-87.65344503,6,NEAR WEST SIDE,25
610182,SOLOMON,60659,41.99394233,-87.72404263,1,NORTH PARK,39
610183,SPENCER,60644,41.8848764,-87.75044473,3,AUSTIN,28
610185,STEVENSON,60652,41.74710688,-87.73166568,10,ASHBURN,18
610188,DUNNE,60628,41.69649616,-87.6399736,13,ROSELAND,34
610191,STONE,60659,41.99535905,-87.68479279,2,WEST RIDGE,50
610192,STOWE,60647,41.91193808,-87.7133175,5,HUMBOLDT PARK,26
610193,NEW SULLIVAN,60617,41.74382852,-87.54292761,12,SOUTH CHICAGO,10
610194,SUMNER,60624,41.87082838,-87.73352395,5,WEST GARFIELD PARK,24
610195,SUTHERLAND,60643,41.71144507,-87.67682117,10,BEVERLY,19
610196,SWIFT,60660,41.98913906,-87.65829608,2,EDGEWATER,48
610197,TALCOTT,60622,41.89240461,-87.67372272,6,WEST TOWN,1
610198,TAYLOR,60617,41.71547038,-87.53297077,13,EAST SIDE,10
610199,COLEMON,60643,41.67750545,-87.65811084,13,WEST PULLMAN,34
610200,THORP J,60617,41.73332424,-87.54427998,12,SOUTH CHICAGO,10
610201,THORP O,60634,41.94857131,-87.77763129,1,DUNNING,38
610202,TILTON,60624,41.88410224,-87.73056638,5,WEST GARFIELD PARK,28
610203,TONTI,60629,41.78752323,-87.70817918,8,GAGE PARK,23
610206,TWAIN,60638,41.7990464,-87.7589284,10,GARFIELD RIDGE,14
610207,VANDERPOEL,60643,41.72081703,-87.66555862,10,BEVERLY,19
610208,LAVIZZO,60628,41.69626235,-87.62714769,13,ROSELAND,34
610209,VOLTA,60625,41.971634,-87.72460522,1,ALBANY PARK,39
610212,ALBANY PARK,60625,41.97150444,-87.71060879,1,ALBANY PARK,33
610213,WADSWORTH,60637,41.7734779,-87.60101811,9,WOODLAWN,5
610215,MADERO,60623,41.84095691,-87.70506426,7,SOUTH LAWNDALE,22
610216,WALSH,60608,41.85483575,-87.64808617,7,LOWER WEST SIDE,11
610217,WARD J,60616,41.84398009,-87.63535579,6,ARMOUR SQUARE,11
610218,WARREN,60617,41.72676291,-87.57535255,12,CALUMET HEIGHTS,7
610219,WASHINGTON G ES,60617,41.68813148,-87.5360153,13,EAST SIDE,10
610220,WATERS,60625,41.9643654,-87.69133251,2,LINCOLN SQUARE,47
610221,WEBSTER,60624,41.86991586,-87.72752437,5,WEST GARFIELD PARK,24
610223,WENTWORTH,60636,41.7650759,-87.65820484,11,WEST ENGLEWOOD,6
610225,WHISTLER,60643,41.68390701,-87.65538382,13,WEST PULLMAN,34
610226,SANDOVAL,60629,41.79234608,-87.71098733,8,GAGE PARK,14
610227,WHITNEY,60623,41.84008043,-87.72554564,7,SOUTH LAWNDALE,22
610228,WHITTIER,60608,41.85048089,-87.67339165,7,LOWER WEST SIDE,25
610229,PRITZKER,60622,41.90705301,-87.67776098,6,WEST TOWN,1
610230,WILDWOOD,60646,42.00749067,-87.77834486,1,FOREST GLEN,41
610231,NATIONAL TEACHERS,60616,41.85279977,-87.62930833,6,NEAR SOUTH SIDE,3
610234,YATES,60647,41.91503855,-87.70028031,5,LOGAN SQUARE,1
610235,YOUNG ES,60651,41.90679057,-87.76714285,3,AUSTIN,29
610237,BEETHOVEN,60609,41.80913476,-87.62713681,9,GRAND BOULEVARD,3
610238,BOND,60621,41.76536057,-87.65301779,11,ENGLEWOOD,6
610239,DALEY,60609,41.80234287,-87.6722064,8,NEW CITY,20
610242,BRENNEMANN,60613,41.95998416,-87.64974917,2,UPTOWN,46
